# 字 5000-5499
 5000 | materialism                    | 唯物主義                           | 💰        | chunks=['ma', 'te', 'ri', 'al', 'ism'] | py=ㄇㄜ-ㄊㄧ-ㄌㄧ-ㄦ-ㄧㄗㄣ | theme=philosophy | stage=3
 5335 | technical                      | 技術的                            | 🔧        | chunks=['tech', 'ni', 'cal'] | py=ㄊㄝㄎ-ㄋㄜ-ㄎㄛ | theme=academic-words | stage=2
 5336 | valid                          | 有效的                            | ✅        | chunks=['val', 'id'] | py=ㄨㄚ-ㄌㄧㄉ | theme=academic-words | stage=2
 5337 | access                         | 存取、取得權限、進入                     | 🔑        | chunks=['ac', 'cess'] | py=ㄚㄎ-ㄙㄝㄙ | theme=academic-words | stage=2
 5338 | adequate                       | 足夠的                            | ✅        | chunks=['ad', 'e', 'quate'] | py=ㄚ-ㄉㄜ-ㄎㄨㄝㄊ | theme=academic-words | stage=3
 5339 | annual                         | 年度的                            | 📅        | chunks=['an', 'nu', 'al'] | py=ㄚ-ㄋㄩ-ㄛ | theme=academic-words | stage=2
 5340 | apparent                       | 顯然的                            | 💡        | chunks=['ap', 'par', 'ent'] | py=ㄜ-ㄆㄝ-ㄖㄣㄊ | theme=academic-words | stage=2
 5341 | approximate                    | 大約的                            | ≈        | chunks=['ap', 'prox', 'i', 'mate'] | py=ㄜ-ㄆㄖㄚㄎ-ㄙㄜ-ㄇㄟㄊ | theme=academic-words | stage=3
 5342 | attribute                      | 屬性                             | 🏷️       | chunks=['at', 'trib', 'ute'] | py=ㄚ-ㄊㄖㄧ-ㄅㄩㄊ | theme=academic-words | stage=3
 5343 | civil                          | 公民的                            | 🏛️       | chunks=['civ', 'il'] | py=ㄙㄧ-ㄨㄛ | theme=academic-words | stage=2
 5344 | communicate                    | 溝通                             | 💬        | chunks=['com', 'mu', 'ni', 'cate'] | py=ㄎㄜ-ㄇㄩ-ㄋㄜ-ㄎㄟㄊ | theme=academic-words | stage=1
 5345 | concentrate                    | 專心                             | 🎯        | chunks=['con', 'cen', 'trate'] | py=ㄎㄚㄣ-ㄙㄣ-ㄊㄖㄟㄊ | theme=academic-words | stage=2
 5346 | confer                         | 商議                             | 🤝        | chunks=['con', 'fer'] | py=ㄎㄣ-ㄈㄜ | theme=academic-words | stage=4
 5347 | contrast                       | 對比                             | ⚖️       | chunks=['con', 'trast'] | py=ㄎㄚㄣ-ㄊㄖㄚㄙㄊ | theme=academic-words | stage=2
 5348 | cycle                          | 循環                             | 🔄        | chunks=['cy', 'cle'] | py=ㄙㄞ-ㄎㄛ | theme=academic-words | stage=1
 5349 | dimension                      | 維度                             | 📐        | chunks=['di', 'men', 'sion'] | py=ㄉㄜ-ㄇㄣ-ㄒㄣ | theme=academic-words | stage=3
 5350 | emerge                         | 浮現                             | 🌱        | chunks=['e', 'merge'] | py=ㄜ-ㄇㄜㄐ | theme=academic-words | stage=2
 5351 | error                          | 錯誤                             | ❌        | chunks=['er', 'ror'] | py=ㄝ-ㄖㄜ | theme=academic-words | stage=1
 5352 | ethnic                         | 種族的                            | 🌏        | chunks=['eth', 'nic'] | py=ㄝㄒ-ㄋㄧㄎ | theme=academic-words | stage=3
 5353 | implement                      | 執行                             | 🛠️       | chunks=['im', 'ple', 'ment'] | py=ㄧㄇ-ㄆㄌㄜ-ㄇㄣㄊ | theme=academic-words | stage=3
 5354 | implicate                      | 暗示牽涉                           | 🔗        | chunks=['im', 'pli', 'cate'] | py=ㄧㄇ-ㄆㄌㄜ-ㄎㄟㄊ | theme=academic-words | stage=4
 5355 | impose                         | 強加                             | ⚖️       | chunks=['im', 'pose'] | py=ㄧㄇ-ㄆㄛㄗ | theme=academic-words | stage=3
 5356 | integrate                      | 整合                             | 🧩        | chunks=['in', 'te', 'grate'] | py=ㄧㄣ-ㄊㄜ-ㄍㄖㄟㄊ | theme=academic-words | stage=3
 5357 | internal                       | 內部的                            | 📥        | chunks=['in', 'ter', 'nal'] | py=ㄧㄣ-ㄊㄜ-ㄋㄛ | theme=academic-words | stage=2
 5358 | investigate                    | 調查                             | 🔍        | chunks=['in', 'ves', 'ti', 'gate'] | py=ㄧㄣ-ㄨㄝㄙ-ㄊㄜ-ㄍㄟㄊ | theme=academic-words | stage=2
 5359 | mechanism                      | 機制                             | ⚙️       | chunks=['mech', 'a', 'nism'] | py=ㄇㄝ-ㄎㄜ-ㄋㄧㄗㄇ | theme=academic-words | stage=3
 5360 | obvious                        | 明顯的                            | 💡        | chunks=['ob', 'vi', 'ous'] | py=ㄚㄅ-ㄨㄧ-ㄜㄙ | theme=academic-words | stage=2
 5361 | occupy                         | 佔據                             | 🪑        | chunks=['oc', 'cu', 'py'] | py=ㄚ-ㄎㄩ-ㄆㄞ | theme=academic-words | stage=2
 5362 | option                         | 選項                             | ☑️       | chunks=['op', 'tion'] | py=ㄚㄆ-ㄒㄣ | theme=academic-words | stage=1
 5363 | overall                        | 整體的                            | 🌐        | chunks=['o', 'ver', 'all'] | py=ㄛ-ㄨㄜ-ㄛ | theme=academic-words | stage=2
 5364 | parameter                      | 參數                             | ⚙️       | chunks=['pa', 'ram', 'e', 'ter'] | py=ㄆㄜ-ㄖㄚ-ㄇㄜ-ㄊㄜ | theme=academic-words | stage=3
 5365 | phase                          | 階段                             | 🌗        | chunks=['ph', 'ase'] | py=ㄈㄟㄗ | theme=academic-words | stage=2
 5366 | predict                        | 預測                             | 🔮        | chunks=['pre', 'dict'] | py=ㄆㄖㄜ-ㄉㄧㄎㄊ | theme=academic-words | stage=2
 5367 | professional                   | 專業的                            | 👔        | chunks=['pro', 'fes', 'sion', 'al'] | py=ㄆㄖㄜ-ㄈㄝ-ㄒㄣ-ㄛ | theme=academic-words | stage=2 base=profession
 5368 | resolve                        | 解決                             | ✅        | chunks=['re', 'solve'] | py=ㄖㄜ-ㄗㄚㄛㄈ | theme=academic-words | stage=2
 5369 | retain                         | 保留                             | 📥        | chunks=['re', 'tain'] | py=ㄖㄜ-ㄊㄟㄣ | theme=academic-words | stage=3
 5370 | statistic                      | 統計                             | 📊        | chunks=['sta', 'tis', 'tic'] | py=ㄙㄊㄜ-ㄊㄧㄙ-ㄊㄧㄎ | theme=academic-words | stage=3
 5371 | status                         | 狀態                             | 📊        | chunks=['sta', 'tus'] | py=ㄙㄊㄚ-ㄊㄜㄙ | theme=academic-words | stage=2
 5372 | subsequent                     | 後續的                            | ➡️       | chunks=['sub', 'se', 'quent'] | py=ㄙㄚㄅ-ㄙㄜ-ㄎㄨㄣㄊ | theme=academic-words | stage=3
 5373 | undertake                      | 承擔                             | 💪        | chunks=['un', 'der', 'take'] | py=ㄚㄣ-ㄉㄜ-ㄊㄟㄎ | theme=academic-words | stage=3
 5374 | adjust                         | 調整                             | 🔧        | chunks=['ad', 'just'] | py=ㄜ-ㄐㄚㄙㄊ | theme=academic-words | stage=2
 5375 | alter                          | 改變                             | 🔄        | chunks=['al', 'ter'] | py=ㄛ-ㄊㄜ | theme=academic-words | stage=3 [有易混提示]
 5376 | amend                          | 修訂                             | ✏️       | chunks=['a', 'mend'] | py=ㄜ-ㄇㄣㄉ | theme=academic-words | stage=3
 5377 | aware                          | 察覺的                            | 👁️       | chunks=['a', 'ware'] | py=ㄜ-ㄨㄟㄜ | theme=academic-words | stage=2
 5378 | capacity                       | 容量                             | 🪣        | chunks=['ca', 'pac', 'i', 'ty'] | py=ㄎㄜ-ㄆㄚ-ㄙㄜ-ㄊㄧ | theme=academic-words | stage=2
 5379 | challenge                      | 挑戰                             | ⚔️       | chunks=['chal', 'lenge'] | py=ㄔㄚ-ㄌㄣㄐ | theme=academic-words | stage=1
 5380 | consult                        | 諮詢                             | 💬        | chunks=['con', 'sult'] | py=ㄎㄣ-ㄙㄚㄛㄊ | theme=academic-words | stage=2
 5381 | discrete                       | 分離的                            | 🔢        | chunks=['dis', 'crete'] | py=ㄉㄧㄙ-ㄎㄖㄧㄊ | theme=academic-words | stage=4 [有易混提示]
 5382 | enable                         | 使能夠                            | ✅        | chunks=['en', 'a', 'ble'] | py=ㄣ-ㄝ-ㄅㄛ | theme=academic-words | stage=2
 5383 | enforce                        | 執行                             | 👮        | chunks=['en', 'force'] | py=ㄣ-ㄈㄛㄜㄙ | theme=academic-words | stage=3
 5384 | entity                         | 實體                             | 🏛️       | chunks=['en', 'ti', 'ty'] | py=ㄝㄣ-ㄊㄜ-ㄊㄧ | theme=academic-words | stage=3
 5385 | equivalent                     | 相等的                            | 🟰        | chunks=['e', 'quiv', 'a', 'lent'] | py=ㄜ-ㄎㄨㄧ-ㄜ-ㄌㄣㄊ | theme=academic-words | stage=3
 5386 | evolve                         | 演化                             | 🦋        | chunks=['e', 'volve'] | py=ㄧ-ㄨㄚㄛㄈ | theme=academic-words | stage=2
 5387 | expand                         | 擴展                             | 📈        | chunks=['ex', 'pand'] | py=ㄝㄎ-ㄙㄆㄢㄉ | theme=academic-words | stage=2
 5388 | external                       | 外部的                            | 📤        | chunks=['ex', 'ter', 'nal'] | py=ㄝㄎ-ㄙㄊㄜ-ㄋㄛ | theme=academic-words | stage=2
 5389 | facilitate                     | 促進                             | 🤝        | chunks=['fa', 'cil', 'i', 'tate'] | py=ㄈㄜ-ㄙㄧ-ㄌㄜ-ㄊㄟㄊ | theme=academic-words | stage=3
 5390 | fundamental                    | 基本的                            | 🧱        | chunks=['fun', 'da', 'men', 'tal'] | py=ㄈㄚㄣ-ㄉㄜ-ㄇㄣ-ㄊㄛ | theme=academic-words | stage=3
 5391 | generate                       | 產生                             | ⚡        | chunks=['gen', 'er', 'ate'] | py=ㄐㄝ-ㄋㄜ-ㄖㄟㄊ | theme=academic-words | stage=2
 5392 | license                        | 執照                             | 🪪        | chunks=['li', 'cense'] | py=ㄌㄞ-ㄙㄣㄙ | theme=academic-words | stage=2
 5393 | mental                         | 精神的                            | 🧠        | chunks=['men', 'tal'] | py=ㄇㄣ-ㄊㄛ | theme=academic-words | stage=2
 5394 | modify                         | 修改                             | ✏️       | chunks=['mod', 'i', 'fy'] | py=ㄇㄚ-ㄉㄜ-ㄈㄞ | theme=academic-words | stage=2
 5395 | notion                         | 概念                             | 💭        | chunks=['no', 'tion'] | py=ㄋㄛ-ㄒㄣ | theme=academic-words | stage=3
 5396 | orient                         | 定位                             | 🧭        | chunks=['o', 'ri', 'ent'] | py=ㄛ-ㄖㄧ-ㄣㄊ | theme=academic-words | stage=3
 5397 | perspective                    | 觀點                             | 👁️       | chunks=['per', 'spec', 'tive'] | py=ㄆㄜ-ㄙㄆㄝㄎ-ㄊㄧㄈ | theme=academic-words | stage=2
 5398 | precise                        | 精確的                            | 🎯        | chunks=['pre', 'cise'] | py=ㄆㄖㄧ-ㄙㄞㄙ | theme=academic-words | stage=2
 5399 | prime                          | 主要的                            | ⭐        | chunks=['pr', 'ime'] | py=ㄆㄖㄞㄇ | theme=academic-words | stage=2
 5400 | psychology                     | 心理學                            | 🧠        | chunks=['psy', 'chol', 'o', 'gy'] | py=ㄙㄞ-ㄎㄚ-ㄜ-ㄐㄧ | theme=academic-words | stage=2
 5401 | pursue                         | 追求                             | 🎯        | chunks=['pur', 'sue'] | py=ㄆㄜ-ㄙㄩ | theme=academic-words | stage=2
 5402 | ratio                          | 比率                             | 📊        | chunks=['ra', 'tio'] | py=ㄖㄟ-ㄒㄛ | theme=academic-words | stage=3
 5403 | stable                         | 穩定的                            | ⚖️       | chunks=['sta', 'ble'] | py=ㄙㄊㄟ-ㄅㄛ | theme=academic-words | stage=2
 5404 | substitute                     | 替代                             | 🔁        | chunks=['sub', 'sti', 'tute'] | py=ㄙㄚㄅ-ㄙㄊㄜ-ㄊㄩㄊ | theme=academic-words | stage=3
 5405 | sustain                        | 維持                             | 🌱        | chunks=['sus', 'tain'] | py=ㄙㄜ-ㄙㄊㄟㄣ | theme=academic-words | stage=3
 5406 | symbol                         | 符號                             | 🔣        | chunks=['sym', 'bol'] | py=ㄒㄧㄇ-ㄅㄛ | theme=academic-words | stage=2
 5407 | trend                          | 趨勢                             | 📈        | chunks=['tr', 'end'] | py=ㄊㄖㄣㄉ | theme=academic-words | stage=2
 5408 | accurate                       | 準確的                            | 🎯        | chunks=['ac', 'cu', 'rate'] | py=ㄚ-ㄎㄩ-ㄖㄝㄊ | theme=academic-words | stage=2
 5409 | acknowledge                    | 承認                             | 🤝        | chunks=['ac', 'knowl', 'edge'] | py=ㄚㄎ-ㄋㄚ-ㄜㄐ | theme=academic-words | stage=3
 5410 | aggregate                      | 總合                             | 📊        | chunks=['ag', 'gre', 'gate'] | py=ㄚ-ㄍㄖㄜ-ㄍㄝㄊ | theme=academic-words | stage=4
 5411 | allocate                       | 分配                             | 📊        | chunks=['al', 'lo', 'cate'] | py=ㄚ-ㄌㄛ-ㄎㄟㄊ | theme=academic-words | stage=3
 5412 | assign                         | 分派                             | 📋        | chunks=['as', 'sign'] | py=ㄜ-ㄙㄞㄣ | theme=academic-words | stage=2
 5413 | attach                         | 附加                             | 📎        | chunks=['at', 'tach'] | py=ㄜ-ㄊㄚㄔ | theme=academic-words | stage=2
 5414 | capable                        | 有能力的                           | 💪        | chunks=['ca', 'pa', 'ble'] | py=ㄎㄟ-ㄆㄜ-ㄅㄛ | theme=academic-words | stage=2
 5415 | cite                           | 引用                             | 🔖        | chunks=['c', 'ite'] | py=ㄙㄞㄊ | theme=academic-words | stage=3 [有易混提示]
 5416 | cooperate                      | 合作                             | 🤝        | chunks=['co', 'op', 'er', 'ate'] | py=ㄎㄛ-ㄚ-ㄆㄜ-ㄖㄟㄊ | theme=academic-words | stage=2
 5417 | discriminate                   | 區別                             | ⚖️       | chunks=['dis', 'crim', 'i', 'nate'] | py=ㄉㄧㄙ-ㄎㄖㄧ-ㄇㄜ-ㄋㄟㄊ | theme=academic-words | stage=3
 5418 | display                        | 展示                             | 🖼️       | chunks=['dis', 'play'] | py=ㄉㄧㄙ-ㄆㄌㄟ | theme=academic-words | stage=1
 5419 | diverse                        | 多樣的                            | 🌈        | chunks=['di', 'verse'] | py=ㄉㄜ-ㄨㄜㄜㄙ | theme=academic-words | stage=2
 5420 | enhance                        | 提升                             | 📈        | chunks=['en', 'hance'] | py=ㄣ-ㄏㄢㄙ | theme=academic-words | stage=3
 5421 | estate                         | 地產                             | 🏠        | chunks=['es', 'tate'] | py=ㄜ-ㄙㄊㄟㄊ | theme=academic-words | stage=2
 5422 | exceed                         | 超過                             | 📈        | chunks=['ex', 'ceed'] | py=ㄝㄎ-ㄙㄧㄉ | theme=academic-words | stage=3
 5423 | explicit                       | 明確的                            | 💡        | chunks=['ex', 'pli', 'cit'] | py=ㄝㄎ-ㄙㄆㄌㄜ-ㄙㄧㄊ | theme=academic-words | stage=3
 5424 | flexible                       | 靈活的                            | 🤸        | chunks=['flex', 'i', 'ble'] | py=ㄈㄌㄝㄎ-ㄙㄜ-ㄅㄛ | theme=academic-words | stage=2 base=flex
 5425 | gender                         | 性別                             | ⚧️       | chunks=['gen', 'der'] | py=ㄐㄣ-ㄉㄜ | theme=academic-words | stage=2
 5426 | ignorant                       | 無知的                            | 🙈        | chunks=['ig', 'no', 'rant'] | py=ㄧㄍ-ㄋㄜ-ㄖㄣㄊ | theme=academic-words | stage=3
 5427 | incentive                      | 誘因                             | 🎁        | chunks=['in', 'cen', 'tive'] | py=ㄧㄣ-ㄙㄣ-ㄊㄧㄈ | theme=academic-words | stage=3
 5428 | incidence                      | 發生率                            | 📊        | chunks=['in', 'ci', 'dence'] | py=ㄧㄣ-ㄙㄜ-ㄉㄣㄙ | theme=academic-words | stage=4
 5429 | incorporate                    | 納入                             | 🧩        | chunks=['in', 'cor', 'po', 'rate'] | py=ㄧㄣ-ㄎㄛ-ㄆㄜ-ㄖㄝㄊ | theme=academic-words | stage=3
 5430 | index                          | 指標                             | 📖        | chunks=['in', 'dex'] | py=ㄧㄣ-ㄉㄝㄎㄙ | theme=academic-words | stage=2
 5431 | inhibit                        | 抑制                             | 🚫        | chunks=['in', 'hib', 'it'] | py=ㄧㄣ-ㄏㄧ-ㄅㄧㄊ | theme=academic-words | stage=4
 5432 | initiate                       | 發起                             | 🚀        | chunks=['i', 'ni', 'ti', 'ate'] | py=ㄜ-ㄋㄧ-ㄒㄧ-ㄝㄊ | theme=academic-words | stage=3
 5433 | input                          | 輸入                             | 📥        | chunks=['in', 'put'] | py=ㄧㄣ-ㄆㄨㄊ | theme=academic-words | stage=2
 5434 | instruct                       | 指示                             | 📋        | chunks=['in', 'struct'] | py=ㄧㄣ-ㄙㄊㄖㄚㄎㄊ | theme=academic-words | stage=2
 5435 | intelligence                   | 智慧                             | 🧠        | chunks=['in', 'tel', 'li', 'gence'] | py=ㄧㄣ-ㄊㄝ-ㄌㄜ-ㄐㄣㄙ | theme=academic-words | stage=2
 5436 | migrate                        | 遷徙                             | 🦅        | chunks=['mi', 'grate'] | py=ㄇㄞ-ㄍㄖㄟㄊ | theme=academic-words | stage=3
 5437 | minimum                        | 最小值、最低限度                       | 🔽        | chunks=['min', 'i', 'mum'] | py=ㄇㄧ-ㄋㄜ-ㄇㄚㄇ | theme=academic-words | stage=2
 5438 | ministry                       | 部會                             | 🏛️       | chunks=['min', 'is', 'try'] | py=ㄇㄧ-ㄋㄜ-ㄙㄊㄖㄧ | theme=academic-words | stage=3
 5439 | motive                         | 動機                             | 💭        | chunks=['mo', 'tive'] | py=ㄇㄛ-ㄊㄧㄈ | theme=academic-words | stage=2
 5440 | precede                        | 先於                             | ⏮️       | chunks=['pre', 'cede'] | py=ㄆㄖㄧ-ㄙㄧㄉ | theme=academic-words | stage=4 [有易混提示]
 5441 | presume                        | 推定                             | 💭        | chunks=['pre', 'sume'] | py=ㄆㄖㄜ-ㄗㄩㄇ | theme=academic-words | stage=3
 5442 | reveal                         | 揭示                             | 🔓        | chunks=['re', 'veal'] | py=ㄖㄜ-ㄨㄧㄛ | theme=academic-words | stage=2
 5443 | scope                          | 範圍                             | 🔭        | chunks=['sc', 'ope'] | py=ㄙㄎㄛㄆ | theme=academic-words | stage=3
 5444 | trace                          | 追蹤                             | 🔍        | chunks=['tr', 'ace'] | py=ㄊㄖㄟㄙ | theme=academic-words | stage=2
 5445 | transform                      | 轉變                             | 🦋        | chunks=['trans', 'form'] | py=ㄊㄖㄢㄙ-ㄈㄛㄜㄇ | theme=academic-words | stage=2
 5446 | transport                      | 運輸                             | 🚚        | chunks=['trans', 'port'] | py=ㄊㄖㄢㄙ-ㄆㄛㄜㄊ | theme=academic-words | stage=2
 5447 | underlie                       | 成為基礎                           | 🧱        | chunks=['un', 'der', 'lie'] | py=ㄚㄣ-ㄉㄜ-ㄌㄞ | theme=academic-words | stage=4
 5448 | utilize                        | 利用                             | 🛠️       | chunks=['u', 'ti', 'lize'] | py=ㄩ-ㄊㄜ-ㄌㄞㄗ | theme=academic-words | stage=3
 5449 | adapt                          | 適應                             | 🦎        | chunks=['a', 'dapt'] | py=ㄜ-ㄉㄚㄆㄊ | theme=academic-words | stage=2 [有易混提示]
 5450 | advocate                       | 提倡                             | 📢        | chunks=['ad', 'vo', 'cate'] | py=ㄚㄉ-ㄨㄛ-ㄎㄝㄊ | theme=academic-words | stage=3 [有易混提示]
 5451 | aid                            | 幫助                             | 🆘        | chunks=['a', 'id'] | py=ㄝㄉ | theme=academic-words | stage=1 [有易混提示]
 5452 | chemical                       | 化學的                            | ⚗️       | chunks=['chem', 'i', 'cal'] | py=ㄎㄝ-ㄇㄜ-ㄎㄛ | theme=academic-words | stage=2
 5453 | classic                        | 經典的                            | 🏛️       | chunks=['clas', 'sic'] | py=ㄎㄌㄚ-ㄙㄧㄎ | theme=academic-words | stage=1 [有易混提示]
 5454 | comprehensive                  | 全面的                            | 🌐        | chunks=['com', 'pre', 'hen', 'sive'] | py=ㄎㄚㄇ-ㄆㄖㄜ-ㄏㄣ-ㄙㄧㄈ | theme=academic-words | stage=3
 5455 | comprise                       | 包含                             | 🔗        | chunks=['com', 'prise'] | py=ㄎㄜㄇ-ㄆㄖㄞㄗ | theme=academic-words | stage=3 [有易混提示]
 5456 | confirm                        | 確認                             | ✅        | chunks=['con', 'firm'] | py=ㄎㄣ-ㄈㄜㄜㄇ | theme=academic-words | stage=2
 5457 | contrary                       | 相反的                            | ↔️       | chunks=['con', 'tra', 'ry'] | py=ㄎㄚㄣ-ㄊㄖㄜ-ㄖㄧ | theme=academic-words | stage=3
 5458 | convert                        | 轉換                             | 🔄        | chunks=['con', 'vert'] | py=ㄎㄣ-ㄨㄜㄜㄊ | theme=academic-words | stage=2
 5459 | definite                       | 明確的                            | ✅        | chunks=['def', 'i', 'nite'] | py=ㄉㄝ-ㄈㄜ-ㄋㄧㄊ | theme=academic-words | stage=2
 5460 | deny                           | 否認                             | 🙅        | chunks=['de', 'ny'] | py=ㄉㄜ-ㄋㄞ | theme=academic-words | stage=2
 5461 | differentiate                  | 區別                             | ⚖️       | chunks=['dif', 'fer', 'en', 'ti', 'ate'] | py=ㄉㄧ-ㄈㄜ-ㄖㄣ-ㄒㄧ-ㄝㄊ | theme=academic-words | stage=3
 5462 | dispose                        | 處置                             | 🗑️       | chunks=['dis', 'pose'] | py=ㄉㄧㄙ-ㄆㄛㄗ | theme=academic-words | stage=3
 5463 | dynamic                        | 動態的                            | ⚡        | chunks=['dy', 'nam', 'ic'] | py=ㄉㄞ-ㄋㄚ-ㄇㄧㄎ | theme=academic-words | stage=2
 5464 | eliminate                      | 消除                             | ❌        | chunks=['e', 'lim', 'i', 'nate'] | py=ㄜ-ㄌㄧ-ㄇㄜ-ㄋㄟㄊ | theme=academic-words | stage=2
 5465 | empirical                      | 經驗的                            | 🔬        | chunks=['em', 'pir', 'i', 'cal'] | py=ㄣ-ㄆㄧ-ㄖㄜ-ㄎㄛ | theme=academic-words | stage=4
 5466 | equip                          | 裝備                             | 🛠️       | chunks=['e', 'quip'] | py=ㄜ-ㄎㄨㄧㄆ | theme=academic-words | stage=2
 5467 | extract                        | 提取                             | ⛏️       | chunks=['ex', 'tract'] | py=ㄝㄎ-ㄙㄊㄖㄚㄎㄊ | theme=academic-words | stage=3
 5468 | finite                         | 有限的                            | 🔢        | chunks=['fi', 'nite'] | py=ㄈㄞ-ㄋㄞㄊ | theme=academic-words | stage=3
 5469 | globe                          | 地球                             | 🌍        | chunks=['gl', 'obe'] | py=ㄍㄌㄛㄅ | theme=academic-words | stage=2
 5470 | guarantee                      | 保證                             | 📜        | chunks=['guar', 'an', 'tee'] | py=ㄍㄚ-ㄖㄣ-ㄊㄧ | theme=academic-words | stage=2
 5471 | hierarchy                      | 階層                             | 🏛️       | chunks=['hi', 'er', 'ar', 'chy'] | py=ㄏㄞ-ㄜ-ㄚ-ㄎㄧ | theme=academic-words | stage=3
 5472 | identical                      | 相同的                            | 👯        | chunks=['i', 'den', 'ti', 'cal'] | py=ㄞ-ㄉㄣ-ㄊㄜ-ㄎㄛ | theme=academic-words | stage=2
 5473 | infer                          | 推論                             | 🔍        | chunks=['in', 'fer'] | py=ㄧㄣ-ㄈㄜ | theme=academic-words | stage=3 [有易混提示]
 5474 | insert                         | 插入                             | 📥        | chunks=['in', 'sert'] | py=ㄧㄣ-ㄙㄜㄜㄊ | theme=academic-words | stage=2
 5475 | intervene                      | 介入                             | 🤝        | chunks=['in', 'ter', 'vene'] | py=ㄧㄣ-ㄊㄜ-ㄨㄧㄣ | theme=academic-words | stage=3
 5476 | isolate                        | 隔離                             | 🏝️       | chunks=['i', 'so', 'late'] | py=ㄞ-ㄙㄛ-ㄌㄟㄊ | theme=academic-words | stage=2
 5477 | paradigm                       | 典範                             | 🧩        | chunks=['par', 'a', 'digm'] | py=ㄆㄚ-ㄖㄜ-ㄉㄞㄇ | theme=academic-words | stage=4
 5478 | phenomenon                     | 現象                             | 🌟        | chunks=['phe', 'nom', 'e', 'non'] | py=ㄈㄜ-ㄋㄚ-ㄇㄜ-ㄋㄚㄣ | theme=academic-words | stage=3
 5479 | priority                       | 優先事項                           | 🥇        | chunks=['pri', 'or', 'i', 'ty'] | py=ㄆㄖㄞ-ㄛ-ㄖㄜ-ㄊㄧ | theme=academic-words | stage=2
 5480 | prohibit                       | 禁止                             | 🚫        | chunks=['pro', 'hib', 'it'] | py=ㄆㄖㄛ-ㄏㄧ-ㄅㄧㄊ | theme=academic-words | stage=3
 5481 | reverse                        | 反轉                             | 🔄        | chunks=['re', 'verse'] | py=ㄖㄜ-ㄨㄜㄜㄙ | theme=academic-words | stage=2
 5482 | simulate                       | 模擬                             | 🎮        | chunks=['sim', 'u', 'late'] | py=ㄒㄧ-ㄇㄩ-ㄌㄟㄊ | theme=academic-words | stage=3
 5483 | submit                         | 提交                             | 📤        | chunks=['sub', 'mit'] | py=ㄙㄚㄅ-ㄇㄧㄊ | theme=academic-words | stage=2
 5484 | successor                      | 繼承者                            | 👑        | chunks=['suc', 'ces', 'sor'] | py=ㄙㄜㄎ-ㄙㄝ-ㄙㄜ | theme=academic-words | stage=3
 5485 | survive                        | 存活                             | 🌱        | chunks=['sur', 'vive'] | py=ㄙㄜ-ㄨㄞㄈ | theme=academic-words | stage=2
 5486 | topic                          | 主題                             | 📋        | chunks=['top', 'ic'] | py=ㄊㄚ-ㄆㄧㄎ | theme=academic-words | stage=1
 5487 | transmit                       | 傳送                             | 📡        | chunks=['trans', 'mit'] | py=ㄊㄖㄢㄙ-ㄇㄧㄊ | theme=academic-words | stage=3
 5488 | ultimate                       | 終極的                            | 🏆        | chunks=['ul', 'ti', 'mate'] | py=ㄚㄛ-ㄊㄜ-ㄇㄝㄊ | theme=academic-words | stage=2
 5489 | visible                        | 可見的                            | 👁️       | chunks=['vis', 'i', 'ble'] | py=ㄨㄧ-ㄗㄜ-ㄅㄛ | theme=academic-words | stage=2
 5490 | voluntary                      | 自願的                            | 🙋        | chunks=['vol', 'un', 'tar', 'y'] | py=ㄨㄚ-ㄌㄣ-ㄊㄝ-ㄧ | theme=academic-words | stage=3
 5491 | abandon                        | 放棄                             | 🚪        | chunks=['a', 'ban', 'don'] | py=ㄜ-ㄅㄢ-ㄉㄣ | theme=academic-words | stage=2
 5492 | accompany                      | 陪伴                             | 🤝        | chunks=['ac', 'com', 'pa', 'ny'] | py=ㄜ-ㄎㄚㄇ-ㄆㄜ-ㄋㄧ | theme=academic-words | stage=2
 5493 | accumulate                     | 累積                             | 📈        | chunks=['ac', 'cu', 'mu', 'late'] | py=ㄜ-ㄎㄩ-ㄇㄩ-ㄌㄟㄊ | theme=academic-words | stage=3
 5494 | ambiguous                      | 模糊的                            | ❓        | chunks=['am', 'big', 'u', 'ous'] | py=ㄚㄇ-ㄅㄧ-ㄍㄩ-ㄜㄙ | theme=academic-words | stage=3
 5495 | append                         | 附加                             | 📎        | chunks=['ap', 'pend'] | py=ㄜ-ㄆㄣㄉ | theme=academic-words | stage=4
 5496 | appreciate                     | 感謝                             | 🙏        | chunks=['ap', 'pre', 'ci', 'ate'] | py=ㄜ-ㄆㄖㄧ-ㄒㄧ-ㄝㄊ | theme=academic-words | stage=2
 5497 | arbitrary                      | 任意的                            | 🎲        | chunks=['ar', 'bi', 'tra', 'ry'] | py=ㄚ-ㄅㄜ-ㄊㄖㄝ-ㄖㄧ | theme=academic-words | stage=4
 5498 | automate                       | 自動化                            | 🤖        | chunks=['au', 'to', 'mate'] | py=ㄛ-ㄊㄛ-ㄇㄟㄊ | theme=academic-words | stage=2
 5499 | clarify                        | 澄清                             | 💡        | chunks=['clar', 'i', 'fy'] | py=ㄎㄌㄚ-ㄖㄜ-ㄈㄞ | theme=academic-words | stage=2
