# 字 2000-2499
 2000 | brusselsprout                  | 球芽甘藍                           | 🥬        | chunks=['brus', 'sels', 'sprout'] | py=ㄅㄌㄚ-ㄙㄜㄗ-ㄙㄆㄌㄠㄊ | theme=vegetables | stage=3
 2353 | Italy                          | 義大利                            | 🇮🇹       | chunks=['it', 'a', 'ly'] | py=ㄧ-ㄊㄜ-ㄌㄧ | theme=countries | stage=1
 2354 | Spain                          | 西班牙                            | 🇪🇸       | chunks=['sp', 'ain'] | py=ㄙㄆㄟㄣ | theme=countries | stage=1
 2355 | Russia                         | 俄國                             | 🇷🇺       | chunks=['rus', 'sia'] | py=ㄖㄚ-ㄒㄜ | theme=countries | stage=1
 2356 | Canada                         | 加拿大                            | 🇨🇦       | chunks=['ca', 'na', 'da'] | py=ㄎㄝ-ㄋㄜ-ㄉㄚ | theme=countries | stage=1
 2357 | Australia                      | 澳洲                             | 🇦🇺       | chunks=['aus', 'tra', 'lia'] | py=ㄛ-ㄔㄦㄟ-ㄌㄧㄚ | theme=countries | stage=1
 2358 | India                          | 印度                             | 🇮🇳       | chunks=['in', 'dia'] | py=ㄧㄣ-ㄉㄧㄚ | theme=countries | stage=1
 2359 | Brazil                         | 巴西                             | 🇧🇷       | chunks=['bra', 'zil'] | py=ㄅㄦㄟ-ㄗㄧㄛ | theme=countries | stage=2
 2360 | America                        | 美國                             | 🇺🇸       | chunks=['a', 'mer', 'i', 'ca'] | py=ㄜ-ㄇㄝ-ㄖㄧ-ㄎㄚ | theme=countries | stage=1
 2361 | get up                         | 起床                             | 🛏️⬆️     | chunks=['get', 'up'] | py=ㄍㄝㄊ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2362 | wake up                        | 醒來                             | 😴⬆️      | chunks=['wake', 'up'] | py=ㄨㄟㄎ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2363 | sit down                       | 坐下                             | 🪑⬇️      | chunks=['sit', 'down'] | py=ㄒㄧㄊ-ㄉㄠㄣ | theme=phrasal-verbs | stage=1
 2364 | stand up                       | 站起來                            | 🧍⬆️      | chunks=['stand', 'up'] | py=ㄙㄊㄝㄣㄉ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2365 | turn on                        | 打開                             | 💡        | chunks=['turn', 'on'] | py=ㄊㄦㄣ-ㄚㄣ | theme=phrasal-verbs | stage=1
 2366 | turn off                       | 關掉                             | ⛔        | chunks=['turn', 'off'] | py=ㄊㄦㄣ-ㄚㄈ | theme=phrasal-verbs | stage=1
 2367 | pick up                        | 撿起、接(人)                        | 🤏        | chunks=['pick', 'up'] | py=ㄆㄧㄎ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2368 | put down                       | 放下                             | ⬇️       | chunks=['put', 'down'] | py=ㄆㄨㄊ-ㄉㄠㄣ | theme=phrasal-verbs | stage=1
 2369 | look at                        | 看                              | 👀        | chunks=['look', 'at'] | py=ㄌㄨㄎ-ㄝㄊ | theme=phrasal-verbs | stage=1
 2370 | look for                       | 尋找                             | 🔍        | chunks=['look', 'for'] | py=ㄌㄨㄎ-ㄈㄛㄦ | theme=phrasal-verbs | stage=1
 2371 | find out                       | 找出                             | 💡        | chunks=['find', 'out'] | py=ㄈㄞㄣㄉ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2372 | give up                        | 放棄                             | 🏳️       | chunks=['give', 'up'] | py=ㄍㄧㄈ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2373 | take off                       | 起飛、脫掉                          | ✈️       | chunks=['take', 'off'] | py=ㄊㄟㄎ-ㄚㄈ | theme=phrasal-verbs | stage=1
 2374 | put on                         | 穿上                             | 👕        | chunks=['put', 'on'] | py=ㄆㄨㄊ-ㄚㄣ | theme=phrasal-verbs | stage=1
 2375 | come back                      | 回來                             | 🔙        | chunks=['come', 'back'] | py=ㄎㄚㄇ-ㄅㄝㄎ | theme=phrasal-verbs | stage=1
 2376 | meanwhile                      | 同時                             | ⏳        | chunks=['mean', 'while'] | py=ㄇㄧㄣ-ㄨㄞㄛ | theme=connectors | stage=1
 2377 | moreover                       | 此外                             | ➕        | chunks=['more', 'over'] | py=ㄇㄛㄦ-ㄛ-ㄈㄜ | theme=connectors | stage=2
 2378 | furthermore                    | 此外                             | 📚        | chunks=['fur', 'ther', 'more'] | py=ㄈㄦ-ㄉㄜ-ㄇㄛㄦ | theme=connectors | stage=2
 2379 | whereas                        | 然而                             | ⚖️       | chunks=['where', 'as'] | py=ㄨㄝㄦ-ㄝㄗ | theme=connectors | stage=2
 2380 | nevertheless                   | 儘管如此                           | 💪        | chunks=['nev', 'er', 'the', 'less'] | py=ㄋㄝ-ㄈㄜ-ㄉㄚ-ㄌㄝㄙ | theme=connectors | stage=3
 2381 | consequently                   | 因此                             | 📊        | chunks=['con', 'se', 'quent', 'ly'] | py=ㄎㄚㄣ-ㄒㄜ-ㄎㄨㄝㄣ-ㄌㄧ | theme=connectors | stage=3 base=consequent
 2382 | hence                          | 因此                             | ➡️       | chunks=['h', 'ence'] | py=ㄏㄝㄣㄙ | theme=connectors | stage=3
 2383 | besides                        | 除此之外                           | ➕        | chunks=['be', 'sides'] | py=ㄅㄧ-ㄙㄞㄗ | theme=connectors | stage=2 [有易混提示]
 2384 | tourist                        | 觀光客                            | 📷        | chunks=['tour', 'ist'] | py=ㄊㄨㄦ-ㄧㄙㄊ | theme=travel | stage=1 base=tour
 2385 | traveler                       | 旅行者                            | 🧳        | chunks=['trav', 'el', 'er'] | py=ㄊㄌㄚ-ㄈㄦ-ㄜ | theme=travel | stage=1 base=travel
 2386 | sightseeing                    | 觀光                             | 🗺️       | chunks=['sight', 'see', 'ing'] | py=ㄙㄞㄊ-ㄒㄧ-ㄧㄥ | theme=travel | stage=2
 2387 | adventure                      | 冒險                             | 🏔️       | chunks=['ad', 'ven', 'ture'] | py=ㄚㄉ-ㄈㄣ-ㄑㄜ | theme=travel | stage=2
 2388 | backpacker                     | 背包客                            | 🎒        | chunks=['back', 'pack', 'er'] | py=ㄅㄚㄎ-ㄆㄚ-ㄎㄜ | theme=travel | stage=2 base=backpack
 2389 | hostel                         | 青年旅館                           | 🏨        | chunks=['hos', 'tel'] | py=ㄏㄚㄙ-ㄊㄝㄦ | theme=travel | stage=1
 2390 | visa                           | 簽證                             | 🛂        | chunks=['vi', 'sa'] | py=ㄈㄧ-ㄗㄚ | theme=travel | stage=1
 2391 | customs                        | 海關                             | 🛃        | chunks=['cus', 'toms'] | py=ㄎㄚㄙ-ㄊㄣㄗ | theme=travel | stage=2
 2392 | immigration                    | 入境                             | 🛂        | chunks=['im', 'mi', 'gra', 'tion'] | py=ㄧ-ㄇㄜ-ㄍㄌㄟ-ㄒㄣ | theme=travel | stage=2
 2393 | embassy                        | 大使館                            | 🏛️       | chunks=['em', 'bas', 'sy'] | py=ㄝㄇ-ㄅㄜ-ㄒㄧ | theme=travel | stage=2
 2394 | consulate                      | 領事館                            | 🏛️       | chunks=['con', 'su', 'late'] | py=ㄎㄚㄣ-ㄙㄜ-ㄌㄝㄊ | theme=travel | stage=3
 2395 | guide                          | 導遊                             | 🗺️       | chunks=['g', 'uide'] | py=ㄍㄞㄉ | theme=travel | stage=1
 2396 | guidebook                      | 旅遊書                            | 📖        | chunks=['guide', 'book'] | py=ㄍㄞㄉ-ㄅㄨㄎ | theme=travel | stage=2
 2397 | brochure                       | 小冊子                            | 📄        | chunks=['bro', 'chure'] | py=ㄅㄌㄛ-ㄒㄨㄜ | theme=travel | stage=2
 2398 | itinerary                      | 行程表                            | 📋        | chunks=['i', 'tin', 'er', 'a', 'ry'] | py=ㄞ-ㄊㄧ-ㄋㄜ-ㄝ-ㄌㄧ | theme=travel | stage=3
 2399 | baggage                        | 行李                             | 🧳        | chunks=['bag', 'gage'] | py=ㄅㄚ-ㄍㄧㄐ | theme=travel | stage=1
 2400 | carryon                        | 隨身行李                           | 🧳        | chunks=['car', 'ry', 'on'] | py=ㄎㄚ-ㄌㄧ-ㄚㄣ | theme=travel | stage=2
 2401 | landmark                       | 地標                             | 🗽        | chunks=['land', 'mark'] | py=ㄌㄢㄉ-ㄇㄚㄦㄎ | theme=travel | stage=2
 2402 | monument                       | 紀念碑                            | 🗽        | chunks=['mon', 'u', 'ment'] | py=ㄇㄚ-ㄋㄧㄨ-ㄇㄣㄊ | theme=travel | stage=2
 2403 | attraction                     | 景點                             | 🎢        | chunks=['at', 'trac', 'tion'] | py=ㄚ-ㄊㄌㄚㄎ-ㄒㄣ | theme=travel | stage=2
 2404 | abroad                         | 國外                             | 🌍        | chunks=['a', 'broad'] | py=ㄚ-ㄅㄌㄛㄉ | theme=travel | stage=2
 2405 | overseas                       | 海外                             | 🌏        | chunks=['o', 'ver', 'seas'] | py=ㄛ-ㄈㄜ-ㄒㄧㄗ | theme=travel | stage=2
 2406 | domestic                       | 國內的                            | 🏠        | chunks=['do', 'mes', 'tic'] | py=ㄉㄜ-ㄇㄝㄙ-ㄊㄧㄎ | theme=travel | stage=2
 2407 | international                  | 國際的                            | 🌐        | chunks=['in', 'ter', 'na', 'tion', 'al'] | py=ㄧㄣ-ㄊㄜ-ㄋㄚ-ㄒㄣ-ㄦ | theme=travel | stage=2
 2408 | departure                      | 出發                             | 🛫        | chunks=['de', 'par', 'ture'] | py=ㄉㄧ-ㄆㄚㄦ-ㄑㄜ | theme=travel | stage=2 base=depart
 2409 | arrival                        | 抵達                             | 🛬        | chunks=['ar', 'ri', 'val'] | py=ㄚ-ㄌㄞ-ㄈㄦ | theme=travel | stage=2 base=arrive
 2410 | layover                        | 轉機                             | ⏱️       | chunks=['lay', 'o', 'ver'] | py=ㄌㄟ-ㄛ-ㄈㄜ | theme=travel | stage=3
 2411 | transit                        | 轉乘、運輸                          | 🚉        | chunks=['tran', 'sit'] | py=ㄊㄌㄚㄣ-ㄗㄝㄊ | theme=travel | stage=2
 2412 | transfer                       | 轉乘                             | 🔄        | chunks=['trans', 'fer'] | py=ㄊㄌㄚㄣㄙ-ㄈㄜ | theme=travel | stage=2
 2413 | boarding                       | 登機                             | 🛫        | chunks=['board', 'ing'] | py=ㄅㄛㄦ-ㄉㄧㄥ | theme=travel | stage=1 base=board
 2414 | gate                           | 登機門                            | 🚪        | chunks=['g', 'ate'] | py=ㄍㄝㄊ | theme=travel | stage=1
 2415 | aisle                          | 走道                             | 🛣️       | chunks=['a', 'isle'] | py=ㄞㄦ | theme=travel | stage=2 [有易混提示]
 2416 | seat                           | 座位                             | 💺        | chunks=['s', 'eat'] | py=ㄒㄧㄊ | theme=travel | stage=0 [有易混提示]
 2417 | voyage                         | 航行                             | 🚢        | chunks=['voy', 'age'] | py=ㄈㄛㄧ-ㄧㄐ | theme=travel | stage=3
 2418 | expedition                     | 遠征                             | 🏔️       | chunks=['ex', 'pe', 'di', 'tion'] | py=ㄝㄎ-ㄙㄆㄜ-ㄉㄧ-ㄒㄣ | theme=travel | stage=3
 2419 | excursion                      | 短程旅行                           | 🚌        | chunks=['ex', 'cur', 'sion'] | py=ㄝㄎ-ㄙㄎㄜ-ㄓㄣ | theme=travel | stage=3
 2420 | tour                           | 旅遊團                            | 🚌        | chunks=['t', 'our'] | py=ㄊㄨㄦ | theme=travel | stage=1
 2421 | package                        | 包裹、套裝行程                        | 📮        | chunks=['pack', 'age'] | py=ㄆㄚ-ㄎㄧㄐ | theme=travel | stage=1
 2422 | explore                        | 探索                             | 🗺️       | chunks=['ex', 'plore'] | py=ㄝㄎ-ㄙㄆㄌㄛㄦ | theme=travel | stage=1
 2423 | wander                         | 漫遊                             | 🚶        | chunks=['wan', 'der'] | py=ㄨㄚㄣ-ㄉㄜ | theme=travel | stage=2
 2424 | roam                           | 漫遊                             | 🚶        | chunks=['r', 'oam'] | py=ㄌㄛㄇ | theme=travel | stage=3
 2425 | postcard                       | 明信片                            | 📮        | chunks=['post', 'card'] | py=ㄆㄛㄙㄊ-ㄎㄚㄦㄉ | theme=travel | stage=1
 2426 | jetlag                         | 時差                             | 🕐        | chunks=['jet', 'lag'] | py=ㄐㄝㄊ-ㄌㄚㄍ | theme=travel | stage=2
 2427 | currency                       | 貨幣                             | 💱        | chunks=['cur', 'ren', 'cy'] | py=ㄎㄜ-ㄌㄣ-ㄒㄧ | theme=travel | stage=2
 2428 | exchange                       | 兌換                             | 💱        | chunks=['ex', 'change'] | py=ㄝㄎㄙ-ㄑㄟㄣㄐ | theme=travel | stage=1
 2429 | booking                        | 訂位                             | 📅        | chunks=['book', 'ing'] | py=ㄅㄨ-ㄎㄧㄥ | theme=travel | stage=1 base=book
 2430 | checkin                        | 報到                             | ✅        | chunks=['check', 'in'] | py=ㄑㄝㄎ-ㄧㄣ | theme=travel | stage=1
 2431 | checkout                       | 退房                             | 📤        | chunks=['check', 'out'] | py=ㄑㄝㄎ-ㄠㄊ | theme=travel | stage=1
 2432 | native                         | 當地人、本地的                        | 🧑        | chunks=['na', 'tive'] | py=ㄋㄝ-ㄊㄧㄈ | theme=travel | stage=2
 2433 | foreign                        | 外國的                            | 🌐        | chunks=['for', 'eign'] | py=ㄈㄛ-ㄌㄣ | theme=travel | stage=1
 2434 | purchase                       | 購買                             | 💳        | chunks=['pur', 'chase'] | py=ㄆㄜ-ㄑㄜㄙ | theme=shopping | stage=2
 2435 | refund                         | 退款                             | 💸        | chunks=['re', 'fund'] | py=ㄌㄧ-ㄈㄚㄣㄉ | theme=shopping | stage=2
 2436 | return                         | 退貨、返回                          | ↩️       | chunks=['re', 'turn'] | py=ㄌㄧ-ㄊㄜㄣ | theme=shopping | stage=1
 2437 | deliver                        | 配送                             | 🚚        | chunks=['de', 'liv', 'er'] | py=ㄉㄧ-ㄌㄧ-ㄈㄜ | theme=shopping | stage=1
 2438 | delivery                       | 配送                             | 🛵        | chunks=['de', 'liv', 'er', 'y'] | py=ㄉㄧ-ㄌㄧ-ㄈㄜ-ㄌㄧ | theme=shopping | stage=1 base=deliver
 2439 | shipping                       | 運費                             | 🚛        | chunks=['ship', 'ping'] | py=ㄒㄧ-ㄆㄧㄥ | theme=shopping | stage=1 base=ship
 2440 | parcel                         | 包裹                             | 📮        | chunks=['par', 'cel'] | py=ㄆㄚㄦ-ㄙㄜ | theme=shopping | stage=2
 2441 | receipt                        | 收據                             | 🧾        | chunks=['re', 'ceipt'] | py=ㄌㄧ-ㄒㄧㄊ | theme=shopping | stage=1
 2442 | bill                           | 帳單                             | 🧾        | chunks=['b', 'ill'] | py=ㄅㄧㄦ | theme=shopping | stage=1 [有易混提示]
 2443 | invoice                        | 發票                             | 🧾        | chunks=['in', 'voice'] | py=ㄧㄣ-ㄈㄛㄧㄙ | theme=shopping | stage=2
 2444 | basket                         | 購物籃                            | 🧺        | chunks=['bas', 'ket'] | py=ㄅㄚㄙ-ㄎㄝㄊ | theme=shopping | stage=0
 2445 | totebag                        | 托特包                            | 👜        | chunks=['tote', 'bag'] | py=ㄊㄛㄊ-ㄅㄚㄍ | theme=shopping | stage=2
 2446 | grocery                        | 雜貨                             | 🛒        | chunks=['gro', 'ce', 'ry'] | py=ㄍㄌㄛ-ㄙㄜ-ㄌㄧ | theme=shopping | stage=1 base=grocer
 2447 | groceries                      | 日用品                            | 🛒        | chunks=['gro', 'cer', 'ies'] | py=ㄍㄌㄛ-ㄙㄜ-ㄧㄗ | theme=shopping | stage=1 base=grocer
 2448 | boutique                       | 精品店                            | 👗        | chunks=['bou', 'tique'] | py=ㄅㄨ-ㄊㄧㄎ | theme=shopping | stage=2
 2449 | outlet                         | 暢貨中心                           | 🏬        | chunks=['out', 'let'] | py=ㄠㄊ-ㄌㄝㄊ | theme=shopping | stage=2
 2450 | dealership                     | 經銷商                            | 🚗        | chunks=['dea', 'ler', 'ship'] | py=ㄉㄧ-ㄌㄜ-ㄒㄧㄆ | theme=shopping | stage=3
 2451 | vendor                         | 小販                             | 🛒        | chunks=['ven', 'dor'] | py=ㄈㄣ-ㄉㄜ | theme=shopping | stage=2 base=vend
 2452 | stall                          | 攤位                             | 🛒        | chunks=['st', 'all'] | py=ㄙㄉㄛㄦ | theme=shopping | stage=2
 2453 | kiosk                          | 售貨亭                            | 🛒        | chunks=['ki', 'osk'] | py=ㄎㄧ-ㄚㄙㄎ | theme=shopping | stage=3
 2454 | booth                          | 展位                             | 🛒        | chunks=['b', 'ooth'] | py=ㄅㄨㄙ | theme=shopping | stage=2
 2455 | catalog                        | 目錄                             | 📕        | chunks=['cat', 'a', 'log'] | py=ㄎㄚ-ㄊㄜ-ㄌㄚㄍ | theme=shopping | stage=2
 2456 | brand                          | 品牌                             | 🏷️       | chunks=['br', 'and'] | py=ㄅㄌㄚㄣㄉ | theme=shopping | stage=1
 2457 | label                          | 標籤                             | 🏷️       | chunks=['la', 'bel'] | py=ㄌㄟ-ㄅㄜ | theme=shopping | stage=1
 2458 | tag                            | 標籤                             | 🏷️       | chunks=['t', 'ag'] | py=ㄊㄚㄍ | theme=shopping | stage=1
 2459 | barcode                        | 條碼                             | 📊        | chunks=['bar', 'code'] | py=ㄅㄚㄦ-ㄎㄛㄉ | theme=shopping | stage=2
 2460 | queue                          | 排隊                             | ⏳        | chunks=['qu', 'eue'] | py=ㄎㄧㄨ | theme=shopping | stage=2
 2461 | sample                         | 樣品                             | 🆓        | chunks=['sam', 'ple'] | py=ㄙㄚㄇ-ㄆㄜ | theme=shopping | stage=1
 2462 | demo                           | 試用品、示範                         | 📺        | chunks=['de', 'mo'] | py=ㄉㄝ-ㄇㄛ | theme=shopping | stage=2
 2463 | trial                          | 試用、審判                          | ⚖️       | chunks=['tri', 'al'] | py=ㄊㄌㄞ-ㄦ | theme=shopping | stage=2
 2464 | fitting                        | 試穿                             | 👗        | chunks=['fit', 'ting'] | py=ㄈㄧ-ㄊㄧㄥ | theme=shopping | stage=2 base=fit
 2465 | gift                           | 禮物                             | 🎁        | chunks=['g', 'ift'] | py=ㄍㄧㄈㄊ | theme=shopping | stage=0
 2466 | voucher                        | 禮券                             | 🎟️       | chunks=['vou', 'cher'] | py=ㄈㄠ-ㄑㄜ | theme=shopping | stage=2
 2467 | coupon                         | 優惠券                            | 🎟️       | chunks=['cou', 'pon'] | py=ㄎㄨ-ㄆㄚㄣ | theme=shopping | stage=1
 2468 | deal                           | 優惠                             | 💰        | chunks=['d', 'eal'] | py=ㄉㄧㄦ | theme=shopping | stage=1
 2469 | bargain                        | 便宜貨                            | 💰        | chunks=['bar', 'gain'] | py=ㄅㄚㄦ-ㄍㄣ | theme=shopping | stage=2
 2470 | offer                          | 優惠                             | 📢        | chunks=['of', 'fer'] | py=ㄛ-ㄈㄜ | theme=shopping | stage=1
 2471 | promotion                      | 促銷                             | 📢        | chunks=['pro', 'mo', 'tion'] | py=ㄆㄜ-ㄇㄛ-ㄒㄣ | theme=shopping | stage=2
 2472 | spree                          | 狂購                             | 🛍️       | chunks=['spr', 'ee'] | py=ㄙㄆㄌㄧ | theme=shopping | stage=3
 2473 | client                         | 客戶                             | 🧑        | chunks=['cli', 'ent'] | py=ㄎㄌㄞ-ㄣㄊ | theme=shopping | stage=2
 2474 | buyer                          | 買家                             | 🛍️       | chunks=['bu', 'yer'] | py=ㄅㄞ-ㄜ | theme=shopping | stage=1 base=buy
 2475 | seller                         | 賣家                             | 🛍️       | chunks=['sel', 'ler'] | py=ㄙㄝ-ㄌㄜ | theme=shopping | stage=1 base=sell
 2476 | register                       | 收銀機、註冊                         | 💰        | chunks=['reg', 'is', 'ter'] | py=ㄌㄝ-ㄐㄜ-ㄙㄉㄜ | theme=shopping | stage=2
 2477 | chain                          | 連鎖店、鏈條                         | 🏬        | chunks=['ch', 'ain'] | py=ㄑㄟㄣ | theme=shopping | stage=2
 2478 | franchise                      | 加盟                             | 🏬        | chunks=['fran', 'chise'] | py=ㄈㄌㄚㄣ-ㄑㄞㄗ | theme=shopping | stage=3
 2479 | quality                        | 品質                             | ⭐        | chunks=['qual', 'i', 'ty'] | py=ㄎㄨㄛ-ㄌㄜ-ㄊㄧ | theme=shopping | stage=1
 2480 | inventory                      | 庫存                             | 📋        | chunks=['in', 'ven', 'to', 'ry'] | py=ㄧㄣ-ㄈㄣ-ㄊㄜ-ㄌㄧ | theme=shopping | stage=3
 2481 | stock                          | 存貨                             | 📊        | chunks=['st', 'ock'] | py=ㄙㄉㄚㄎ | theme=shopping | stage=1
 2482 | wholesale                      | 批發                             | 🏭        | chunks=['whole', 'sale'] | py=ㄏㄛㄦ-ㄙㄟㄦ | theme=shopping | stage=3
 2483 | retail                         | 零售                             | 🏬        | chunks=['re', 'tail'] | py=ㄌㄧ-ㄊㄟㄦ | theme=shopping | stage=2
 2484 | host                           | 主人                             | 🧑        | chunks=['h', 'ost'] | py=ㄏㄛㄙㄊ | theme=restaurant | stage=2
 2485 | hostess                        | 女主人                            | 👩        | chunks=['host', 'ess'] | py=ㄏㄛㄙ-ㄊㄝㄙ | theme=restaurant | stage=2 base=host
 2486 | server                         | 服務生                            | 💁        | chunks=['ser', 'ver'] | py=ㄙㄜ-ㄈㄜ | theme=restaurant | stage=1 base=serve
 2487 | busboy                         | 餐廳助手                           | 🍽️       | chunks=['bus', 'boy'] | py=ㄅㄚㄙ-ㄅㄛㄧ | theme=restaurant | stage=3
 2488 | sommelier                      | 侍酒師                            | 🍷        | chunks=['som', 'me', 'lier'] | py=ㄙㄚ-ㄇㄜ-ㄌㄧㄜ | theme=restaurant | stage=3
 2489 | bartender                      | 調酒師                            | 🍸        | chunks=['bar', 'ten', 'der'] | py=ㄅㄚㄦ-ㄊㄣ-ㄉㄜ | theme=restaurant | stage=2
 2490 | appetizer                      | 開胃菜                            | 🥗        | chunks=['ap', 'pe', 'ti', 'zer'] | py=ㄚ-ㄆㄜ-ㄊㄞ-ㄗㄜ | theme=restaurant | stage=2 base=appetite
 2491 | starter                        | 前菜                             | 🥗        | chunks=['star', 'ter'] | py=ㄙㄉㄚㄦ-ㄊㄜ | theme=restaurant | stage=2 base=start
 2492 | entree                         | 主菜                             | 🍽️       | chunks=['en', 'tree'] | py=ㄢ-ㄊㄌㄟ | theme=restaurant | stage=3
 2493 | maincourse                     | 主菜                             | 🍽️       | chunks=['main', 'course'] | py=ㄇㄟㄣ-ㄎㄛㄦㄙ | theme=restaurant | stage=2
 2494 | sidedish                       | 配菜                             | 🥗        | chunks=['side', 'dish'] | py=ㄙㄞㄉ-ㄉㄧㄒ | theme=restaurant | stage=2
 2495 | brunch                         | 早午餐                            | 🥞        | chunks=['br', 'unch'] | py=ㄅㄌㄚㄣㄑ | theme=restaurant | stage=1
 2496 | supper                         | 晚餐                             | 🍽️       | chunks=['sup', 'per'] | py=ㄙㄚ-ㄆㄜ | theme=restaurant | stage=2
 2497 | picnic                         | 野餐                             | 🧺        | chunks=['pic', 'nic'] | py=ㄆㄧㄎ-ㄋㄧㄎ | theme=restaurant | stage=1
 2498 | takeout                        | 外帶                             | 🥡        | chunks=['take', 'out'] | py=ㄊㄟㄎ-ㄠㄊ | theme=restaurant | stage=1
 2499 | takeaway                       | 外帶                             | 🥡        | chunks=['take', 'a', 'way'] | py=ㄊㄟㄎ-ㄜ-ㄨㄝ | theme=restaurant | stage=1
