# 字 2500-2999
 2500 | dinein                         | 內用                             | 🍽️       | chunks=['dine', 'in'] | py=ㄉㄞㄣ-ㄧㄣ | theme=restaurant | stage=2
 2854 | wore                           | 穿了                             | 👕        | chunks=['w', 'ore'] | py=ㄨㄛㄦ | theme=sight-words | stage=1 base=wear
 2855 | snuck                          | 偷偷溜了(sneak 過去式)                | 🤫        | chunks=['sn', 'uck'] | py=ㄙㄋㄚㄎ | theme=sight-words | stage=2 base=sneak
 2856 | smelt                          | 聞了                             | 👃        | chunks=['sm', 'elt'] | py=ㄙㄇㄝㄦㄊ | theme=sight-words | stage=2 base=smell
 2857 | dwelt                          | 居住過                            | 🏠        | chunks=['dw', 'elt'] | py=ㄉㄨㄝㄦㄊ | theme=sight-words | stage=3 base=dwell
 2858 | get off                        | 下車離開                           | 🚪        | chunks=['get', 'off'] | py=ㄍㄝㄊ-ㄛㄈ | theme=phrasal-verbs | stage=1
 2859 | get in                         | 進入                             | 📥        | chunks=['get', 'in'] | py=ㄍㄝㄊ-ㄧㄣ | theme=phrasal-verbs | stage=1
 2860 | get out                        | 出去                             | 📤        | chunks=['get', 'out'] | py=ㄍㄝㄊ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2861 | get over                       | 克服                             | 💪        | chunks=['get', 'o', 'ver'] | py=ㄍㄝㄊ-ㄛ-ㄈㄜ | theme=phrasal-verbs | stage=1
 2862 | get back                       | 回來                             | ↩️       | chunks=['get', 'back'] | py=ㄍㄝㄊ-ㄅㄚㄎ | theme=phrasal-verbs | stage=1
 2863 | take in                        | 理解吸收                           | 🧠        | chunks=['take', 'in'] | py=ㄊㄟㄎ-ㄧㄣ | theme=phrasal-verbs | stage=2
 2864 | take out                       | 取出                             | 📤        | chunks=['take', 'out'] | py=ㄊㄟㄎ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2865 | take over                      | 接管                             | 🔄        | chunks=['take', 'o', 'ver'] | py=ㄊㄟㄎ-ㄛ-ㄈㄜ | theme=phrasal-verbs | stage=2
 2866 | take away                      | 帶走                             | 🥡        | chunks=['take', 'a', 'way'] | py=ㄊㄟㄎ-ㄝ-ㄨㄝ | theme=phrasal-verbs | stage=1
 2867 | take up                        | 開始學                            | 📚        | chunks=['take', 'up'] | py=ㄊㄟㄎ-ㄚㄆ | theme=phrasal-verbs | stage=2
 2868 | put off                        | 延後                             | 📅        | chunks=['put', 'off'] | py=ㄆㄨㄊ-ㄛㄈ | theme=phrasal-verbs | stage=1
 2869 | put up                         | 舉起張貼                           | ⬆️       | chunks=['put', 'up'] | py=ㄆㄨㄊ-ㄚㄆ | theme=phrasal-verbs | stage=2
 2870 | put away                       | 收起來                            | 🗄️       | chunks=['put', 'a', 'way'] | py=ㄆㄨㄊ-ㄝ-ㄨㄝ | theme=phrasal-verbs | stage=1
 2871 | come up                        | 出現接近                           | ⬆️       | chunks=['come', 'up'] | py=ㄎㄚㄇ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2872 | come on                        | 加油                             | 💪        | chunks=['come', 'on'] | py=ㄎㄚㄇ-ㄚㄣ | theme=phrasal-verbs | stage=0
 2873 | come over                      | 過來                             | 👉        | chunks=['come', 'o', 'ver'] | py=ㄎㄚㄇ-ㄛ-ㄈㄜ | theme=phrasal-verbs | stage=1
 2874 | come out                       | 出來                             | 📤        | chunks=['come', 'out'] | py=ㄎㄚㄇ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2875 | come down                      | 下來                             | ⬇️       | chunks=['come', 'down'] | py=ㄎㄚㄇ-ㄉㄠㄣ | theme=phrasal-verbs | stage=1
 2876 | go on                          | 繼續                             | ▶️       | chunks=['go', 'on'] | py=ㄍㄛ-ㄚㄣ | theme=phrasal-verbs | stage=1
 2877 | go out                         | 出去                             | 🚪        | chunks=['go', 'out'] | py=ㄍㄛ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2878 | go off                         | 響起爆炸                           | 💥        | chunks=['go', 'off'] | py=ㄍㄛ-ㄛㄈ | theme=phrasal-verbs | stage=2
 2879 | go over                        | 複習                             | 📚        | chunks=['go', 'o', 'ver'] | py=ㄍㄛ-ㄛ-ㄈㄜ | theme=phrasal-verbs | stage=1
 2880 | go through                     | 經歷                             | 🚪        | chunks=['go', 'through'] | py=ㄍㄛ-ㄙㄌㄨ | theme=phrasal-verbs | stage=1
 2881 | go back                        | 回去                             | ↩️       | chunks=['go', 'back'] | py=ㄍㄛ-ㄅㄚㄎ | theme=phrasal-verbs | stage=1
 2882 | look up                        | 查詢                             | 🔍        | chunks=['look', 'up'] | py=ㄌㄨㄎ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2883 | look out                       | 小心                             | ⚠️       | chunks=['look', 'out'] | py=ㄌㄨㄎ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2884 | look after                     | 照顧                             | 🤗        | chunks=['look', 'af', 'ter'] | py=ㄌㄨㄎ-ㄚㄈ-ㄊㄜ | theme=phrasal-verbs | stage=1
 2885 | look into                      | 調查                             | 🔍        | chunks=['look', 'in', 'to'] | py=ㄌㄨㄎ-ㄧㄣ-ㄊㄨ | theme=phrasal-verbs | stage=2
 2886 | pick out                       | 挑出                             | 👆        | chunks=['pick', 'out'] | py=ㄆㄧㄎ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2887 | turn out                       | 結果是                            | 🎯        | chunks=['turn', 'out'] | py=ㄊㄜㄣ-ㄠㄊ | theme=phrasal-verbs | stage=2
 2888 | turn over                      | 翻過                             | 🔄        | chunks=['turn', 'o', 'ver'] | py=ㄊㄜㄣ-ㄛ-ㄈㄜ | theme=phrasal-verbs | stage=1
 2889 | turn down                      | 拒絕調小                           | ❌        | chunks=['turn', 'down'] | py=ㄊㄜㄣ-ㄉㄠㄣ | theme=phrasal-verbs | stage=1
 2890 | bring up                       | 提起養育                           | 💬        | chunks=['bring', 'up'] | py=ㄅㄌㄧㄥ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2891 | bring back                     | 帶回                             | ↩️       | chunks=['bring', 'back'] | py=ㄅㄌㄧㄥ-ㄅㄚㄎ | theme=phrasal-verbs | stage=1
 2892 | bring in                       | 引入                             | 📥        | chunks=['bring', 'in'] | py=ㄅㄌㄧㄥ-ㄧㄣ | theme=phrasal-verbs | stage=2
 2893 | fall down                      | 跌倒                             | 🤕        | chunks=['fall', 'down'] | py=ㄈㄛㄦ-ㄉㄠㄣ | theme=phrasal-verbs | stage=0
 2894 | fall apart                     | 瓦解                             | 💔        | chunks=['fall', 'a', 'part'] | py=ㄈㄛㄦ-ㄝ-ㄆㄚㄦㄊ | theme=phrasal-verbs | stage=2
 2895 | fall behind                    | 落後                             | ⏪        | chunks=['fall', 'be', 'hind'] | py=ㄈㄛㄦ-ㄅㄧ-ㄏㄞㄣㄉ | theme=phrasal-verbs | stage=2
 2896 | run out                        | 用完                             | 🚫        | chunks=['run', 'out'] | py=ㄌㄚㄣ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2897 | run away                       | 逃跑                             | 🏃        | chunks=['run', 'a', 'way'] | py=ㄌㄚㄣ-ㄝ-ㄨㄝ | theme=phrasal-verbs | stage=1
 2898 | run into                       | 偶遇                             | 🤝        | chunks=['run', 'in', 'to'] | py=ㄌㄚㄣ-ㄧㄣ-ㄊㄨ | theme=phrasal-verbs | stage=1
 2899 | break down                     | 故障崩潰                           | 💔        | chunks=['break', 'down'] | py=ㄅㄌㄝㄎ-ㄉㄠㄣ | theme=phrasal-verbs | stage=1
 2900 | break up                       | 分手                             | 💔        | chunks=['break', 'up'] | py=ㄅㄌㄝㄎ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2901 | break out                      | 爆發                             | 💥        | chunks=['break', 'out'] | py=ㄅㄌㄝㄎ-ㄠㄊ | theme=phrasal-verbs | stage=2
 2902 | break in                       | 闖入                             | 🚪        | chunks=['break', 'in'] | py=ㄅㄌㄝㄎ-ㄧㄣ | theme=phrasal-verbs | stage=2
 2903 | pass out                       | 昏倒                             | 😵        | chunks=['pass', 'out'] | py=ㄆㄚㄙ-ㄠㄊ | theme=phrasal-verbs | stage=2
 2904 | pass by                        | 經過                             | 👉        | chunks=['pass', 'by'] | py=ㄆㄚㄙ-ㄅㄞ | theme=phrasal-verbs | stage=1
 2905 | pass away                      | 去世                             | ⚰️       | chunks=['pass', 'a', 'way'] | py=ㄆㄚㄙ-ㄝ-ㄨㄝ | theme=phrasal-verbs | stage=2
 2906 | hold on                        | 等等                             | ✋        | chunks=['hold', 'on'] | py=ㄏㄛㄉ-ㄚㄣ | theme=phrasal-verbs | stage=0
 2907 | hold up                        | 舉起搶劫                           | 🤚        | chunks=['hold', 'up'] | py=ㄏㄛㄉ-ㄚㄆ | theme=phrasal-verbs | stage=2
 2908 | hold back                      | 忍住                             | 🛑        | chunks=['hold', 'back'] | py=ㄏㄛㄉ-ㄅㄚㄎ | theme=phrasal-verbs | stage=2
 2909 | figure out                     | 想通                             | 💡        | chunks=['fi', 'gure', 'out'] | py=ㄈㄧ-ㄍㄜ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2910 | work out                       | 想出健身                           | 💪        | chunks=['work', 'out'] | py=ㄨㄜㄎ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2911 | point out                      | 指出                             | 👆        | chunks=['point', 'out'] | py=ㄆㄛㄧㄣㄊ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2912 | set up                         | 設置                             | ⚙️       | chunks=['set', 'up'] | py=ㄙㄝㄊ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2913 | set off                        | 出發引爆                           | 🚀        | chunks=['set', 'off'] | py=ㄙㄝㄊ-ㄛㄈ | theme=phrasal-verbs | stage=2
 2914 | show up                        | 出現                             | 🚪        | chunks=['show', 'up'] | py=ㄒㄛ-ㄚㄆ | theme=phrasal-verbs | stage=1
 2915 | show off                       | 炫耀                             | 💪        | chunks=['show', 'off'] | py=ㄒㄛ-ㄛㄈ | theme=phrasal-verbs | stage=1
 2916 | stand out                      | 突出                             | ⭐        | chunks=['stand', 'out'] | py=ㄙㄉㄢㄉ-ㄠㄊ | theme=phrasal-verbs | stage=1
 2917 | carry on                       | 繼續                             | ▶️       | chunks=['car', 'ry', 'on'] | py=ㄎㄚ-ㄌㄧ-ㄚㄣ | theme=phrasal-verbs | stage=1
 2918 | conversely                     | 相反地                            | 🔄        | chunks=['con', 'verse', 'ly'] | py=ㄎㄢ-ㄈㄜㄙ-ㄌㄧ | theme=connectors | stage=3 base=converse
 2919 | comparatively                  | 相對地                            | ⚖️       | chunks=['com', 'par', 'a', 'tive', 'ly'] | py=ㄎㄚㄇ-ㄆㄝ-ㄜ-ㄊㄧㄈ-ㄌㄧ | theme=connectors | stage=3 base=comparative
 2920 | correspondingly                | 相應地                            | ➡️       | chunks=['cor', 're', 'spon', 'ding', 'ly'] | py=ㄎㄛ-ㄌㄧ-ㄙㄆㄚㄣ-ㄉㄧㄥ-ㄌㄧ | theme=connectors | stage=3
 2921 | equally                        | 同樣地                            | 🟰        | chunks=['e', 'qual', 'ly'] | py=ㄧ-ㄎㄨㄛ-ㄌㄧ | theme=connectors | stage=2 base=equal
 2922 | firstly                        | 首先                             | 1️⃣      | chunks=['first', 'ly'] | py=ㄈㄜㄙㄊ-ㄌㄧ | theme=connectors | stage=2 base=first
 2923 | secondly                       | 其次                             | 2️⃣      | chunks=['se', 'cond', 'ly'] | py=ㄙㄝ-ㄎㄢㄉ-ㄌㄧ | theme=connectors | stage=2 base=second
 2924 | thirdly                        | 第三                             | 3️⃣      | chunks=['third', 'ly'] | py=ㄙㄜㄉ-ㄌㄧ | theme=connectors | stage=2 base=third
 2925 | lastly                         | 最後                             | 🔚        | chunks=['last', 'ly'] | py=ㄌㄚㄙㄊ-ㄌㄧ | theme=connectors | stage=2 base=last
 2926 | notably                        | 值得注意地                          | 📌        | chunks=['no', 'ta', 'bly'] | py=ㄋㄛ-ㄊㄜ-ㄅㄌㄧ | theme=connectors | stage=3
 2927 | importantly                    | 重要的是                           | ❗        | chunks=['im', 'por', 'tant', 'ly'] | py=ㄧㄇ-ㄆㄛㄦ-ㄊㄣㄊ-ㄌㄧ | theme=connectors | stage=2 base=important
 2928 | significantly                  | 顯著地                            | 📊        | chunks=['sig', 'nif', 'i', 'cant', 'ly'] | py=ㄒㄧㄍ-ㄋㄧ-ㄈㄜ-ㄎㄣㄊ-ㄌㄧ | theme=connectors | stage=3 base=significant
 2929 | chiefly                        | 主要地                            | 🎯        | chunks=['chief', 'ly'] | py=ㄑㄧㄈ-ㄌㄧ | theme=connectors | stage=3 base=chief
 2930 | notwithstanding                | 儘管                             | 🤷        | chunks=['not', 'with', 'stand', 'ing'] | py=ㄋㄚㄊ-ㄨㄧㄒ-ㄙㄉㄢㄉ-ㄧㄥ | theme=connectors | stage=3
 2931 | albeit                         | 雖然                             | 🤷        | chunks=['al', 'be', 'it'] | py=ㄛㄦ-ㄅㄧ-ㄧㄊ | theme=connectors | stage=3
 2932 | granted                        | 當然                             | ✅        | chunks=['grant', 'ed'] | py=ㄍㄌㄚㄣㄊ-ㄝㄉ | theme=connectors | stage=3
 2933 | subsequently                   | 隨後                             | ➡️       | chunks=['sub', 'se', 'quent', 'ly'] | py=ㄙㄚㄅ-ㄒㄜ-ㄎㄨㄣㄊ-ㄌㄧ | theme=connectors | stage=3 base=subsequent
 2934 | formerly                       | 以前                             | ◀️       | chunks=['for', 'mer', 'ly'] | py=ㄈㄛㄦ-ㄇㄜ-ㄌㄧ | theme=connectors | stage=3
 2935 | initially                      | 最初                             | 🆕        | chunks=['i', 'ni', 'tial', 'ly'] | py=ㄧ-ㄋㄧ-ㄒㄦ-ㄌㄧ | theme=connectors | stage=2 base=initial
 2936 | originally                     | 原本                             | 🆕        | chunks=['o', 'rig', 'i', 'nal', 'ly'] | py=ㄛ-ㄌㄧ-ㄐㄜ-ㄋㄦ-ㄌㄧ | theme=connectors | stage=2 base=original
 2937 | thereafter                     | 此後                             | ➡️       | chunks=['there', 'af', 'ter'] | py=ㄉㄝㄜ-ㄚㄈ-ㄊㄜ | theme=connectors | stage=3
 2938 | hitherto                       | 迄今                             | ⏳        | chunks=['hith', 'er', 'to'] | py=ㄏㄧ-ㄉㄜ-ㄊㄨ | theme=connectors | stage=3
 2939 | henceforward                   | 從此                             | ➡️       | chunks=['hence', 'for', 'ward'] | py=ㄏㄝㄣㄙ-ㄈㄛㄦ-ㄨㄜㄉ | theme=connectors | stage=3
 2940 | thereupon                      | 於是                             | ➡️       | chunks=['there', 'u', 'pon'] | py=ㄉㄝㄜ-ㄜ-ㄆㄚㄣ | theme=connectors | stage=3
 2941 | hereupon                       | 於此                             | 📍        | chunks=['here', 'u', 'pon'] | py=ㄏㄧㄦ-ㄜ-ㄆㄚㄣ | theme=connectors | stage=3
 2942 | whereupon                      | 於是                             | ➡️       | chunks=['where', 'u', 'pon'] | py=ㄨㄝㄜ-ㄜ-ㄆㄚㄣ | theme=connectors | stage=3
 2943 | inasmuch                       | 由於                             | ➡️       | chunks=['in', 'as', 'much'] | py=ㄧㄣ-ㄚㄗ-ㄇㄚㄑ | theme=connectors | stage=3
 2944 | whence                         | 從何處                            | ❓        | chunks=['wh', 'ence'] | py=ㄨㄝㄣㄙ | theme=connectors | stage=3
 2945 | whereof                        | 關於                             | 📍        | chunks=['where', 'of'] | py=ㄨㄝㄜ-ㄚㄈ | theme=connectors | stage=3
 2946 | provided                       | 假如                             | 🤔        | chunks=['pro', 'vid', 'ed'] | py=ㄆㄜ-ㄈㄞ-ㄉㄝㄉ | theme=connectors | stage=2 base=provide
 2947 | supposing                      | 假設                             | 🤔        | chunks=['sup', 'pos', 'ing'] | py=ㄙㄜ-ㄆㄛㄗ-ㄧㄥ | theme=connectors | stage=3 base=suppose
 2948 | simultaneously                 | 同時                             | 🔁        | chunks=['si', 'mul', 'ta', 'ne', 'ous', 'ly'] | py=ㄙㄞ-ㄇㄦ-ㄊㄟ-ㄋㄧ-ㄚㄙ-ㄌㄧ | theme=connectors | stage=3
 2949 | concurrently                   | 同時                             | 🔁        | chunks=['con', 'cur', 'rent', 'ly'] | py=ㄎㄢ-ㄎㄜ-ㄌㄣㄊ-ㄌㄧ | theme=connectors | stage=3
 2950 | arguably                       | 可說                             | 💭        | chunks=['ar', 'gu', 'a', 'bly'] | py=ㄚㄦ-ㄍㄧㄨ-ㄜ-ㄅㄌㄧ | theme=connectors | stage=3
 2951 | seemingly                      | 看似                             | 👁️       | chunks=['seem', 'ing', 'ly'] | py=ㄒㄧㄇ-ㄧㄥ-ㄌㄧ | theme=connectors | stage=2
 2952 | noteworthy                     | 值得注意的                          | 📌        | chunks=['note', 'wor', 'thy'] | py=ㄋㄛㄊ-ㄨㄜ-ㄒㄧ | theme=connectors | stage=3
 2953 | beforehand                     | 事先                             | ⏪        | chunks=['be', 'fore', 'hand'] | py=ㄅㄧ-ㄈㄛㄦ-ㄏㄚㄣㄉ | theme=connectors | stage=2
 2954 | afterwards                     | 之後                             | ⏩        | chunks=['af', 'ter', 'wards'] | py=ㄚㄈ-ㄊㄜ-ㄨㄜㄗ | theme=connectors | stage=2
 2955 | ironically                     | 諷刺地                            | 😏        | chunks=['i', 'ron', 'i', 'cal', 'ly'] | py=ㄞ-ㄌㄚㄣ-ㄜ-ㄎㄜ-ㄌㄧ | theme=connectors | stage=3
 2956 | curiously                      | 奇怪地                            | 🧐        | chunks=['cu', 'ri', 'ous', 'ly'] | py=ㄎㄧㄨ-ㄌㄧ-ㄚㄙ-ㄌㄧ | theme=connectors | stage=3 base=curious
 2957 | paradoxically                  | 矛盾地                            | 🤔        | chunks=['par', 'a', 'dox', 'i', 'cal', 'ly'] | py=ㄆㄝ-ㄜ-ㄉㄚㄎ-ㄜ-ㄎㄜ-ㄌㄧ | theme=connectors | stage=3
 2958 | ceo                            | 執行長                            | 💼        | chunks=['c', 'e', 'o'] | py=ㄒㄧ-ㄧ-ㄛ | theme=jobs-advanced | stage=1
 2959 | cfo                            | 財務長                            | 💼        | chunks=['c', 'f', 'o'] | py=ㄒㄧ-ㄝㄈ-ㄛ | theme=jobs-advanced | stage=2
 2960 | executive                      | 主管                             | 💼        | chunks=['ex', 'ec', 'u', 'tive'] | py=ㄧㄍ-ㄗㄝㄎ-ㄐㄜ-ㄊㄧㄈ | theme=jobs-advanced | stage=2 base=execute
 2961 | entrepreneur                   | 創業家                            | 💼        | chunks=['en', 'tre', 'pre', 'neur'] | py=ㄚㄣ-ㄊㄌㄜ-ㄆㄌㄜ-ㄋㄜ | theme=jobs-advanced | stage=3
 2962 | founder                        | 創辦人                            | 💼        | chunks=['foun', 'der'] | py=ㄈㄠㄣ-ㄉㄜ | theme=jobs-advanced | stage=2 base=found
 2963 | investor                       | 投資人                            | 💰        | chunks=['in', 'ves', 'tor'] | py=ㄧㄣ-ㄈㄝㄙ-ㄊㄜ | theme=jobs-advanced | stage=2 base=invest
 2964 | freelancer                     | 自由工作者                          | 💻        | chunks=['free', 'lan', 'cer'] | py=ㄈㄌㄧ-ㄌㄢ-ㄙㄜ | theme=jobs-advanced | stage=2
 2965 | contractor                     | 承包商                            | 📋        | chunks=['con', 'trac', 'tor'] | py=ㄎㄢ-ㄊㄌㄚㄎ-ㄊㄜ | theme=jobs-advanced | stage=2 base=contract
 2966 | consultant                     | 顧問                             | 🧑‍💼      | chunks=['con', 'sul', 'tant'] | py=ㄎㄢ-ㄙㄜ-ㄊㄣㄊ | theme=jobs-advanced | stage=2 base=consult
 2967 | advisor                        | 顧問                             | 🧑‍💼      | chunks=['ad', 'vi', 'sor'] | py=ㄚㄉ-ㄈㄞ-ㄗㄜ | theme=jobs-advanced | stage=2
 2968 | analyst                        | 分析師                            | 📊        | chunks=['an', 'a', 'lyst'] | py=ㄚ-ㄋㄜ-ㄌㄧㄙㄊ | theme=jobs-advanced | stage=2 base=analyze
 2969 | strategist                     | 策略師                            | 🎯        | chunks=['strat', 'e', 'gist'] | py=ㄙㄉㄌㄚ-ㄊㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3 base=strategy
 2970 | architect                      | 建築師                            | 📐        | chunks=['ar', 'chi', 'tect'] | py=ㄚㄦ-ㄎㄜ-ㄊㄝㄎㄊ | theme=jobs-advanced | stage=2
 2971 | surveyor                       | 測量員                            | 📐        | chunks=['sur', 'vey', 'or'] | py=ㄙㄜ-ㄈㄟ-ㄜ | theme=jobs-advanced | stage=3
 2972 | biologist                      | 生物學家                           | 🔬        | chunks=['bi', 'ol', 'o', 'gist'] | py=ㄅㄞ-ㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=2 base=biology
 2973 | chemist                        | 化學家                            | 🧪        | chunks=['chem', 'ist'] | py=ㄎㄝ-ㄇㄧㄙㄊ | theme=jobs-advanced | stage=2 base=chemistry
 2974 | physicist                      | 物理學家                           | 🔬        | chunks=['phys', 'i', 'cist'] | py=ㄈㄧ-ㄗㄜ-ㄒㄧㄙㄊ | theme=jobs-advanced | stage=3 base=physics
 2975 | geologist                      | 地質學家                           | 🪨        | chunks=['ge', 'ol', 'o', 'gist'] | py=ㄐㄧ-ㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2976 | astronomer                     | 天文學家                           | 🔭        | chunks=['as', 'tron', 'o', 'mer'] | py=ㄚ-ㄙㄉㄌㄚ-ㄋㄜ-ㄇㄜ | theme=jobs-advanced | stage=3 base=astronomy
 2977 | mathematician                  | 數學家                            | ➗        | chunks=['math', 'e', 'ma', 'ti', 'cian'] | py=ㄇㄚ-ㄙㄜ-ㄇㄚ-ㄊㄜ-ㄒㄢ | theme=jobs-advanced | stage=3
 2978 | sociologist                    | 社會學家                           | 👥        | chunks=['so', 'ci', 'ol', 'o', 'gist'] | py=ㄙㄛ-ㄒㄧ-ㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3 base=sociology
 2979 | psychologist                   | 心理學家                           | 🧠        | chunks=['psy', 'chol', 'o', 'gist'] | py=ㄙㄞ-ㄎㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=2 base=psychology
 2980 | anthropologist                 | 人類學家                           | 🧑        | chunks=['an', 'thro', 'pol', 'o', 'gist'] | py=ㄢ-ㄙㄌㄛ-ㄆㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2981 | archaeologist                  | 考古學家                           | 🏺        | chunks=['ar', 'chae', 'ol', 'o', 'gist'] | py=ㄚㄦ-ㄎㄧ-ㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2982 | economist                      | 經濟學家                           | 📈        | chunks=['e', 'con', 'o', 'mist'] | py=ㄧ-ㄎㄚ-ㄋㄜ-ㄇㄧㄙㄊ | theme=jobs-advanced | stage=2 base=economy
 2983 | statistician                   | 統計學家                           | 📊        | chunks=['stat', 'is', 'ti', 'cian'] | py=ㄙㄉㄚ-ㄊㄜ-ㄒㄜ-ㄒㄢ | theme=jobs-advanced | stage=3
 2984 | philosopher                    | 哲學家                            | 📚        | chunks=['phil', 'os', 'o', 'pher'] | py=ㄈㄜ-ㄌㄚ-ㄗㄜ-ㄈㄜ | theme=jobs-advanced | stage=2 base=philosophy
 2985 | historian                      | 歷史學家                           | 📜        | chunks=['his', 'tor', 'i', 'an'] | py=ㄏㄧㄙ-ㄊㄛㄦ-ㄧ-ㄣ | theme=jobs-advanced | stage=2 base=history
 2986 | surgeon                        | 外科醫生                           | 🩺        | chunks=['sur', 'geon'] | py=ㄙㄜ-ㄐㄣ | theme=jobs-advanced | stage=2
 2987 | physician                      | 內科醫生                           | 🩺        | chunks=['phy', 'si', 'cian'] | py=ㄈㄜ-ㄗㄧ-ㄒㄢ | theme=jobs-advanced | stage=2
 2988 | pediatrician                   | 小兒科醫生                          | 👶        | chunks=['pe', 'di', 'a', 'tri', 'cian'] | py=ㄆㄧ-ㄉㄧ-ㄜ-ㄊㄌㄧ-ㄒㄢ | theme=jobs-advanced | stage=3
 2989 | cardiologist                   | 心臟科醫生                          | ❤️       | chunks=['car', 'di', 'ol', 'o', 'gist'] | py=ㄎㄚㄦ-ㄉㄧ-ㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2990 | dermatologist                  | 皮膚科醫生                          | 🧴        | chunks=['der', 'ma', 'tol', 'o', 'gist'] | py=ㄉㄜ-ㄇㄜ-ㄊㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2991 | psychiatrist                   | 精神科醫生                          | 🧠        | chunks=['psy', 'chi', 'a', 'trist'] | py=ㄙㄞ-ㄎㄞ-ㄜ-ㄊㄌㄧㄙㄊ | theme=jobs-advanced | stage=3
 2992 | optometrist                    | 驗光師                            | 👓        | chunks=['op', 'tom', 'e', 'trist'] | py=ㄚㄆ-ㄊㄚ-ㄇㄜ-ㄊㄌㄧㄙㄊ | theme=jobs-advanced | stage=3
 2993 | radiologist                    | 放射科醫生                          | 📡        | chunks=['ra', 'di', 'ol', 'o', 'gist'] | py=ㄌㄟ-ㄉㄧ-ㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2994 | oncologist                     | 腫瘤科醫生                          | 🎗️       | chunks=['on', 'col', 'o', 'gist'] | py=ㄚㄣ-ㄎㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2995 | gynecologist                   | 婦科醫生                           | 🩺        | chunks=['gy', 'ne', 'col', 'o', 'gist'] | py=ㄍㄞ-ㄋㄜ-ㄎㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2996 | neurologist                    | 神經科醫生                          | 🧠        | chunks=['neu', 'rol', 'o', 'gist'] | py=ㄋㄨ-ㄌㄚ-ㄌㄜ-ㄐㄧㄙㄊ | theme=jobs-advanced | stage=3
 2997 | veterinarian                   | 獸醫                             | 🐕        | chunks=['vet', 'er', 'i', 'nar', 'i', 'an'] | py=ㄈㄝ-ㄊㄜ-ㄜ-ㄋㄝㄦ-ㄧ-ㄣ | theme=jobs-advanced | stage=2
 2998 | paramedic                      | 急救員                            | 🚑        | chunks=['par', 'a', 'med', 'ic'] | py=ㄆㄝ-ㄜ-ㄇㄝ-ㄉㄧㄎ | theme=jobs-advanced | stage=3
 2999 | midwife                        | 助產士                            | 👶        | chunks=['mid', 'wife'] | py=ㄇㄧㄉ-ㄨㄞㄈ | theme=jobs-advanced | stage=3
