# 字 8000-8499
 8000 | mansion                        | 大廈                             | 🏛️       | chunks=['man', 'sion'] | py=ㄇㄢ-ㄒㄜㄣ | theme=academic-words | stage=3
 8349 | alcoholic                      | 酒精的                            | 🎨        | chunks=['al', 'co', 'ho', 'lic'] | py=ㄦ-ㄎㄛ-ㄏㄚ-ㄌㄧㄎ | theme=adjectives | stage=4 base=alcohol
 8350 | alienate                       | 使…疏遠                           | 🏃        | chunks=['a', 'lie', 'na', 'te'] | py=ㄜ-ㄌㄞ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4 base=alien
 8351 | ambiguity                      | 模稜兩可                           | 🎓        | chunks=['am', 'bi', 'gui', 'ty'] | py=ㄚㄇ-ㄅㄞ-ㄍㄧ-ㄊㄧ | theme=academic-words | stage=4
 8352 | ambush                         | 埋伏                             | 🏃        | chunks=['am', 'bush'] | py=ㄚㄇ-ㄅㄨㄒ | theme=actions | stage=4
 8353 | amiable                        | 和藹的                            | 🎨        | chunks=['a', 'miab', 'le'] | py=ㄜ-ㄇㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=4
 8354 | amplify                        | 增強                             | 🏃        | chunks=['am', 'pli', 'fy'] | py=ㄚㄇ-ㄆㄌㄜ-ㄈㄞ | theme=actions | stage=4 base=ample
 8355 | analects                       | 語錄                             | 🏃        | chunks=['a', 'na', 'lects'] | py=ㄜ-ㄋㄚ-ㄌㄝㄎㄊㄙ | theme=actions | stage=4
 8356 | analogy                        | 相似之處                           | 🏃        | chunks=['a', 'na', 'lo', 'gy'] | py=ㄜ-ㄋㄚ-ㄌㄛ-ㄐㄧ | theme=actions | stage=4
 8357 | analytical                     | 分析的                            | 🎨        | chunks=['a', 'na', 'ly', 'ti', 'cal'] | py=ㄜ-ㄋㄚ-ㄌㄧ-ㄊㄜ-ㄎㄜ | theme=adjectives | stage=4 base=analyze
 8358 | animate                        | 賦予生命活的                         | 🎨        | chunks=['a', 'ni', 'ma', 'te'] | py=ㄜ-ㄋㄜ-ㄇㄚ-ㄊㄧ | theme=adjectives | stage=4
 8359 | annoyance                      | 惱怒                             | 🎓        | chunks=['an', 'noyan', 'ce'] | py=ㄢ-ㄋㄛㄧㄚㄋ-ㄙㄜ | theme=academic-words | stage=4 base=annoy
 8360 | antenna                        | 天線                             | 🏃        | chunks=['an', 'ten', 'na'] | py=ㄢ-ㄊㄣ-ㄋㄚ | theme=actions | stage=4
 8361 | anticipation                   | 期望                             | 🎓        | chunks=['an', 'ti', 'ci', 'pa', 'tion'] | py=ㄢ-ㄊㄜ-ㄙㄜ-ㄆㄜ-ㄒㄣ | theme=academic-words | stage=4 base=anticipate
 8362 | antonym                        | 反義字                            | 🏃        | chunks=['an', 'to', 'nym'] | py=ㄢ-ㄊㄛ-ㄋㄧㄇ | theme=actions | stage=4
 8363 | applicable                     | 適用的                            | 🎨        | chunks=['ap', 'pli', 'cab', 'le'] | py=ㄚ-ㄆㄌㄜ-ㄎㄝ-ㄌㄧ | theme=adjectives | stage=4
 8364 | apprentice                     | 學徒                             | 🏃        | chunks=['ap', 'pren', 'ti', 'ce'] | py=ㄚ-ㄆㄖㄝㄋ-ㄊㄜ-ㄙㄜ | theme=actions | stage=4
 8365 | aptitude                       | 天賦                             | 🎓        | chunks=['ap', 'ti', 'tu', 'de'] | py=ㄚ-ㄊㄜ-ㄑㄨ-ㄉㄧ | theme=academic-words | stage=4
 8366 | assassinate                    | 暗殺                             | 🏃        | chunks=['as', 'sas', 'si', 'na', 'te'] | py=ㄚ-ㄙㄚ-ㄗㄜ-ㄋㄚ-ㄊㄧ | theme=crime | stage=4
 8367 | assert                         | 斷言                             | 🏃        | chunks=['as', 'sert'] | py=ㄚ-ㄗㄦㄊ | theme=actions | stage=4
 8368 | assessment                     | 評估                             | 🎨        | chunks=['as', 'ses', 'sment'] | py=ㄚ-ㄗㄝㄗ-ㄙㄇㄣㄊ | theme=adjectives | stage=4 base=assess
 8369 | assumption                     | 假定                             | 🎓        | chunks=['as', 'sum', 'ption'] | py=ㄚ-ㄙㄚ-ㄆㄒㄣ | theme=academic-words | stage=4 base=assume
 8370 | attainment                     | 到達                             | 🎨        | chunks=['at', 'tain', 'ment'] | py=ㄚ-ㄊㄣ-ㄇㄣㄊ | theme=adjectives | stage=4 base=attain
 8371 | authentic                      | 真實的                            | 🎨        | chunks=['aut', 'hen', 'tic'] | py=ㄛㄊ-ㄏㄣ-ㄊㄧㄎ | theme=adjectives | stage=4
 8372 | authorize                      | 授權                             | 🏃        | chunks=['aut', 'ho', 'ri', 'ze'] | py=ㄛㄊ-ㄏㄚ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=author
 8373 | autograph                      | 簽名                             | 🏃        | chunks=['au', 'tog', 'raph'] | py=ㄛ-ㄊㄚ-ㄖㄚㄈ | theme=actions | stage=4
 8374 | aviation                       | 飛行                             | 🎓        | chunks=['a', 'via', 'tion'] | py=ㄜ-ㄨㄧㄚ-ㄒㄣ | theme=academic-words | stage=4
 8375 | awesome                        | 令人敬畏的                          | 🎨        | chunks=['a', 'we', 'so', 'me'] | py=ㄜ-ㄨㄝ-ㄙㄛ-ㄇㄝ | theme=adjectives | stage=2
 8376 | barometer                      | 氣壓計                            | 🏃        | chunks=['ba', 'ro', 'me', 'ter'] | py=ㄅㄟ-ㄌㄛ-ㄇㄝ-ㄊㄜ | theme=actions | stage=4
 8377 | beckon                         | 示意                             | 🏃        | chunks=['bec', 'kon'] | py=ㄅㄝㄎ-ㄎㄢ | theme=actions | stage=4
 8378 | besiege                        | 包圍                             | 🏃        | chunks=['be', 'sie', 'ge'] | py=ㄅㄧ-ㄙㄧㄐ | theme=actions | stage=4
 8379 | binoculars                     | 雙筒望遠鏡                          | 🏃        | chunks=['bi', 'no', 'cu', 'lars'] | py=ㄅㄞ-ㄋㄛ-ㄎㄧㄨ-ㄌㄚㄜㄙ | theme=actions | stage=4
 8380 | biochemistry                   | 生物化學                           | 🔬        | chunks=['bioc', 'he', 'mis', 'try'] | py=ㄅㄧㄛㄎ-ㄏㄝ-ㄇㄧㄙ-ㄊㄌㄧ | theme=science | stage=4
 8381 | biological                     | 生物的                            | 🔬        | chunks=['bio', 'lo', 'gi', 'cal'] | py=ㄅㄧㄛ-ㄌㄛ-ㄐㄜ-ㄎㄜ | theme=science | stage=4 base=biology
 8382 | bizarre                        | 怪異的                            | 🎨        | chunks=['bi', 'zar', 're'] | py=ㄅㄞ-ㄗㄚㄜ-ㄌㄧ | theme=adjectives | stage=4
 8383 | blunder                        | 犯錯                             | 🏃        | chunks=['blun', 'der'] | py=ㄅㄌㄚㄋ-ㄉㄜ | theme=crime | stage=4
 8384 | bombard                        | 砲轟                             | 🏃        | chunks=['bom', 'bard'] | py=ㄅㄛㄇ-ㄅㄚㄜㄉ | theme=actions | stage=4
 8385 | bondage                        | 奴役                             | 🏃        | chunks=['bon', 'da', 'ge'] | py=ㄅㄚㄣ-ㄉㄜㄐ | theme=actions | stage=4
 8386 | boost                          | 促進                             | 🏃        | chunks=['b', 'oost'] | py=ㄅㄨㄙㄊ | theme=actions | stage=3
 8387 | bout                           | 回合                             | 🏃        | chunks=['b', 'out'] | py=ㄅㄠㄊ | theme=actions | stage=4
 8388 | boycott                        | 抵制                             | 🏃        | chunks=['boy', 'cott'] | py=ㄅㄛㄧ-ㄎㄛㄊㄊ | theme=actions | stage=4
 8389 | breakdown                      | 故障                             | 🏃        | chunks=['break', 'down'] | py=ㄅㄌㄝㄎ-ㄉㄠㄣ | theme=actions | stage=3
 8390 | breakthrough                   | 突破                             | 🏃        | chunks=['breakt', 'hrough'] | py=ㄅㄖㄧㄎㄊ-ㄏㄖㄛ | theme=actions | stage=3
 8391 | brink                          | 邊緣                             | 🏃        | chunks=['br', 'ink'] | py=ㄅㄖㄧㄋㄎ | theme=directions | stage=4
 8392 | brute                          | 獸                              | 🎨        | chunks=['bru', 'te'] | py=ㄅㄌㄨ-ㄊㄧ | theme=adjectives | stage=4
 8393 | buckle                         | 扣環扣住                           | 🏃        | chunks=['buc', 'kle'] | py=ㄅㄚ-ㄎㄜ | theme=actions | stage=4
 8394 | burial                         | 葬禮                             | ⚰️       | chunks=['bu', 'rial'] | py=ㄅㄧㄨ-ㄌㄦ | theme=events | stage=4
 8395 | byte                           | 位元組                            | 🏃        | chunks=['by', 'te'] | py=ㄅㄞ-ㄊㄧ | theme=actions | stage=3
 8396 | caffeine                       | 咖啡因                            | ☕        | chunks=['caf', 'fei', 'ne'] | py=ㄎㄚㄈ-ㄈㄝ-ㄋㄧ | theme=drinks | stage=4
 8397 | calcium                        | 鈣                              | 🏃        | chunks=['cal', 'cium'] | py=ㄎㄜ-ㄎㄧㄚㄇ | theme=actions | stage=4
 8398 | capability                     | 能力                             | 🎓        | chunks=['ca', 'pa', 'bi', 'li', 'ty'] | py=ㄎㄚ-ㄆㄜ-ㄅㄞ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8399 | caption                        | 標題                             | 🎓        | chunks=['cap', 'tion'] | py=ㄎㄚㄆ-ㄒㄣ | theme=academic-words | stage=4
 8400 | captive                        | 俘虜                             | 🎨        | chunks=['cap', 'ti', 've'] | py=ㄎㄚㄆ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4
 8401 | captivity                      | 囚禁                             | 🎓        | chunks=['cap', 'ti', 'vi', 'ty'] | py=ㄎㄚㄆ-ㄊㄜ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=4
 8402 | carbohydrate                   | 碳水化合物                          | 🍞        | chunks=['car', 'bo', 'hyd', 'ra', 'te'] | py=ㄎㄚㄦ-ㄅㄛ-ㄏㄧㄉ-ㄌㄚ-ㄊㄧ | theme=drinks | stage=4
 8403 | caress                         | 愛撫                             | 🏃        | chunks=['ca', 'ress'] | py=ㄎㄚ-ㄖㄝㄙㄙ | theme=actions | stage=4
 8404 | carol                          | 頌歌                             | 🏃        | chunks=['ca', 'rol'] | py=ㄎㄚ-ㄌㄛ | theme=actions | stage=4
 8405 | cater                          | 承辦宴席                           | 🏃        | chunks=['ca', 'ter'] | py=ㄎㄚ-ㄊㄜ | theme=actions | stage=4
 8406 | cavalry                        | 騎兵                             | 🏃        | chunks=['ca', 'val', 'ry'] | py=ㄎㄚ-ㄈㄜ-ㄌㄧ | theme=actions | stage=4
 8407 | cavity                         | 穴                              | 🎓        | chunks=['ca', 'vi', 'ty'] | py=ㄎㄚ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=4
 8408 | cemetery                       | 墓地                             | 🎨        | chunks=['ce', 'me', 'te', 'ry'] | py=ㄙㄜ-ㄇㄝ-ㄊㄧ-ㄌㄧ | theme=adjectives | stage=4
 8409 | certainty                      | 確實                             | 🏃        | chunks=['cer', 'tain', 'ty'] | py=ㄙㄜ-ㄊㄣ-ㄊㄧ | theme=sight-words | stage=4 base=certain
 8410 | certify                        | 證明                             | 🏃        | chunks=['cer', 'ti', 'fy'] | py=ㄙㄜ-ㄊㄜ-ㄈㄞ | theme=actions | stage=4
 8411 | characterize                   | 具有...的特徵                       | 🏃        | chunks=['cha', 'rac', 'te', 'ri', 'ze'] | py=ㄎㄚ-ㄌㄚ-ㄊㄧ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=character
 8412 | chariot                        | 雙輪戰車                           | 🏃        | chunks=['cha', 'riot'] | py=ㄎㄚ-ㄖㄧㄛㄊ | theme=actions | stage=4
 8413 | cholesterol                    | 膽固醇                            | 🏃        | chunks=['cho', 'les', 'te', 'rol'] | py=ㄎㄛ-ㄌㄝ-ㄊㄧ-ㄌㄛ | theme=actions | stage=4
 8414 | chuckle                        | 咯咯地笑                           | 🏃        | chunks=['chuc', 'kle'] | py=ㄔㄚ-ㄎㄜ | theme=actions | stage=4
 8415 | chunk                          | 大塊                             | 🏃        | chunks=['ch', 'unk'] | py=ㄔㄚㄋㄎ | theme=actions | stage=4
 8416 | civilize                       | 使文明                            | 📜        | chunks=['ci', 'vi', 'li', 'ze'] | py=ㄙㄜ-ㄈㄞ-ㄌㄧ-ㄗㄧ | theme=history | stage=4 base=civil
 8417 | clarity                        | 明晰                             | 🎓        | chunks=['cla', 'ri', 'ty'] | py=ㄎㄌㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4 base=clear
 8418 | cleanse                        | 使清潔                            | 🏃        | chunks=['clean', 'se'] | py=ㄎㄌㄧㄣ-ㄙㄜ | theme=actions | stage=4
 8419 | clearance                      | 清除                             | 🎓        | chunks=['clea', 'ran', 'ce'] | py=ㄎㄌㄧ-ㄌㄚㄣ-ㄙㄜ | theme=academic-words | stage=4
 8420 | clench                         | 捏緊                             | 🏃        | chunks=['cl', 'ench'] | py=ㄎㄌㄝㄋㄔ | theme=actions | stage=4
 8421 | clinical                       | 臨床的                            | 🏥        | chunks=['cli', 'ni', 'cal'] | py=ㄎㄌㄞ-ㄋㄜ-ㄎㄜ | theme=home-items | stage=4 base=clinic
 8422 | clone                          | 複製品、複製人                        | 🏃        | chunks=['clo', 'ne'] | py=ㄎㄌㄛ-ㄋㄧ | theme=actions | stage=3
 8423 | closure                        | 關閉                             | 🎓        | chunks=['clo', 'su', 're'] | py=ㄎㄌㄛ-ㄙㄨ-ㄌㄧ | theme=academic-words | stage=4 base=close
 8424 | coffin                         | 棺材                             | 🏃        | chunks=['cof', 'fin'] | py=ㄎㄚ-ㄈㄧㄣ | theme=actions | stage=4
 8425 | coincidence                    | 巧合                             | 🎓        | chunks=['coin', 'ci', 'den', 'ce'] | py=ㄎㄛㄧㄣ-ㄙㄜ-ㄉㄣ-ㄙㄜ | theme=academic-words | stage=4
 8426 | collective                     | 集體的                            | 🎨        | chunks=['col', 'lec', 'ti', 've'] | py=ㄎㄚ-ㄌㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=collect
 8427 | collector                      | 收集者                            | 👨‍⚕️     | chunks=['col', 'lec', 'tor'] | py=ㄎㄚ-ㄌㄝㄎ-ㄊㄜ | theme=jobs | stage=4 base=collect
 8428 | collide                        | 碰撞                             | 🏃        | chunks=['col', 'li', 'de'] | py=ㄎㄚ-ㄌㄧ-ㄉㄧ | theme=actions | stage=4
 8429 | colloquial                     | 口語的                            | 🎨        | chunks=['col', 'lo', 'quial'] | py=ㄎㄚ-ㄌㄛ-ㄎㄨㄧㄚㄌ | theme=adjectives | stage=4
 8430 | commemorate                    | 紀念                             | 🏃        | chunks=['com', 'me', 'mo', 'ra', 'te'] | py=ㄎㄚㄇ-ㄇㄝ-ㄇㄛ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8431 | commentary                     | 評論                             | 🎨        | chunks=['com', 'men', 'ta', 'ry'] | py=ㄎㄚㄇ-ㄇㄣ-ㄊㄝ-ㄌㄧ | theme=adjectives | stage=4
 8432 | commitment                     | 承諾                             | 🎨        | chunks=['com', 'mit', 'ment'] | py=ㄎㄚㄇ-ㄇㄧㄊ-ㄇㄣㄊ | theme=adjectives | stage=4 base=commit
 8433 | communicative                  | 暢談的                            | 🎨        | chunks=['com', 'mu', 'ni', 'ca', 'ti', 've'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄋㄜ-ㄎㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=communicate
 8434 | comparable                     | 可比較的                           | 🎨        | chunks=['com', 'pa', 'rab', 'le'] | py=ㄎㄚㄇ-ㄆㄜ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=4 base=compare
 8435 | comparative                    | 比較的                            | 🎨        | chunks=['com', 'pa', 'ra', 'ti', 've'] | py=ㄎㄚㄇ-ㄆㄜ-ㄌㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=compare
 8436 | compensation                   | 補償                             | 🎓        | chunks=['com', 'pen', 'sa', 'tion'] | py=ㄎㄚㄇ-ㄆㄣ-ㄙㄚ-ㄒㄣ | theme=academic-words | stage=4 base=compensate
 8437 | competence                     | 勝任                             | 🎓        | chunks=['com', 'pe', 'ten', 'ce'] | py=ㄎㄚㄇ-ㄆㄜ-ㄊㄣ-ㄙㄜ | theme=academic-words | stage=4
 8438 | competent                      | 能幹的                            | 🎨        | chunks=['com', 'pe', 'tent'] | py=ㄎㄚㄇ-ㄆㄜ-ㄊㄣㄊ | theme=adjectives | stage=4 base=compete
 8439 | complexion                     | 面色                             | 🏃        | chunks=['com', 'ple', 'xion'] | py=ㄎㄚㄇ-ㄆㄜ-ㄎㄙㄧㄛㄋ | theme=actions | stage=4
 8440 | complexity                     | 複雜                             | 🎓        | chunks=['com', 'ple', 'xi', 'ty'] | py=ㄎㄚㄇ-ㄆㄜ-ㄎㄙㄧ-ㄊㄧ | theme=academic-words | stage=4 base=complex
 8441 | complication                   | 複雜                             | 🎓        | chunks=['com', 'pli', 'ca', 'tion'] | py=ㄎㄚㄇ-ㄆㄌㄜ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4 base=complicate
 8442 | concede                        | 承認                             | 🏃        | chunks=['con', 'ce', 'de'] | py=ㄎㄚㄣ-ㄙㄜ-ㄉㄧ | theme=actions | stage=4
 8443 | conceit                        | 自滿                             | 🏃        | chunks=['con', 'ceit'] | py=ㄎㄚㄣ-ㄒㄧㄊ | theme=actions | stage=4
 8444 | conception                     | 觀念                             | 🎓        | chunks=['con', 'cep', 'tion'] | py=ㄎㄚㄣ-ㄙㄝㄆ-ㄒㄣ | theme=academic-words | stage=4 base=conceive
 8445 | concession                     | 讓步                             | 🎓        | chunks=['con', 'ces', 'sion'] | py=ㄎㄚㄣ-ㄙㄝ-ㄒㄣ | theme=academic-words | stage=4 base=concede
 8446 | concise                        | 簡明的                            | 🎨        | chunks=['con', 'ci', 'se'] | py=ㄎㄚㄣ-ㄙㄜ-ㄙㄜ | theme=adjectives | stage=4
 8447 | confidential                   | 機密的                            | 🎨        | chunks=['con', 'fi', 'den', 'tial'] | py=ㄎㄚㄣ-ㄈㄜ-ㄉㄣ-ㄒㄦ | theme=adjectives | stage=4
 8448 | confrontation                  | 對抗                             | 🎓        | chunks=['con', 'fron', 'ta', 'tion'] | py=ㄎㄚㄣ-ㄈㄌㄚㄣ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=4 base=confront
 8449 | congressman                    | 國會議員                           | 🏃        | chunks=['con', 'gres', 'sman'] | py=ㄎㄚㄣ-ㄍㄖㄝㄙ-ㄇㄣ | theme=actions | stage=4
 8450 | congresswoman                  | 美國國會議員                         | 🏢        | chunks=['con', 'gres', 'swo', 'man'] | py=ㄎㄚㄣ-ㄍㄖㄝㄙ-ㄨㄨ-ㄇㄣ | theme=office | stage=4
 8451 | conscientious                  | 憑良心的                           | 🎨        | chunks=['con', 'scien', 'tious'] | py=ㄎㄚㄣ-ㄙㄎㄞㄋ-ㄒㄚㄙ | theme=adjectives | stage=4
 8452 | consensus                      | 一致                             | 🔢        | chunks=['con', 'sen', 'sus'] | py=ㄎㄚㄣ-ㄙㄝㄣ-ㄙㄜ | theme=numbers | stage=4
 8453 | consolation                    | 安慰                             | 🎓        | chunks=['con', 'so', 'la', 'tion'] | py=ㄎㄚㄣ-ㄙㄛ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4 base=console
 8454 | conspiracy                     | 陰謀                             | 🏃        | chunks=['con', 'spi', 'ra', 'cy'] | py=ㄎㄚㄣ-ㄙㄆㄞ-ㄌㄚ-ㄒㄧ | theme=actions | stage=4
 8455 | constituent                    | 組成的選民，選舉人                      | 🏛️       | chunks=['con', 'sti', 'tuent'] | py=ㄎㄚㄣ-ㄙㄊㄜ-ㄊㄩㄋㄊ | theme=politics | stage=4
 8456 | consultation                   | 諮詢                             | 🎓        | chunks=['con', 'sul', 'ta', 'tion'] | py=ㄎㄚㄣ-ㄙㄜ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=4 base=consult
 8457 | consumption                    | 消耗                             | 🎓        | chunks=['con', 'sum', 'ption'] | py=ㄎㄚㄣ-ㄙㄚ-ㄆㄒㄣ | theme=academic-words | stage=4
 8458 | contemplation                  | 沈思                             | 🎓        | chunks=['con', 'tem', 'pla', 'tion'] | py=ㄎㄚㄣ-ㄊㄣ-ㄆㄌㄚ-ㄒㄣ | theme=academic-words | stage=4
 8459 | contestant                     | 競爭者                            | 🎨        | chunks=['con', 'tes', 'tant'] | py=ㄎㄚㄣ-ㄊㄝㄙ-ㄊㄣㄊ | theme=adjectives | stage=4
 8460 | contradiction                  | 矛盾                             | 🎓        | chunks=['con', 'tra', 'dic', 'tion'] | py=ㄎㄚㄣ-ㄊㄌㄚ-ㄉㄧㄎ-ㄒㄣ | theme=academic-words | stage=4 base=contradict
 8461 | controversial                  | 有爭議的、引起爭論的                     | 🎨        | chunks=['con', 'tro', 'ver', 'sial'] | py=ㄎㄚㄣ-ㄊㄌㄛ-ㄈㄜ-ㄙㄧㄚㄌ | theme=adjectives | stage=4
 8462 | cordial                        | 熱忱的                            | 🎨        | chunks=['cor', 'dial'] | py=ㄎㄛ-ㄉㄧㄚㄌ | theme=adjectives | stage=4
 8463 | corps                          | 兵團                             | 🏃        | chunks=['c', 'orps'] | py=ㄒㄧ-ㄛㄜㄆㄙ | theme=actions | stage=4 [有易混提示]
 8464 | corpse                         | 屍體                             | 🏃        | chunks=['cor', 'pse'] | py=ㄎㄛ-ㄆㄙㄝ | theme=actions | stage=4 [有易混提示]
 8465 | cosmetic                       | 化妝用的                           | 🎨        | chunks=['cos', 'me', 'tic'] | py=ㄎㄚㄙ-ㄇㄝ-ㄊㄧㄎ | theme=adjectives | stage=4
 8466 | cosmetics                      | 化妝品                            | 🏃        | chunks=['cos', 'me', 'tics'] | py=ㄎㄚㄙ-ㄇㄝ-ㄊㄧㄎㄙ | theme=actions | stage=4 base=cosmetic
 8467 | cosmopolitan                   | 世界性的                           | 🎨        | chunks=['cos', 'mo', 'po', 'li', 'tan'] | py=ㄎㄚㄙ-ㄇㄛ-ㄆㄛ-ㄌㄧ-ㄊㄢ | theme=adjectives | stage=4
 8468 | counterpart                    | 對應的人                           | 🏃        | chunks=['coun', 'ter', 'part'] | py=ㄎㄠㄣ-ㄊㄜ-ㄆㄚㄦㄊ | theme=actions | stage=4
 8469 | coverage                       | 覆蓋範圍                           | 🏃        | chunks=['co', 've', 'ra', 'ge'] | py=ㄎㄚ-ㄈㄜ-ㄌㄜㄐ | theme=actions | stage=4
 8470 | covet                          | 垂涎                             | 🏃        | chunks=['co', 'vet'] | py=ㄎㄛ-ㄈㄝ | theme=actions | stage=4
 8471 | credibility                    | 可信度                            | 🎓        | chunks=['cre', 'di', 'bi', 'li', 'ty'] | py=ㄎㄌㄧ-ㄉㄧ-ㄅㄞ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8472 | credible                       | 可信的                            | 🎨        | chunks=['cre', 'dib', 'le'] | py=ㄎㄌㄧ-ㄉㄧㄅ-ㄌㄧ | theme=adjectives | stage=4
 8473 | criterion                      | 標準                             | 🏃        | chunks=['cri', 'te', 'rion'] | py=ㄎㄌㄞ-ㄊㄧ-ㄖㄧㄛㄋ | theme=actions | stage=4
 8474 | crook                          | 騙子、彎處                          | 🏃        | chunks=['cr', 'ook'] | py=ㄎㄖㄨㄎ | theme=actions | stage=4
 8475 | crooked                        | 歪的                             | 🎨        | chunks=['croo', 'ked'] | py=ㄎㄖㄨ-ㄎㄝㄉ | theme=adjectives | stage=4
 8476 | cruiser                        | 遊艇                             | 🚗        | chunks=['crui', 'ser'] | py=ㄎㄖㄨ-ㄗㄜ | theme=transportation | stage=4
 8477 | crumb                          | 麵包屑                            | 🍞        | chunks=['cr', 'umb'] | py=ㄎㄖㄚㄇ | theme=food | stage=4
 8478 | crumble                        | 粉碎                             | 🏃        | chunks=['crum', 'ble'] | py=ㄎㄖㄚㄇ-ㄅㄜ | theme=actions | stage=4
 8479 | crust                          | 派餅皮                            | 🥧        | chunks=['cr', 'ust'] | py=ㄎㄖㄚㄙㄊ | theme=desserts | stage=4
 8480 | cultivate                      | 培育                             | 🏃        | chunks=['cul', 'ti', 'va', 'te'] | py=ㄎㄦ-ㄊㄜ-ㄈㄚ-ㄊㄧ | theme=actions | stage=4
 8481 | cumulative                     | 累計的                            | 🎨        | chunks=['cu', 'mu', 'la', 'ti', 've'] | py=ㄎㄧㄨ-ㄇㄧㄨ-ㄌㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4
 8482 | customary                      | 合乎習俗的                          | 🎨        | chunks=['cus', 'to', 'ma', 'ry'] | py=ㄎㄚㄙ-ㄊㄛ-ㄇㄚ-ㄌㄧ | theme=adjectives | stage=4
 8483 | daffodil                       | 黃水仙                            | 🌼        | chunks=['daf', 'fo', 'dil'] | py=ㄉㄚㄈ-ㄈㄜ-ㄉㄧ | theme=drinks | stage=4
 8484 | dandruff                       | 頭皮屑                            | 💆        | chunks=['dan', 'druff'] | py=ㄉㄢ-ㄉㄖㄚㄈㄈ | theme=body | stage=4
 8485 | daybreak                       | 黎明                             | 🏃        | chunks=['dayb', 'reak'] | py=ㄉㄟㄅ-ㄖㄧㄎ | theme=time | stage=4
 8486 | deadly                         | 致命的                            | 🎨        | chunks=['dead', 'ly'] | py=ㄉㄝㄉ-ㄌㄧ | theme=adjectives | stage=3 base=dead
 8487 | decent                         | 正派的                            | 👍        | chunks=['de', 'cent'] | py=ㄉㄧ-ㄙㄣㄊ | theme=desserts | stage=4
 8488 | decisive                       | 決定性的                           | 🎨        | chunks=['de', 'ci', 'si', 've'] | py=ㄉㄧ-ㄙㄜ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=4 base=decide
 8489 | dedicate                       | 奉獻                             | 🏃        | chunks=['de', 'di', 'ca', 'te'] | py=ㄉㄧ-ㄉㄧ-ㄎㄚ-ㄊㄧ | theme=actions | stage=4 [有易混提示]
 8490 | dedication                     | 奉獻                             | 🎓        | chunks=['de', 'di', 'ca', 'tion'] | py=ㄉㄧ-ㄉㄧ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4 base=dedicate
 8491 | deem                           | 認為                             | 🏃        | chunks=['d', 'eem'] | py=ㄉㄧㄇ | theme=actions | stage=4
 8492 | defect                         | 缺點                             | 🏃        | chunks=['de', 'fect'] | py=ㄉㄧ-ㄈㄝㄎㄊ | theme=actions | stage=3
 8493 | degrade                        | 使降級                            | 🏃        | chunks=['deg', 'ra', 'de'] | py=ㄉㄝㄍ-ㄌㄚ-ㄉㄧ | theme=actions | stage=4
 8494 | delinquent                     | 有過失的                           | 🎨        | chunks=['de', 'lin', 'quent'] | py=ㄉㄧ-ㄌㄧ-ㄎㄨㄣㄊ | theme=adjectives | stage=4
 8495 | denounce                       | 譴責                             | 🏃        | chunks=['de', 'noun', 'ce'] | py=ㄉㄧ-ㄋㄠㄋ-ㄙㄜ | theme=actions | stage=4
 8496 | depict                         | 描畫                             | 🎨        | chunks=['de', 'pict'] | py=ㄉㄧ-ㄆㄧㄎㄊ | theme=art | stage=4
 8497 | deprive                        | 剝奪                             | 🎨        | chunks=['dep', 'ri', 've'] | py=ㄉㄝ-ㄌㄧ-ㄈㄜ | theme=adjectives | stage=4
 8498 | descend                        | 下來                             | 🏃        | chunks=['des', 'cend'] | py=ㄉㄧ-ㄎㄝㄋㄉ | theme=directions | stage=4
 8499 | descent                        | 下降                             | 🎨        | chunks=['des', 'cent'] | py=ㄉㄧ-ㄙㄣㄊ | theme=adjectives | stage=4 base=descend
