# 字 7500-8999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝ-ㄎㄟ | theme=directions | stage=3
 8302 | videotape                      | 錄影帶                            | 🏃        | chunks=['vi', 'deo', 'ta', 'pe'] | py=ㄈㄞ-ㄉㄝㄛ-ㄊㄝ-ㄆㄜ | theme=actions | stage=3
 8303 | vigor                          | 活力                             | 🏃        | chunks=['vi', 'gor'] | py=ㄈㄞ-ㄍㄛㄦ | theme=actions | stage=3
 8304 | vigorous                       | 有活力的                           | 🎨        | chunks=['vi', 'go', 'rous'] | py=ㄈㄞ-ㄍㄛ-ㄌㄨ | theme=adjectives | stage=3 base=vigor
 8305 | villain                        | 惡徒                             | 🏃        | chunks=['vil', 'lain'] | py=ㄈㄧ-ㄌㄧㄣ | theme=actions | stage=3
 8306 | violinist                      | 小提琴家                           | 🎵        | chunks=['vio', 'li', 'nist'] | py=ㄨㄧㄛ-ㄌㄧ-ㄋㄧㄙㄊ | theme=music | stage=3
 8307 | vow                            | 誓言、發誓                          | 🏃        | chunks=['v', 'ow'] | py=ㄈㄧ-ㄛ | theme=actions | stage=3
 8308 | wade                           | 涉水                             | 💧        | chunks=['wa', 'de'] | py=ㄨㄛ-ㄉㄧ | theme=drinks | stage=3
 8309 | wail                           | 慟哭                             | 🏃        | chunks=['w', 'ail'] | py=ㄨ-ㄝㄦ | theme=actions | stage=3
 8310 | ware                           | 器物、製品                          | 🏃        | chunks=['wa', 're'] | py=ㄨㄛ-ㄌㄧ | theme=actions | stage=3
 8311 | wary                           | 小心的                            | 🎨        | chunks=['wa', 'ry'] | py=ㄨㄛ-ㄌㄧ | theme=adjectives | stage=3
 8312 | wharf                          | 碼頭                             | ⚓        | chunks=['wh', 'arf'] | py=ㄨ-ㄚㄜㄈ | theme=body | stage=3
 8313 | whereabouts                    | 哪處                             | 🏃        | chunks=['whe', 'rea', 'bouts'] | py=ㄨㄝ-ㄌㄝ-ㄅㄠㄊㄙ | theme=actions | stage=3
 8314 | whine                          | 發牢騷                            | 🎨        | chunks=['whi', 'ne'] | py=ㄨㄧ-ㄋㄧ | theme=adjectives | stage=3 [有易混提示]
 8315 | whirl                          | 旋轉                             | 🏃        | chunks=['wh', 'irl'] | py=ㄨ-ㄜㄌ | theme=actions | stage=3
 8316 | whisky                         | 威士忌                            | 🥤        | chunks=['whis', 'ky'] | py=ㄨㄧㄙ-ㄎㄧ | theme=drinks | stage=3
 8317 | wig                            | 假髮                             | 🏃        | chunks=['w', 'ig'] | py=ㄨ-ㄧㄍ | theme=actions | stage=3
 8318 | wilderness                     | 荒地                             | 🎨        | chunks=['wil', 'der', 'ness'] | py=ㄨㄧㄌ-ㄉㄜ-ㄋㄝㄙ | theme=adjectives | stage=3
 8319 | woe                            | 悲痛、哎喲                          | 🏃        | chunks=['w', 'oe'] | py=ㄨ-ㄛ | theme=actions | stage=3
 8320 | woodpecker                     | 啄木鳥                            | 🐦        | chunks=['wood', 'pec', 'ker'] | py=ㄨㄨㄉ-ㄆㄝㄎ-ㄎㄜ | theme=animals | stage=3
 8321 | worthwhile                     | 值得做的                           | 🎨        | chunks=['wort', 'hwhi', 'le'] | py=ㄨㄛㄜㄊ-ㄏㄨㄧ-ㄌㄧ | theme=adjectives | stage=3
 8322 | worthy                         | 值得的                            | 🎨        | chunks=['wor', 'thy'] | py=ㄨㄜ-ㄒㄧ | theme=adjectives | stage=3
 8323 | wreath                         | 花環                             | 🌳        | chunks=['wr', 'eath'] | py=ㄨㄖ-ㄧㄒ | theme=nature | stage=3
 8324 | wring                          | 擰蠕動                            | 🏃        | chunks=['wr', 'ing'] | py=ㄨㄖ-ㄧㄥ | theme=actions | stage=3
 8325 | yeast                          | 酵母菌                            | 🏃        | chunks=['y', 'east'] | py=ㄌㄧ-ㄧㄙㄊ | theme=actions | stage=3
 8326 | zip                            | 拉鍊拉開拉鍊                         | 🏃        | chunks=['z', 'ip'] | py=ㄗ-ㄌㄧㄆ | theme=actions | stage=3
 8327 | zip code                       | 郵遞區號                           | 🔗        | chunks=['zip', 'code'] | py=ㄗㄧㄆ-ㄎㄛㄉ | theme=phrasal-verbs | stage=3
 8328 | abbreviate                     | 縮寫                             | 🏃        | chunks=['ab', 'bre', 'via', 'te'] | py=ㄚㄅ-ㄅㄖㄝ-ㄨㄧㄚ-ㄊㄧ | theme=actions | stage=4
 8329 | abbreviation                   | 縮寫                             | 🎓        | chunks=['ab', 'bre', 'via', 'tion'] | py=ㄚㄅ-ㄅㄖㄝ-ㄨㄧㄚ-ㄒㄣ | theme=academic-words | stage=4
 8330 | abnormal                       | 異常的                            | 🎨        | chunks=['ab', 'nor', 'mal'] | py=ㄚㄅ-ㄋㄜ-ㄇㄜ | theme=adjectives | stage=4
 8331 | aboriginal                     | 原生的                            | 🎨        | chunks=['a', 'bo', 'ri', 'gi', 'nal'] | py=ㄜ-ㄅㄛ-ㄌㄧ-ㄐㄜ-ㄋㄦ | theme=adjectives | stage=4
 8332 | aborigine                      | 原住民                            | 🎨        | chunks=['a', 'bo', 'ri', 'gi', 'ne'] | py=ㄜ-ㄅㄛ-ㄌㄧ-ㄐㄜ-ㄋㄧ | theme=adjectives | stage=4
 8333 | abound                         | 充滿                             | 🏃        | chunks=['a', 'bound'] | py=ㄜ-ㄅㄠㄣㄉ | theme=actions | stage=4
 8334 | absentminded                   | 心不在焉的                          | 🎨        | chunks=['ab', 'sen', 'tmin', 'ded'] | py=ㄚㄅ-ㄙㄝㄣ-ㄊㄇㄧㄋ-ㄉㄝㄉ | theme=adjectives | stage=4
 8335 | abstraction                    | 抽象概念                           | 💭        | chunks=['abs', 'trac', 'tion'] | py=ㄚㄅㄙ-ㄊㄌㄚㄎ-ㄒㄣ | theme=animals | stage=4
 8336 | abundance                      | 充裕                             | 🎓        | chunks=['a', 'bun', 'dan', 'ce'] | py=ㄜ-ㄅㄚㄋ-ㄉㄢ-ㄙㄜ | theme=academic-words | stage=4
 8337 | accelerate                     | 加速                             | ⚡        | chunks=['ac', 'ce', 'le', 'ra', 'te'] | py=ㄚㄎ-ㄙㄜ-ㄌㄧ-ㄌㄚ-ㄊㄧ | theme=numbers | stage=4
 8338 | accessible                     | 易接近的                           | 🎨        | chunks=['ac', 'ces', 'sib', 'le'] | py=ㄚㄎ-ㄙㄝ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=4 base=access
 8339 | accessory                      | 配件                             | 🎨        | chunks=['ac', 'ces', 'so', 'ry'] | py=ㄚㄎ-ㄙㄝ-ㄙㄛ-ㄌㄧ | theme=adjectives | stage=4
 8340 | accommodation                  | 住宿                             | 🎓        | chunks=['ac', 'com', 'mo', 'da', 'tion'] | py=ㄚㄎ-ㄎㄚㄇ-ㄇㄛ-ㄉㄚ-ㄒㄣ | theme=academic-words | stage=4
 8341 | accordance                     | 一致                             | 🔢        | chunks=['ac', 'cor', 'dan', 'ce'] | py=ㄚㄎ-ㄎㄛ-ㄉㄢ-ㄙㄜ | theme=numbers | stage=4
 8342 | accountable                    | 負責任的                           | 🎨        | chunks=['ac', 'coun', 'tab', 'le'] | py=ㄚㄎ-ㄎㄠㄣ-ㄊㄚ-ㄌㄧ | theme=adjectives | stage=4 base=account
 8343 | accumulation                   | 累積                             | 🎓        | chunks=['ac', 'cu', 'mu', 'la', 'tion'] | py=ㄚㄎ-ㄎㄧㄨ-ㄇㄧㄨ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4
 8344 | administrative                 | 管理上的                           | 🎨        | chunks=['ad', 'mi', 'nis', 'tra', 'ti', 've'] | py=ㄚㄉ-ㄇㄞ-ㄋㄧㄙ-ㄊㄌㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=administrate
 8345 | administrator                  | 管理者                            | 👨‍⚕️     | chunks=['ad', 'mi', 'nis', 'tra', 'tor'] | py=ㄚㄉ-ㄇㄞ-ㄋㄧㄙ-ㄊㄌㄚ-ㄊㄜ | theme=jobs | stage=4
 8346 | affectionate                   | 充滿感情的                          | 🥰        | chunks=['af', 'fec', 'tio', 'na', 'te'] | py=ㄚㄈ-ㄈㄝㄎ-ㄒㄛ-ㄋㄚ-ㄊㄧ | theme=emotions | stage=4
 8347 | affirm                         | 斷言                             | 🏃        | chunks=['af', 'firm'] | py=ㄚㄈ-ㄈㄜㄜㄇ | theme=actions | stage=4
 8348 | aggression                     | 侵略                             | 🎓        | chunks=['ag', 'gres', 'sion'] | py=ㄚㄍ-ㄍㄖㄝㄙ-ㄒㄣ | theme=academic-words | stage=4
 8349 | alcoholic                      | 酒精的                            | 🎨        | chunks=['al', 'co', 'ho', 'lic'] | py=ㄦ-ㄎㄛ-ㄏㄚ-ㄌㄧㄎ | theme=adjectives | stage=4
 8350 | alienate                       | 使…疏遠                           | 🏃        | chunks=['a', 'lie', 'na', 'te'] | py=ㄜ-ㄌㄞ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4
 8351 | ambiguity                      | 模稜兩可                           | 🎓        | chunks=['am', 'bi', 'gui', 'ty'] | py=ㄚㄇ-ㄅㄞ-ㄍㄧ-ㄊㄧ | theme=academic-words | stage=4
 8352 | ambush                         | 埋伏                             | 🏃        | chunks=['am', 'bush'] | py=ㄚㄇ-ㄅㄨㄒ | theme=actions | stage=4
 8353 | amiable                        | 和藹的                            | 🎨        | chunks=['a', 'miab', 'le'] | py=ㄜ-ㄇㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=4
 8354 | amplify                        | 增強                             | 🏃        | chunks=['am', 'pli', 'fy'] | py=ㄚㄇ-ㄆㄌㄜ-ㄈㄞ | theme=actions | stage=4
 8355 | analects                       | 語錄                             | 🏃        | chunks=['a', 'na', 'lects'] | py=ㄜ-ㄋㄚ-ㄌㄝㄎㄊㄙ | theme=actions | stage=4
 8356 | analogy                        | 相似之處                           | 🏃        | chunks=['a', 'na', 'lo', 'gy'] | py=ㄜ-ㄋㄚ-ㄌㄛ-ㄐㄧ | theme=actions | stage=4
 8357 | analytical                     | 分析的                            | 🎨        | chunks=['a', 'na', 'ly', 'ti', 'cal'] | py=ㄜ-ㄋㄚ-ㄌㄧ-ㄊㄜ-ㄎㄜ | theme=adjectives | stage=4
 8358 | animate                        | 賦予生命活的                         | 🎨        | chunks=['a', 'ni', 'ma', 'te'] | py=ㄜ-ㄋㄜ-ㄇㄚ-ㄊㄧ | theme=adjectives | stage=4
 8359 | annoyance                      | 惱怒                             | 🎓        | chunks=['an', 'noyan', 'ce'] | py=ㄢ-ㄋㄛㄧㄚㄋ-ㄙㄜ | theme=academic-words | stage=4
 8360 | antenna                        | 天線                             | 🏃        | chunks=['an', 'ten', 'na'] | py=ㄢ-ㄊㄣ-ㄋㄚ | theme=actions | stage=4
 8361 | anticipation                   | 期望                             | 🎓        | chunks=['an', 'ti', 'ci', 'pa', 'tion'] | py=ㄢ-ㄊㄜ-ㄙㄜ-ㄆㄜ-ㄒㄣ | theme=academic-words | stage=4
 8362 | antonym                        | 反義字                            | 🏃        | chunks=['an', 'to', 'nym'] | py=ㄢ-ㄊㄛ-ㄋㄧㄇ | theme=actions | stage=4
 8363 | applicable                     | 適用的                            | 🎨        | chunks=['ap', 'pli', 'cab', 'le'] | py=ㄚ-ㄆㄌㄜ-ㄎㄝ-ㄌㄧ | theme=adjectives | stage=4
 8364 | apprentice                     | 學徒                             | 🏃        | chunks=['ap', 'pren', 'ti', 'ce'] | py=ㄚ-ㄆㄖㄝㄋ-ㄊㄜ-ㄙㄜ | theme=actions | stage=4
 8365 | aptitude                       | 天賦                             | 🎓        | chunks=['ap', 'ti', 'tu', 'de'] | py=ㄚ-ㄊㄜ-ㄑㄨ-ㄉㄧ | theme=academic-words | stage=4
 8366 | assassinate                    | 暗殺                             | 🏃        | chunks=['as', 'sas', 'si', 'na', 'te'] | py=ㄚ-ㄙㄚ-ㄗㄜ-ㄋㄚ-ㄊㄧ | theme=crime | stage=4
 8367 | assert                         | 斷言                             | 🏃        | chunks=['as', 'sert'] | py=ㄚ-ㄗㄦㄊ | theme=actions | stage=4
 8368 | assessment                     | 評估                             | 🎨        | chunks=['as', 'ses', 'sment'] | py=ㄚ-ㄗㄝㄗ-ㄙㄇㄣㄊ | theme=adjectives | stage=4 base=assess
 8369 | assumption                     | 假定                             | 🎓        | chunks=['as', 'sum', 'ption'] | py=ㄚ-ㄙㄚ-ㄆㄒㄣ | theme=academic-words | stage=4
 8370 | attainment                     | 到達                             | 🎨        | chunks=['at', 'tain', 'ment'] | py=ㄚ-ㄊㄣ-ㄇㄣㄊ | theme=adjectives | stage=4 base=attain
 8371 | authentic                      | 真實的                            | 🎨        | chunks=['aut', 'hen', 'tic'] | py=ㄛㄊ-ㄏㄣ-ㄊㄧㄎ | theme=adjectives | stage=4
 8372 | authorize                      | 授權                             | 🏃        | chunks=['aut', 'ho', 'ri', 'ze'] | py=ㄛㄊ-ㄏㄚ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=author
 8373 | autograph                      | 簽名                             | 🏃        | chunks=['au', 'tog', 'raph'] | py=ㄛ-ㄊㄚ-ㄖㄚㄈ | theme=actions | stage=4
 8374 | aviation                       | 飛行                             | 🎓        | chunks=['a', 'via', 'tion'] | py=ㄜ-ㄨㄧㄚ-ㄒㄣ | theme=academic-words | stage=4
 8375 | awesome                        | 令人敬畏的                          | 🎨        | chunks=['a', 'we', 'so', 'me'] | py=ㄜ-ㄨㄝ-ㄙㄛ-ㄇㄝ | theme=adjectives | stage=4
 8376 | barometer                      | 氣壓計                            | 🏃        | chunks=['ba', 'ro', 'me', 'ter'] | py=ㄅㄟ-ㄌㄛ-ㄇㄝ-ㄊㄜ | theme=actions | stage=4
 8377 | beckon                         | 示意                             | 🏃        | chunks=['bec', 'kon'] | py=ㄅㄝㄎ-ㄎㄢ | theme=actions | stage=4
 8378 | besiege                        | 包圍                             | 🏃        | chunks=['be', 'sie', 'ge'] | py=ㄅㄧ-ㄙㄞ-ㄐㄧ | theme=actions | stage=4
 8379 | binoculars                     | 雙筒望遠鏡                          | 🏃        | chunks=['bi', 'no', 'cu', 'lars'] | py=ㄅㄞ-ㄋㄛ-ㄎㄧㄨ-ㄌㄚㄜㄙ | theme=actions | stage=4
 8380 | biochemistry                   | 生物化學                           | 🔬        | chunks=['bioc', 'he', 'mis', 'try'] | py=ㄅㄧㄛㄎ-ㄏㄝ-ㄇㄧㄙ-ㄊㄌㄧ | theme=science | stage=4
 8381 | biological                     | 生物的                            | 🔬        | chunks=['bio', 'lo', 'gi', 'cal'] | py=ㄅㄧㄛ-ㄌㄛ-ㄐㄜ-ㄎㄜ | theme=science | stage=4 base=biology
 8382 | bizarre                        | 怪異的                            | 🎨        | chunks=['bi', 'zar', 're'] | py=ㄅㄞ-ㄗㄚㄜ-ㄌㄧ | theme=adjectives | stage=4
 8383 | blunder                        | 犯錯                             | 🏃        | chunks=['blun', 'der'] | py=ㄅㄌㄚㄋ-ㄉㄜ | theme=crime | stage=4
 8384 | bombard                        | 砲轟                             | 🏃        | chunks=['bom', 'bard'] | py=ㄅㄛㄇ-ㄅㄚㄜㄉ | theme=actions | stage=4
 8385 | bondage                        | 奴役                             | 🏃        | chunks=['bon', 'da', 'ge'] | py=ㄅㄣ-ㄉㄚ-ㄐㄧ | theme=actions | stage=4
 8386 | boost                          | 促進                             | 🏃        | chunks=['b', 'oost'] | py=ㄅㄧ-ㄨㄙㄊ | theme=actions | stage=4
 8387 | bout                           | 回合                             | 🏃        | chunks=['b', 'out'] | py=ㄅㄧ-ㄠㄊ | theme=actions | stage=4
 8388 | boycott                        | 抵制                             | 🏃        | chunks=['boy', 'cott'] | py=ㄅㄛㄧ-ㄎㄛㄊㄊ | theme=actions | stage=4
 8389 | breakdown                      | 故障                             | 🏃        | chunks=['break', 'down'] | py=ㄅㄌㄝㄎ-ㄉㄠㄣ | theme=actions | stage=4
 8390 | breakthrough                   | 突破                             | 🏃        | chunks=['breakt', 'hrough'] | py=ㄅㄖㄧㄎㄊ-ㄏㄖㄛ | theme=actions | stage=4
 8391 | brink                          | 邊緣                             | 🏃        | chunks=['br', 'ink'] | py=ㄅㄖ-ㄧㄋㄎ | theme=directions | stage=4
 8392 | brute                          | 獸                              | 🎨        | chunks=['bru', 'te'] | py=ㄅㄌㄨ-ㄊㄧ | theme=adjectives | stage=4
 8393 | buckle                         | 扣環扣住                           | 🏃        | chunks=['buc', 'kle'] | py=ㄅㄚ-ㄎㄜ | theme=actions | stage=4
 8394 | burial                         | 葬禮                             | ⚰️       | chunks=['bu', 'rial'] | py=ㄅㄧㄨ-ㄌㄦ | theme=events | stage=4
 8395 | byte                           | 位元組                            | 🏃        | chunks=['by', 'te'] | py=ㄅㄞ-ㄊㄧ | theme=actions | stage=4
 8396 | caffeine                       | 咖啡因                            | ☕        | chunks=['caf', 'fei', 'ne'] | py=ㄎㄚㄈ-ㄈㄝ-ㄋㄧ | theme=drinks | stage=4
 8397 | calcium                        | 鈣                              | 🏃        | chunks=['cal', 'cium'] | py=ㄎㄜ-ㄎㄧㄚㄇ | theme=actions | stage=4
 8398 | capability                     | 能力                             | 🎓        | chunks=['ca', 'pa', 'bi', 'li', 'ty'] | py=ㄎㄚ-ㄆㄜ-ㄅㄞ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8399 | caption                        | 標題                             | 🎓        | chunks=['cap', 'tion'] | py=ㄎㄚㄆ-ㄒㄣ | theme=academic-words | stage=4 base=cap
 8400 | captive                        | 俘虜                             | 🎨        | chunks=['cap', 'ti', 've'] | py=ㄎㄚㄆ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4
 8401 | captivity                      | 囚禁                             | 🎓        | chunks=['cap', 'ti', 'vi', 'ty'] | py=ㄎㄚㄆ-ㄊㄜ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=4
 8402 | carbohydrate                   | 碳水化合物                          | 🍞        | chunks=['car', 'bo', 'hyd', 'ra', 'te'] | py=ㄎㄚㄦ-ㄅㄛ-ㄏㄧㄉ-ㄌㄚ-ㄊㄧ | theme=drinks | stage=4
 8403 | caress                         | 愛撫                             | 🏃        | chunks=['ca', 'ress'] | py=ㄎㄚ-ㄖㄝㄙㄙ | theme=actions | stage=4
 8404 | carol                          | 頌歌                             | 🏃        | chunks=['ca', 'rol'] | py=ㄎㄚ-ㄌㄛ | theme=actions | stage=4
 8405 | cater                          | 承辦宴席                           | 🏃        | chunks=['ca', 'ter'] | py=ㄎㄚ-ㄊㄜ | theme=actions | stage=4
 8406 | cavalry                        | 騎兵                             | 🏃        | chunks=['ca', 'val', 'ry'] | py=ㄎㄚ-ㄈㄜ-ㄌㄧ | theme=actions | stage=4
 8407 | cavity                         | 穴                              | 🎓        | chunks=['ca', 'vi', 'ty'] | py=ㄎㄚ-ㄈㄞ-ㄊㄧ | theme=academic-words | stage=4
 8408 | cemetery                       | 墓地                             | 🎨        | chunks=['ce', 'me', 'te', 'ry'] | py=ㄙㄜ-ㄇㄝ-ㄊㄧ-ㄌㄧ | theme=adjectives | stage=4
 8409 | certainty                      | 確實                             | 🏃        | chunks=['cer', 'tain', 'ty'] | py=ㄙㄜ-ㄊㄣ-ㄊㄧ | theme=sight-words | stage=4
 8410 | certify                        | 證明                             | 🏃        | chunks=['cer', 'ti', 'fy'] | py=ㄙㄜ-ㄊㄜ-ㄈㄞ | theme=actions | stage=4
 8411 | characterize                   | 具有...的特徵                       | 🏃        | chunks=['cha', 'rac', 'te', 'ri', 'ze'] | py=ㄎㄚ-ㄌㄚ-ㄊㄧ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=character
 8412 | chariot                        | 雙輪戰車                           | 🏃        | chunks=['cha', 'riot'] | py=ㄎㄚ-ㄖㄧㄛㄊ | theme=actions | stage=4
 8413 | cholesterol                    | 膽固醇                            | 🏃        | chunks=['cho', 'les', 'te', 'rol'] | py=ㄎㄛ-ㄌㄝ-ㄊㄧ-ㄌㄛ | theme=actions | stage=4
 8414 | chuckle                        | 咯咯地笑                           | 🏃        | chunks=['chuc', 'kle'] | py=ㄔㄚㄎ-ㄎㄜ | theme=actions | stage=4
 8415 | chunk                          | 大塊                             | 🏃        | chunks=['ch', 'unk'] | py=ㄔ-ㄚㄋㄎ | theme=actions | stage=4
 8416 | civilize                       | 使文明                            | 📜        | chunks=['ci', 'vi', 'li', 'ze'] | py=ㄙㄜ-ㄈㄞ-ㄌㄧ-ㄗㄧ | theme=history | stage=4 base=civil
 8417 | clarity                        | 明晰                             | 🎓        | chunks=['cla', 'ri', 'ty'] | py=ㄎㄌㄝ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8418 | cleanse                        | 使清潔                            | 🏃        | chunks=['clean', 'se'] | py=ㄎㄌㄧㄣ-ㄙㄜ | theme=actions | stage=4
 8419 | clearance                      | 清除                             | 🎓        | chunks=['clea', 'ran', 'ce'] | py=ㄎㄌㄧ-ㄌㄚㄣ-ㄙㄜ | theme=academic-words | stage=4
 8420 | clench                         | 捏緊                             | 🏃        | chunks=['cl', 'ench'] | py=ㄎㄌ-ㄝㄋㄔ | theme=actions | stage=4
 8421 | clinical                       | 臨床的                            | 🏥        | chunks=['cli', 'ni', 'cal'] | py=ㄎㄌㄞ-ㄋㄜ-ㄎㄜ | theme=home-items | stage=4
 8422 | clone                          | 複製品、複製人                        | 🏃        | chunks=['clo', 'ne'] | py=ㄎㄌㄛ-ㄋㄧ | theme=actions | stage=4
 8423 | closure                        | 關閉                             | 🎓        | chunks=['clo', 'su', 're'] | py=ㄎㄌㄛ-ㄙㄨ-ㄌㄧ | theme=academic-words | stage=4
 8424 | coffin                         | 棺材                             | 🏃        | chunks=['cof', 'fin'] | py=ㄎㄚ-ㄈㄧㄣ | theme=actions | stage=4
 8425 | coincidence                    | 巧合                             | 🎓        | chunks=['coin', 'ci', 'den', 'ce'] | py=ㄎㄛㄧㄣ-ㄙㄜ-ㄉㄣ-ㄙㄜ | theme=academic-words | stage=4
 8426 | collective                     | 集體的                            | 🎨        | chunks=['col', 'lec', 'ti', 've'] | py=ㄎㄚ-ㄌㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=collect
 8427 | collector                      | 收集者                            | 👨‍⚕️     | chunks=['col', 'lec', 'tor'] | py=ㄎㄚ-ㄌㄝㄎ-ㄊㄜ | theme=jobs | stage=4 base=collect
 8428 | collide                        | 碰撞                             | 🏃        | chunks=['col', 'li', 'de'] | py=ㄎㄚ-ㄌㄧ-ㄉㄧ | theme=actions | stage=4
 8429 | colloquial                     | 口語的                            | 🎨        | chunks=['col', 'lo', 'quial'] | py=ㄎㄚ-ㄌㄛ-ㄎㄨㄧㄚㄌ | theme=adjectives | stage=4
 8430 | commemorate                    | 紀念                             | 🏃        | chunks=['com', 'me', 'mo', 'ra', 'te'] | py=ㄎㄚㄇ-ㄇㄝ-ㄇㄛ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8431 | commentary                     | 評論                             | 🎨        | chunks=['com', 'men', 'ta', 'ry'] | py=ㄎㄚㄇ-ㄇㄣ-ㄊㄝ-ㄌㄧ | theme=adjectives | stage=4
 8432 | commitment                     | 承諾                             | 🎨        | chunks=['com', 'mit', 'ment'] | py=ㄎㄚㄇ-ㄇㄧㄊ-ㄇㄣㄊ | theme=adjectives | stage=4 base=commit
 8433 | communicative                  | 暢談的                            | 🎨        | chunks=['com', 'mu', 'ni', 'ca', 'ti', 've'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄋㄜ-ㄎㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=communicate
 8434 | comparable                     | 可比較的                           | 🎨        | chunks=['com', 'pa', 'rab', 'le'] | py=ㄎㄚㄇ-ㄆㄜ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=4 base=compare
 8435 | comparative                    | 比較的                            | 🎨        | chunks=['com', 'pa', 'ra', 'ti', 've'] | py=ㄎㄚㄇ-ㄆㄜ-ㄌㄚ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4
 8436 | compensation                   | 補償                             | 🎓        | chunks=['com', 'pen', 'sa', 'tion'] | py=ㄎㄚㄇ-ㄆㄣ-ㄙㄚ-ㄒㄣ | theme=academic-words | stage=4
 8437 | competence                     | 勝任                             | 🎓        | chunks=['com', 'pe', 'ten', 'ce'] | py=ㄎㄚㄇ-ㄆㄜ-ㄊㄣ-ㄙㄜ | theme=academic-words | stage=4
 8438 | competent                      | 能幹的                            | 🎨        | chunks=['com', 'pe', 'tent'] | py=ㄎㄚㄇ-ㄆㄜ-ㄊㄣㄊ | theme=adjectives | stage=4
 8439 | complexion                     | 面色                             | 🏃        | chunks=['com', 'ple', 'xion'] | py=ㄎㄚㄇ-ㄆㄜ-ㄎㄙㄧㄛㄋ | theme=actions | stage=4
 8440 | complexity                     | 複雜                             | 🎓        | chunks=['com', 'ple', 'xi', 'ty'] | py=ㄎㄚㄇ-ㄆㄜ-ㄎㄙㄧ-ㄊㄧ | theme=academic-words | stage=4
 8441 | complication                   | 複雜                             | 🎓        | chunks=['com', 'pli', 'ca', 'tion'] | py=ㄎㄚㄇ-ㄆㄌㄜ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4
 8442 | concede                        | 承認                             | 🏃        | chunks=['con', 'ce', 'de'] | py=ㄎㄚㄣ-ㄙㄜ-ㄉㄧ | theme=actions | stage=4
 8443 | conceit                        | 自滿                             | 🏃        | chunks=['con', 'ceit'] | py=ㄎㄚㄣ-ㄒㄧㄊ | theme=actions | stage=4
 8444 | conception                     | 觀念                             | 🎓        | chunks=['con', 'cep', 'tion'] | py=ㄎㄚㄣ-ㄙㄝㄆ-ㄒㄣ | theme=academic-words | stage=4
 8445 | concession                     | 讓步                             | 🎓        | chunks=['con', 'ces', 'sion'] | py=ㄎㄚㄣ-ㄙㄝ-ㄒㄣ | theme=academic-words | stage=4
 8446 | concise                        | 簡明的                            | 🎨        | chunks=['con', 'ci', 'se'] | py=ㄎㄚㄣ-ㄙㄜ-ㄙㄜ | theme=adjectives | stage=4
 8447 | confidential                   | 機密的                            | 🎨        | chunks=['con', 'fi', 'den', 'tial'] | py=ㄎㄚㄣ-ㄈㄜ-ㄉㄣ-ㄒㄦ | theme=adjectives | stage=4
 8448 | confrontation                  | 對抗                             | 🎓        | chunks=['con', 'fron', 'ta', 'tion'] | py=ㄎㄚㄣ-ㄈㄌㄚㄣ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=4 base=confront
 8449 | congressman                    | 國會議員                           | 🏃        | chunks=['con', 'gres', 'sman'] | py=ㄎㄚㄣ-ㄍㄖㄝㄙ-ㄙㄇㄚㄋ | theme=actions | stage=4
 8450 | congresswoman                  | 美國國會議員                         | 🏢        | chunks=['con', 'gres', 'swo', 'man'] | py=ㄎㄚㄣ-ㄍㄖㄝㄙ-ㄙㄨㄛ-ㄇㄢ | theme=office | stage=4
 8451 | conscientious                  | 憑良心的                           | 🎨        | chunks=['con', 'scien', 'tious'] | py=ㄎㄚㄣ-ㄙㄎㄞㄋ-ㄒㄚㄙ | theme=adjectives | stage=4
 8452 | consensus                      | 一致                             | 🔢        | chunks=['con', 'sen', 'sus'] | py=ㄎㄚㄣ-ㄙㄝㄣ-ㄙㄜ | theme=numbers | stage=4
 8453 | consolation                    | 安慰                             | 🎓        | chunks=['con', 'so', 'la', 'tion'] | py=ㄎㄚㄣ-ㄙㄛ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4 base=console
