# 字 500-999
  500 | live                           | 居住                             | 🏠        | chunks=['l', 'ive'] | py=ㄌㄧㄈ | theme=actions | stage=0 [有易混提示]
  895 | crimson                        | 深紅                             | 🟥        | chunks=['crim', 'son'] | py=ㄎㄌㄧㄇ-ㄗㄜㄣ | theme=colors | stage=2
  896 | scarlet                        | 猩紅                             | 🟥        | chunks=['scar', 'let'] | py=ㄙㄎㄚㄦ-ㄌㄝㄊ | theme=colors | stage=2
  897 | coral                          | 珊瑚紅                            | 🟧        | chunks=['co', 'ral'] | py=ㄎㄛ-ㄦ | theme=colors | stage=2
  898 | salmon                         | 鮭魚色                            | 🟧        | chunks=['sal', 'mon'] | py=ㄙㄚ-ㄇㄜㄣ | theme=colors | stage=2
  899 | lavender                       | 薰衣草                            | 🟣        | chunks=['la', 'ven', 'der'] | py=ㄌㄚ-ㄈㄣ-ㄉㄜ | theme=colors | stage=2
  900 | mint                           | 薄荷綠                            | 🟢        | chunks=['m', 'int'] | py=ㄇㄧㄣㄊ | theme=colors | stage=1 [有易混提示]
  901 | olive                          | 橄欖綠                            | 🟢        | chunks=['ol', 'ive'] | py=ㄚ-ㄌㄧㄈ | theme=colors | stage=2 [有易混提示]
  902 | khaki                          | 卡其                             | 🟫        | chunks=['kha', 'ki'] | py=ㄎㄚ-ㄎㄧ | theme=colors | stage=2
  903 | tan                            | 褐黃                             | 🟫        | chunks=['t', 'an'] | py=ㄊㄚㄣ | theme=colors | stage=1 [有易混提示]
  904 | burgundy                       | 酒紅                             | 🟥        | chunks=['bur', 'gun', 'dy'] | py=ㄅㄦ-ㄍㄜㄣ-ㄉㄧ | theme=colors | stage=2
  905 | rose                           | 玫瑰色                            | 🌹        | chunks=['r', 'ose'] | py=ㄖㄛㄗ | theme=colors | stage=1 base=rise [有易混提示]
  906 | ruby                           | 寶石紅                            | 💎        | chunks=['ru', 'by'] | py=ㄌㄨ-ㄅㄧ | theme=colors | stage=2
  907 | emerald                        | 翡翠綠                            | 💚        | chunks=['em', 'er', 'ald'] | py=ㄝ-ㄇㄜ-ㄖㄜㄦㄉ | theme=colors | stage=2
  908 | jade                           | 玉綠                             | 💚        | chunks=['j', 'ade'] | py=ㄐㄟㄉ | theme=colors | stage=2 [有易混提示]
  909 | sapphire                       | 寶石藍                            | 💙        | chunks=['sap', 'phire'] | py=ㄙㄚ-ㄈㄞㄜ | theme=colors | stage=2
  910 | amber                          | 琥珀                             | 🟧        | chunks=['am', 'ber'] | py=ㄚㄇ-ㄅㄜ | theme=colors | stage=2 [有易混提示]
  911 | bronze                         | 古銅                             | 🟫        | chunks=['br', 'onze'] | py=ㄅㄦㄚㄣㄗ | theme=colors | stage=2 [有易混提示]
  912 | pale                           | 淺、淡                            | ⬜        | chunks=['p', 'ale'] | py=ㄆㄟㄦ | theme=colors | stage=1 [有易混提示]
  913 | deep                           | 深、濃                            | ⬛        | chunks=['d', 'eep'] | py=ㄉㄧㄆ | theme=colors | stage=1 [有易混提示]
  914 | dim                            | 昏暗                             | 🌑        | chunks=['d', 'im'] | py=ㄉㄧㄇ | theme=colors | stage=1
  915 | vivid                          | 鮮豔                             | 🌈        | chunks=['vi', 'vid'] | py=ㄈㄧ-ㄈㄧㄉ | theme=colors | stage=2
  916 | neon                           | 螢光                             | 💡        | chunks=['ne', 'on'] | py=ㄋㄧ-ㄚㄣ | theme=colors | stage=2
  917 | pastel                         | 粉彩                             | 🎨        | chunks=['pas', 'tel'] | py=ㄆㄚㄙ-ㄊㄝㄦ | theme=colors | stage=2
  918 | color                          | 顏色                             | 🌈        | chunks=['co', 'lor'] | py=ㄎㄚ-ㄌㄜ | theme=colors | stage=0
  919 | shade                          | 色調、陰影                          | 🎨        | chunks=['sh', 'ade'] | py=ㄒㄟㄉ | theme=colors | stage=1 [有易混提示]
  920 | tone                           | 色調、語氣                          | 🎨        | chunks=['t', 'one'] | py=ㄊㄛㄣ | theme=colors | stage=1 [有易混提示]
  921 | hue                            | 色相                             | 🎨        | chunks=['h', 'ue'] | py=ㄏㄧㄨ | theme=colors | stage=2
  922 | rainbow                        | 彩虹                             | 🌈        | chunks=['rain', 'bow'] | py=ㄖㄟㄣ-ㄅㄛ | theme=colors | stage=0
  923 | paint                          | 油漆                             | 🎨        | chunks=['p', 'aint'] | py=ㄆㄟㄣㄊ | theme=colors | stage=1 [有易混提示]
  924 | colorful                       | 多彩                             | 🌈        | chunks=['co', 'lor', 'ful'] | py=ㄎㄚ-ㄌㄜ-ㄈㄨㄦ | theme=colors | stage=1 base=color
  925 | cream                          | 奶白                             | 🟨        | chunks=['cr', 'eam'] | py=ㄎㄦㄧㄇ | theme=colors | stage=1 [有易混提示]
  926 | charcoal                       | 炭黑                             | ⬛        | chunks=['char', 'coal'] | py=ㄔㄚㄦ-ㄎㄛㄦ | theme=colors | stage=2
  927 | hamster                        | 倉鼠                             | 🐹        | chunks=['ham', 'ster'] | py=ㄏㄚㄇ-ㄙㄊㄜ | theme=animals | stage=0
  928 | goldfish                       | 金魚                             | 🐠        | chunks=['gold', 'fish'] | py=ㄍㄛㄦ-ㄈㄧㄒ | theme=animals | stage=0
  929 | parrot                         | 鸚鵡                             | 🦜        | chunks=['par', 'rot'] | py=ㄆㄚ-ㄌㄚㄊ | theme=animals | stage=1
  930 | turtle                         | 烏龜                             | 🐢        | chunks=['tur', 'tle'] | py=ㄊㄦ-ㄉㄜ | theme=animals | stage=0
  931 | chicken                        | 雞、雞肉                           | 🐔        | chunks=['chick', 'en'] | py=ㄔㄧ-ㄎㄜㄣ | theme=animals | stage=0 [有易混提示]
  932 | rooster                        | 公雞                             | 🐓        | chunks=['roo', 'ster'] | py=ㄖㄨ-ㄙㄊㄜ | theme=animals | stage=1
  933 | hen                            | 母雞                             | 🐔        | chunks=['h', 'en'] | py=ㄏㄝㄣ | theme=animals | stage=1
  934 | goat                           | 山羊                             | 🐐        | chunks=['g', 'oat'] | py=ㄍㄛㄊ | theme=animals | stage=0
  935 | donkey                         | 驢                              | 🫏        | chunks=['don', 'key'] | py=ㄉㄚㄣ-ㄎㄧ | theme=animals | stage=1
  936 | goose                          | 鵝                              | 🪿        | chunks=['g', 'oose'] | py=ㄍㄨㄙ | theme=animals | stage=1 [有易混提示]
  937 | lamb                           | 羔羊                             | 🐑        | chunks=['l', 'amb'] | py=ㄌㄚㄇ | theme=animals | stage=1 [有易混提示]
  938 | elephant                       | 大象                             | 🐘        | chunks=['el', 'e', 'phant'] | py=ㄝ-ㄌㄜ-ㄈㄢㄊ | theme=animals | stage=0
  939 | giraffe                        | 長頸鹿                            | 🦒        | chunks=['gi', 'raffe'] | py=ㄐㄜ-ㄌㄚㄈ | theme=animals | stage=0
  940 | zebra                          | 斑馬                             | 🦓        | chunks=['ze', 'bra'] | py=ㄗㄧ-ㄅㄌㄚ | theme=animals | stage=0
  941 | kangaroo                       | 袋鼠                             | 🦘        | chunks=['kan', 'ga', 'roo'] | py=ㄎㄢ-ㄍㄚ-ㄌㄨ | theme=animals | stage=1
  942 | koala                          | 無尾熊                            | 🐨        | chunks=['ko', 'a', 'la'] | py=ㄎㄛ-ㄚ-ㄌㄚ | theme=animals | stage=1
  943 | panda                          | 熊貓                             | 🐼        | chunks=['pan', 'da'] | py=ㄆㄢ-ㄉㄚ | theme=animals | stage=0
  944 | wolf                           | 狼                              | 🐺        | chunks=['w', 'olf'] | py=ㄨㄨㄦㄈ | theme=animals | stage=1
  945 | fox                            | 狐狸                             | 🦊        | chunks=['f', 'ox'] | py=ㄈㄚㄎㄙ | theme=animals | stage=0 [有易混提示]
  946 | deer                           | 鹿                              | 🦌        | chunks=['d', 'eer'] | py=ㄉㄧㄦ | theme=animals | stage=1 [有易混提示]
  947 | squirrel                       | 松鼠                             | 🐿️       | chunks=['squir', 'rel'] | py=ㄙㄎㄨㄦ-ㄜㄦ | theme=animals | stage=1
  948 | raccoon                        | 浣熊                             | 🦝        | chunks=['rac', 'coon'] | py=ㄌㄚ-ㄎㄨㄣ | theme=animals | stage=2
  949 | hedgehog                       | 刺蝟                             | 🦔        | chunks=['hedge', 'hog'] | py=ㄏㄝㄐ-ㄏㄚㄍ | theme=animals | stage=2
  950 | otter                          | 水獺                             | 🦦        | chunks=['ot', 'ter'] | py=ㄚ-ㄊㄜ | theme=animals | stage=2
  951 | beaver                         | 海狸                             | 🦫        | chunks=['bea', 'ver'] | py=ㄅㄧ-ㄈㄜ | theme=animals | stage=2
  952 | bat                            | 蝙蝠                             | 🦇        | chunks=['b', 'at'] | py=ㄅㄚㄊ | theme=animals | stage=0 [有易混提示]
  953 | mole                           | 鼴鼠                             | 🐀        | chunks=['m', 'ole'] | py=ㄇㄛㄦ | theme=animals | stage=2 [有易混提示]
  954 | hippo                          | 河馬                             | 🦛        | chunks=['hip', 'po'] | py=ㄏㄧ-ㄆㄛ | theme=animals | stage=1
  955 | rhino                          | 犀牛                             | 🦏        | chunks=['rhi', 'no'] | py=ㄌㄞ-ㄋㄛ | theme=animals | stage=1
  956 | gorilla                        | 大猩猩                            | 🦍        | chunks=['go', 'ril', 'la'] | py=ㄍㄜ-ㄦ-ㄌㄚ | theme=animals | stage=1
  957 | ape                            | 猿                              | 🦧        | chunks=['a', 'pe'] | py=ㄟㄆ | theme=animals | stage=1
  958 | leopard                        | 豹                              | 🐆        | chunks=['leo', 'pard'] | py=ㄌㄝ-ㄆㄜㄉ | theme=animals | stage=1
  959 | cheetah                        | 獵豹                             | 🐆        | chunks=['chee', 'tah'] | py=ㄔㄧ-ㄊㄚ | theme=animals | stage=2
  960 | jaguar                         | 美洲豹                            | 🐆        | chunks=['jag', 'uar'] | py=ㄐㄚ-ㄍㄨㄜ | theme=animals | stage=2
  961 | camel                          | 駱駝                             | 🐪        | chunks=['ca', 'mel'] | py=ㄎㄚ-ㄇㄜ | theme=animals | stage=1
  962 | llama                          | 駱馬                             | 🦙        | chunks=['lla', 'ma'] | py=ㄌㄚ-ㄇㄚ | theme=animals | stage=2
  963 | sloth                          | 樹懶                             | 🦥        | chunks=['sl', 'oth'] | py=ㄙㄌㄚㄙ | theme=animals | stage=2
  964 | possum                         | 負鼠                             | 🦝        | chunks=['pos', 'sum'] | py=ㄆㄚ-ㄙㄚㄇ | theme=animals | stage=3
  965 | eagle                          | 老鷹                             | 🦅        | chunks=['ea', 'gle'] | py=ㄧ-ㄍㄜ | theme=animals | stage=1
  966 | owl                            | 貓頭鷹                            | 🦉        | chunks=['owl'] | py=ㄠㄦ | theme=animals | stage=0
  967 | hawk                           | 鷹                              | 🦅        | chunks=['h', 'awk'] | py=ㄏㄛㄎ | theme=animals | stage=1 [有易混提示]
  968 | crow                           | 烏鴉                             | 🐦‍⬛      | chunks=['crow'] | py=ㄎㄦㄛ | theme=animals | stage=1 [有易混提示]
  969 | dove                           | 鴿子                             | 🕊️       | chunks=['d', 'ove'] | py=ㄉㄚㄈ | theme=animals | stage=1 [有易混提示]
  970 | pigeon                         | 鴿子                             | 🐦        | chunks=['pi', 'geon'] | py=ㄆㄧ-ㄐㄜㄣ | theme=animals | stage=1
  971 | swan                           | 天鵝                             | 🦢        | chunks=['sw', 'an'] | py=ㄙㄨㄚㄣ | theme=animals | stage=1
  972 | peacock                        | 孔雀                             | 🦚        | chunks=['pea', 'cock'] | py=ㄆㄧ-ㄎㄚㄎ | theme=animals | stage=1
  973 | penguin                        | 企鵝                             | 🐧        | chunks=['pen', 'guin'] | py=ㄆㄝㄣ-ㄍㄨㄧㄣ | theme=animals | stage=0
  974 | ostrich                        | 鴕鳥                             | 🦤        | chunks=['os', 'trich'] | py=ㄚ-ㄙㄊㄦㄧㄔ | theme=animals | stage=2
  975 | flamingo                       | 紅鶴                             | 🦩        | chunks=['fla', 'min', 'go'] | py=ㄈㄌㄜ-ㄇㄧㄥ-ㄍㄛ | theme=animals | stage=1
  976 | sparrow                        | 麻雀                             | 🐦        | chunks=['spar', 'row'] | py=ㄙㄆㄚ-ㄖㄛ | theme=animals | stage=2
  977 | shark                          | 鯊魚                             | 🦈        | chunks=['sh', 'ark'] | py=ㄒㄚㄦㄎ | theme=animals | stage=0 [有易混提示]
  978 | whale                          | 鯨魚                             | 🐳        | chunks=['wh', 'ale'] | py=ㄨㄟㄦ | theme=animals | stage=1 [有易混提示]
  979 | dolphin                        | 海豚                             | 🐬        | chunks=['dol', 'phin'] | py=ㄉㄚㄦ-ㄈㄧㄣ | theme=animals | stage=1
  980 | octopus                        | 章魚                             | 🐙        | chunks=['oc', 'to', 'pus'] | py=ㄚㄎ-ㄊㄛ-ㄆㄚㄙ | theme=animals | stage=1
  981 | crab                           | 螃蟹                             | 🦀        | chunks=['cr', 'ab'] | py=ㄎㄦㄚㄅ | theme=animals | stage=0
  982 | lobster                        | 龍蝦                             | 🦞        | chunks=['lob', 'ster'] | py=ㄌㄚㄅ-ㄙㄊㄜ | theme=animals | stage=1
  983 | shrimp                         | 蝦                              | 🦐        | chunks=['shr', 'imp'] | py=ㄒㄦㄧㄇㄆ | theme=animals | stage=1 [有易混提示]
  984 | jellyfish                      | 水母                             | 🪼        | chunks=['jel', 'ly', 'fish'] | py=ㄐㄝ-ㄌㄧ-ㄈㄧㄒ | theme=animals | stage=1
  985 | starfish                       | 海星                             | ⭐        | chunks=['star', 'fish'] | py=ㄙㄊㄚㄦ-ㄈㄧㄒ | theme=animals | stage=1
  986 | seal                           | 海豹                             | 🦭        | chunks=['s', 'eal'] | py=ㄒㄧㄦ | theme=animals | stage=1 [有易混提示]
  987 | seahorse                       | 海馬                             | 🌊🐴       | chunks=['sea', 'horse'] | py=ㄒㄧ-ㄏㄛㄦㄙ | theme=animals | stage=1
  988 | eel                            | 鰻                              | 🐟        | chunks=['e', 'el'] | py=ㄧㄦ | theme=animals | stage=2
  989 | snake                          | 蛇                              | 🐍        | chunks=['snake'] | py=ㄙㄋㄟㄎ | theme=animals | stage=0
  990 | lizard                         | 蜥蜴                             | 🦎        | chunks=['liz', 'ard'] | py=ㄌㄧ-ㄗㄜㄉ | theme=animals | stage=1
  991 | crocodile                      | 鱷魚                             | 🐊        | chunks=['croc', 'o', 'dile'] | py=ㄎㄦㄚ-ㄎㄜ-ㄉㄞㄦ | theme=animals | stage=1
  992 | alligator                      | 短吻鱷                            | 🐊        | chunks=['al', 'li', 'ga', 'tor'] | py=ㄚ-ㄌㄜ-ㄍㄟ-ㄊㄜ | theme=animals | stage=2
  993 | gecko                          | 壁虎                             | 🦎        | chunks=['gec', 'ko'] | py=ㄍㄝ-ㄎㄛ | theme=animals | stage=2
  994 | chameleon                      | 變色龍                            | 🦎        | chunks=['cha', 'me', 'le', 'on'] | py=ㄎㄜ-ㄇㄧ-ㄌㄧ-ㄜㄣ | theme=animals | stage=2
  995 | toad                           | 蟾蜍                             | 🐸        | chunks=['t', 'oad'] | py=ㄊㄛㄉ | theme=animals | stage=1
  996 | bee                            | 蜜蜂                             | 🐝        | chunks=['bee'] | py=ㄅㄧ | theme=animals | stage=0 [有易混提示]
  997 | ant                            | 螞蟻                             | 🐜        | chunks=['ant'] | py=ㄢㄊ | theme=animals | stage=0 [有易混提示]
  998 | butterfly                      | 蝴蝶                             | 🦋        | chunks=['but', 'ter', 'fly'] | py=ㄅㄚ-ㄊㄜ-ㄈㄌㄞ | theme=animals | stage=0
  999 | spider                         | 蜘蛛                             | 🕷️       | chunks=['spi', 'der'] | py=ㄙㄆㄞ-ㄉㄜ | theme=animals | stage=0
