# 字 8500-8999
 8500 | designate                      | 指定                             | 🏃        | chunks=['de', 'sig', 'na', 'te'] | py=ㄉㄧ-ㄒㄧㄍ-ㄋㄚ-ㄊㄧ | theme=actions | stage=4
 8802 | provincial                     | 省的                             | 🎨        | chunks=['pro', 'vin', 'cial'] | py=ㄆㄜ-ㄈㄧ-ㄒㄦ | theme=adjectives | stage=4
 8803 | provoke                        | 對...挑釁                         | 🏃        | chunks=['pro', 'vo', 'ke'] | py=ㄆㄜ-ㄈㄛ-ㄎㄟ | theme=actions | stage=4
 8804 | prowl                          | 潛行                             | 🏃        | chunks=['pr', 'owl'] | py=ㄆㄖㄠㄦ | theme=actions | stage=4
 8805 | punctual                       | 準時的                            | 🎨        | chunks=['pun', 'ctual'] | py=ㄆㄚㄋㄎ-ㄔㄨ-ㄜㄦ | theme=adjectives | stage=4
 8806 | purify                         | 淨化                             | 🏃        | chunks=['pu', 'ri', 'fy'] | py=ㄆㄧㄨ-ㄌㄧ-ㄈㄞ | theme=actions | stage=4 base=pure
 8807 | purity                         | 純淨                             | 🎓        | chunks=['pu', 'ri', 'ty'] | py=ㄆㄧㄨ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4 base=pure
 8808 | qualification                  | 資格                             | 🎓        | chunks=['qua', 'li', 'fi', 'ca', 'tion'] | py=ㄎㄨㄝ-ㄌㄧ-ㄈㄜ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=4 base=qualify
 8809 | quarrelsome                    | 喜歡爭吵的                          | 🎨        | chunks=['quar', 'rel', 'so', 'me'] | py=ㄎㄨㄛ-ㄌㄝ-ㄙㄛ-ㄇㄝ | theme=adjectives | stage=4
 8810 | quench                         | 熄滅解                            | 🏃        | chunks=['q', 'uench'] | py=ㄎㄧㄨ-ㄩㄋㄔ | theme=actions | stage=4
 8811 | query                          | 詢問                             | 🏃        | chunks=['que', 'ry'] | py=ㄎㄜ-ㄌㄧ | theme=actions | stage=4
 8812 | questionnaire                  | 問卷                             | 🏃        | chunks=['ques', 'tion', 'nai', 're'] | py=ㄎㄨㄝㄙ-ㄒㄜ-ㄋㄝㄜ | theme=actions | stage=4
 8813 | racism                         | 種族主義                           | 🎓        | chunks=['ra', 'cism'] | py=ㄌㄚ-ㄒㄧㄗㄣ | theme=academic-words | stage=4
 8814 | radiant                        | 光芒四射的                          | ✨        | chunks=['ra', 'diant'] | py=ㄌㄚ-ㄉㄧㄚㄋㄊ | theme=numbers | stage=4
 8815 | radiate                        | 輻射散發                           | 🏃        | chunks=['ra', 'dia', 'te'] | py=ㄌㄚ-ㄉㄞ-ㄊㄧ | theme=actions | stage=4
 8816 | ransom                         | 贖金                             | 🏃        | chunks=['ran', 'som'] | py=ㄌㄚㄣ-ㄙㄚ | theme=actions | stage=4
 8817 | ravage                         | 使荒蕪毀滅                          | 🏃        | chunks=['ra', 'va', 'ge'] | py=ㄖㄚ-ㄈㄜㄐ | theme=actions | stage=4
 8818 | realization                    | 領悟                             | 🎓        | chunks=['rea', 'li', 'za', 'tion'] | py=ㄌㄝ-ㄌㄧ-ㄗㄝ-ㄒㄣ | theme=academic-words | stage=4 base=realize
 8819 | recipient                      | 接受者接受的                         | 🎨        | chunks=['re', 'ci', 'pient'] | py=ㄌㄧ-ㄙㄜ-ㄆㄞㄋㄊ | theme=adjectives | stage=4
 8820 | recommendation                 | 推薦                             | 🎓        | chunks=['re', 'com', 'men', 'da', 'tion'] | py=ㄌㄧ-ㄎㄚㄇ-ㄇㄣ-ㄉㄚ-ㄒㄣ | theme=academic-words | stage=3 base=recommend
 8821 | recreational                   | 消遣的                            | 🎨        | chunks=['rec', 'rea', 'tio', 'nal'] | py=ㄖㄝ-ㄎㄖㄧ-ㄝ-ㄒㄜ-ㄋㄜ | theme=adjectives | stage=4
 8822 | recruit                        | 徵募新兵                           | 🏃        | chunks=['rec', 'ruit'] | py=ㄖㄧ-ㄎㄖㄨㄊ | theme=actions | stage=4
 8823 | recur                          | 再發生                            | 🏃        | chunks=['re', 'cur'] | py=ㄖㄧ-ㄎㄜ | theme=actions | stage=4
 8824 | redundant                      | 多餘的                            | 🎨        | chunks=['re', 'dun', 'dant'] | py=ㄌㄧ-ㄉㄚㄣ-ㄉㄣㄊ | theme=adjectives | stage=4
 8825 | refinement                     | 提煉                             | 🎨        | chunks=['re', 'fi', 'ne', 'ment'] | py=ㄌㄧ-ㄈㄜ-ㄋㄧ-ㄇㄣㄊ | theme=adjectives | stage=4 base=refine
 8826 | reflective                     | 反射的                            | 🎨        | chunks=['ref', 'lec', 'ti', 've'] | py=ㄖㄧ-ㄈㄌㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=reflect
 8827 | refreshment                    | 精力恢復                           | 🎨        | chunks=['ref', 'res', 'hment'] | py=ㄖㄧ-ㄈㄖㄝㄒ-ㄇㄣㄊ | theme=adjectives | stage=4 base=refresh
 8828 | rehearsal                      | 排練                             | 🏃        | chunks=['re', 'hear', 'sal'] | py=ㄌㄧ-ㄏㄧㄦ-ㄙㄚㄦ | theme=actions | stage=4 base=rehearse
 8829 | rehearse                       | 排練                             | 🏃        | chunks=['re', 'hear', 'se'] | py=ㄌㄧ-ㄏㄧㄦ-ㄙㄜ | theme=actions | stage=4
 8830 | rein                           | 韁繩駕馭勒馬                         | 🐎        | chunks=['r', 'ein'] | py=ㄖㄟㄣ | theme=animals | stage=4 [有易混提示]
 8831 | relay                          | 接力賽跑轉播                         | 🏃        | chunks=['re', 'lay'] | py=ㄌㄧ-ㄌㄟ | theme=actions | stage=4
 8832 | reliance                       | 信賴                             | 🎓        | chunks=['re', 'lian', 'ce'] | py=ㄌㄧ-ㄌㄧㄚㄋ-ㄙㄜ | theme=academic-words | stage=4 base=rely
 8833 | relish                         | 滋味品嚐可口                         | 🎨        | chunks=['re', 'lish'] | py=ㄌㄧ-ㄅㄌㄧㄒ | theme=adjectives | stage=4
 8834 | remainder                      | 剩餘物                            | 🏃        | chunks=['re', 'main', 'der'] | py=ㄌㄧ-ㄇㄟㄣ-ㄉㄜ | theme=actions | stage=4
 8835 | removal                        | 移去                             | 🏃        | chunks=['re', 'mo', 'val'] | py=ㄌㄧ-ㄇㄛ-ㄈㄜ | theme=actions | stage=4 base=remove
 8836 | render                         | 使成為                            | 🏃        | chunks=['ren', 'der'] | py=ㄌㄣ-ㄉㄜ | theme=actions | stage=4
 8837 | renowned                       | 有名的                            | 🎨        | chunks=['re', 'now', 'ned'] | py=ㄌㄧ-ㄋㄠ-ㄋㄝㄉ | theme=adjectives | stage=4
 8838 | rental                         | 租金                             | 🏃        | chunks=['ren', 'tal'] | py=ㄌㄣ-ㄉㄜ | theme=actions | stage=4 base=rent
 8839 | repress                        | 抑制                             | 🏃        | chunks=['rep', 'ress'] | py=ㄖㄧ-ㄆㄖㄝㄙ | theme=actions | stage=4
 8840 | resemblance                    | 相似                             | 🎓        | chunks=['re', 'sem', 'blan', 'ce'] | py=ㄌㄧ-ㄙㄝ-ㄅㄌㄢ-ㄙㄜ | theme=academic-words | stage=4 base=resemble
 8841 | reservoir                      | 蓄水庫                            | 💧        | chunks=['re', 'ser', 'voir'] | py=ㄖㄝ-ㄗㄜ-ㄈㄨㄚㄜ | theme=drinks | stage=4
 8842 | residential                    | 居住的                            | 🎨        | chunks=['re', 'si', 'den', 'tial'] | py=ㄌㄧ-ㄗㄜ-ㄉㄣ-ㄒㄦ | theme=adjectives | stage=4
 8843 | resistant                      | 抵抗的抵抗者                         | 🎨        | chunks=['re', 'sis', 'tant'] | py=ㄌㄧ-ㄒㄜㄙ-ㄊㄣㄊ | theme=adjectives | stage=4
 8844 | resolute                       | 堅決的、堅定的                        | 🎨        | chunks=['re', 'so', 'lu', 'te'] | py=ㄌㄧ-ㄙㄛ-ㄌㄨ-ㄊㄧ | theme=adjectives | stage=4
 8845 | respective                     | 各自的                            | 🎨        | chunks=['res', 'pec', 'ti', 've'] | py=ㄌㄝㄙ-ㄆㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=respect
 8846 | restoration                    | 恢復                             | 🎓        | chunks=['res', 'to', 'ra', 'tion'] | py=ㄌㄝㄙ-ㄊㄛ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4 base=restore
 8847 | restraint                      | 抑制                             | 🏃        | chunks=['res', 'traint'] | py=ㄌㄝㄙ-ㄊㄖㄟㄋㄊ | theme=actions | stage=4
 8848 | retaliate                      | 報復                             | 🏃        | chunks=['re', 'ta', 'lia', 'te'] | py=ㄌㄧ-ㄊㄝ-ㄌㄧㄚ-ㄊㄧ | theme=actions | stage=4
 8849 | retrieve                       | 重獲                             | 🏃        | chunks=['ret', 'rie', 've'] | py=ㄌㄝㄊ-ㄌㄧ-ㄈㄜ | theme=actions | stage=4
 8850 | revelation                     | 揭示                             | 🎓        | chunks=['re', 've', 'la', 'tion'] | py=ㄌㄧ-ㄈㄜ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4
 8851 | revival                        | 甦醒                             | 🏃        | chunks=['re', 'vi', 'val'] | py=ㄌㄧ-ㄈㄞ-ㄈㄜ | theme=actions | stage=4
 8852 | rhythmic                       | 有節奏的                           | 🎵        | chunks=['rhyt', 'hmic'] | py=ㄖㄧㄉ-ㄇㄧㄎ | theme=music | stage=4
 8853 | ridicule                       | 嘲笑                             | 🏃        | chunks=['ri', 'di', 'cu', 'le'] | py=ㄌㄧ-ㄉㄧ-ㄎㄧㄨ-ㄌㄧ | theme=actions | stage=4
 8854 | rigorous                       | 嚴格的                            | 🎨        | chunks=['ri', 'go', 'rous'] | py=ㄌㄧ-ㄍㄛ-ㄌㄨ | theme=adjectives | stage=4
 8855 | rite                           | 儀式                             | 🎉        | chunks=['ri', 'te'] | py=ㄌㄧ-ㄊㄧ | theme=events | stage=4 [有易混提示]
 8856 | rivalry                        | 競爭                             | 🏃        | chunks=['ri', 'val', 'ry'] | py=ㄌㄧ-ㄈㄜ-ㄌㄧ | theme=actions | stage=4 base=rival
 8857 | rotate                         | 旋轉,輪流                          | 🏃        | chunks=['ro', 'ta', 'te'] | py=ㄌㄛ-ㄊㄝ-ㄊㄧ | theme=actions | stage=4
 8858 | rotation                       | 旋轉                             | 🎓        | chunks=['ro', 'ta', 'tion'] | py=ㄌㄛ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=4
 8859 | safeguard                      | 保護                             | 🏃        | chunks=['sa', 'fe', 'guard'] | py=ㄙㄝㄈ-ㄍㄚㄜㄉ | theme=actions | stage=4
 8860 | saloon                         | 交誼廳                            | 🍺        | chunks=['sa', 'loon'] | py=ㄙㄚ-ㄌㄨㄣ | theme=actions | stage=4
 8861 | sane                           | 神志正常的                          | 🎨        | chunks=['sa', 'ne'] | py=ㄙㄚ-ㄋㄧ | theme=adjectives | stage=4 [有易混提示]
 8862 | sanitation                     | 公共衛生                           | 🎓        | chunks=['sa', 'ni', 'ta', 'tion'] | py=ㄙㄚ-ㄋㄜ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=4
 8863 | scenic                         | 風景的                            | 🎨        | chunks=['sce', 'nic'] | py=ㄙㄜ-ㄋㄧㄎ | theme=adjectives | stage=4
 8864 | script                         | 筆跡                             | 🏃        | chunks=['scr', 'ipt'] | py=ㄙㄎㄖ-ㄧㄆㄊ | theme=actions | stage=3
 8865 | seduce                         | 誘惑                             | 🏃        | chunks=['se', 'du', 'ce'] | py=ㄙㄜ-ㄉㄨ-ㄙㄜ | theme=actions | stage=4
 8866 | selective                      | 有選擇性的                          | 🎨        | chunks=['se', 'lec', 'ti', 've'] | py=ㄙㄜ-ㄌㄝㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=4 base=select
 8867 | serenity                       | 晴朗                             | 🎓        | chunks=['se', 're', 'ni', 'ty'] | py=ㄙㄜ-ㄌㄧ-ㄋㄜ-ㄊㄧ | theme=academic-words | stage=4
 8868 | serving                        | 服務                             | 🏃        | chunks=['ser', 'ving'] | py=ㄗㄜ-ㄈㄧㄥ | theme=actions | stage=4 base=serve
 8869 | session                        | 會議                             | 🏢        | chunks=['ses', 'sion'] | py=ㄗㄝㄗ-ㄒㄣ | theme=office | stage=4
 8870 | setback                        | 挫折                             | 🏃        | chunks=['set', 'back'] | py=ㄙㄝㄊ-ㄅㄚㄎ | theme=actions | stage=4
 8871 | sewer                          | 污水管                            | 🚽        | chunks=['se', 'wer'] | py=ㄙㄜ-ㄜ | theme=drinks | stage=4
 8872 | shed                           | 棚流出                            | 🏃        | chunks=['sh', 'ed'] | py=ㄒㄝㄉ | theme=actions | stage=3 [有易混提示]
 8873 | shilling                       | 先令                             | 🏃        | chunks=['shil', 'ling'] | py=ㄒㄧㄌ-ㄌㄧㄥ | theme=actions | stage=4
 8874 | shoplift                       | 在商店內順手牽羊                       | 🛍️       | chunks=['shop', 'lift'] | py=ㄒㄚㄆ-ㄌㄧㄈㄊ | theme=animals | stage=4
 8875 | shrewd                         | 精明的                            | 🎨        | chunks=['shr', 'ewd'] | py=ㄒㄖㄨㄉ | theme=adjectives | stage=4
 8876 | shun                           | 躲開                             | 🏃        | chunks=['sh', 'un'] | py=ㄒㄚㄣ | theme=actions | stage=4
 8877 | siege                          | 圍攻                             | 🏃        | chunks=['sie', 'ge'] | py=ㄙㄧㄐ | theme=actions | stage=4
 8878 | signify                        | 表示                             | 🏃        | chunks=['sig', 'ni', 'fy'] | py=ㄒㄧㄍ-ㄋㄜ-ㄈㄞ | theme=actions | stage=4
 8879 | silicon                        | 矽                              | 🏃        | chunks=['si', 'li', 'con'] | py=ㄗㄜ-ㄌㄧ-ㄎㄚㄣ | theme=actions | stage=4
 8880 | simplicity                     | 簡單                             | 🎓        | chunks=['sim', 'pli', 'ci', 'ty'] | py=ㄒㄧ-ㄆㄌㄜ-ㄙㄜ-ㄊㄧ | theme=academic-words | stage=4 base=simple
 8881 | simplify                       | 簡化                             | 🏃        | chunks=['sim', 'pli', 'fy'] | py=ㄒㄧ-ㄆㄌㄜ-ㄈㄞ | theme=actions | stage=4 base=simple
 8882 | simultaneous                   | 同步的                            | 🎨        | chunks=['si', 'mul', 'ta', 'neous'] | py=ㄗㄜ-ㄇㄚㄦ-ㄊㄝ-ㄋㄝㄜㄙ | theme=adjectives | stage=4
 8883 | skim                           | 掠過                             | 🏃        | chunks=['sk', 'im'] | py=ㄙㄎ-ㄧㄇ | theme=actions | stage=4
 8884 | slang                          | 俚語                             | 🏃        | chunks=['sl', 'ang'] | py=ㄙㄌ-ㄚㄥ | theme=actions | stage=4
 8885 | slash                          | 砍                              | 🏃        | chunks=['sl', 'ash'] | py=ㄙㄌㄚㄒ | theme=actions | stage=4
 8886 | slot                           | 狹縫                             | 🏃        | chunks=['sl', 'ot'] | py=ㄙㄌㄚㄊ | theme=actions | stage=4
 8887 | slum                           | 貧民窟                            | 🏃        | chunks=['sl', 'um'] | py=ㄙㄌㄚㄇ | theme=actions | stage=4
 8888 | smack                          | 摑巴掌                            | 🏃        | chunks=['sm', 'ack'] | py=ㄙㄇㄚㄎ | theme=actions | stage=4
 8889 | smother                        | 窒息                             | 🏃        | chunks=['smot', 'her'] | py=ㄙㄇㄛㄊ-ㄏㄜ | theme=actions | stage=4
 8890 | smuggle                        | 走私                             | ⚖️       | chunks=['smug', 'gle'] | py=ㄙㄇㄚ-ㄍㄜ | theme=crime | stage=4
 8891 | snare                          | 圈套捕捉                           | 🏃        | chunks=['sna', 're'] | py=ㄙㄋㄝㄜ | theme=actions | stage=4
 8892 | sneaky                         | 鬼鬼祟祟的                          | 🎨        | chunks=['snea', 'ky'] | py=ㄙㄋㄧ-ㄎㄧ | theme=adjectives | stage=4 base=sneak
 8893 | sneer                          | 嘲諷,冷笑                          | 🏃        | chunks=['sn', 'eer'] | py=ㄙㄋㄧㄦ | theme=actions | stage=4
 8894 | sociable                       | 好交際的                           | 🎨        | chunks=['so', 'ciab', 'le'] | py=ㄙㄛ-ㄎㄧㄚㄅ-ㄌㄧ | theme=adjectives | stage=4
 8895 | socialist                      | 社會主義者                          | 👨‍⚕️     | chunks=['so', 'cia', 'list'] | py=ㄙㄛ-ㄎㄧㄚ-ㄌㄧㄙㄊ | theme=jobs | stage=4
 8896 | socialize                      | 交際                             | 🏃        | chunks=['so', 'cia', 'li', 'ze'] | py=ㄙㄛ-ㄎㄧㄚ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=social
 8897 | sociology                      | 社會學                            | 🏃        | chunks=['so', 'cio', 'lo', 'gy'] | py=ㄙㄛ-ㄎㄧㄛ-ㄌㄛ-ㄐㄧ | theme=actions | stage=4
 8898 | sodium                         | 鈉                              | 🏃        | chunks=['so', 'dium'] | py=ㄙㄛ-ㄉㄧㄚㄇ | theme=actions | stage=4
 8899 | solidarity                     | 團結                             | 🎓        | chunks=['so', 'li', 'da', 'ri', 'ty'] | py=ㄙㄛ-ㄌㄧ-ㄉㄚ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8900 | solitude                       | 孤獨                             | 🎓        | chunks=['so', 'li', 'tu', 'de'] | py=ㄙㄛ-ㄌㄧ-ㄑㄨ-ㄉㄧ | theme=academic-words | stage=4
 8901 | soothe                         | 安慰                             | 🏃        | chunks=['soot', 'he'] | py=ㄙㄨㄊ-ㄏㄝ | theme=emotions | stage=4
 8902 | sophisticated                  | 世故的                            | 🎨        | chunks=['sop', 'his', 'ti', 'ca', 'ted'] | py=ㄙㄚㄆ-ㄏㄧㄙ-ㄊㄜ-ㄎㄚ-ㄉㄜ | theme=adjectives | stage=4
 8903 | spacious                       | 寬敞的                            | 🎨        | chunks=['spa', 'cious'] | py=ㄙㄆㄚ-ㄒㄜㄙ | theme=adjectives | stage=4
 8904 | span                           | 跨度                             | 🏃        | chunks=['sp', 'an'] | py=ㄙㄆ-ㄢ | theme=actions | stage=3
 8905 | specialize                     | 專攻使專門化                         | 🎯        | chunks=['spe', 'cia', 'li', 'ze'] | py=ㄙㄆㄝ-ㄎㄧㄚ-ㄌㄧ-ㄗㄧ | theme=home-items | stage=4 base=special
 8906 | spectacular                    | 壯觀的                            | 🎨        | chunks=['spec', 'ta', 'cu', 'lar'] | py=ㄙㄆㄝ-ㄊㄝ-ㄎㄧㄨ-ㄌㄜ | theme=adjectives | stage=4 base=spectacle
 8907 | spectrum                       | 光譜                             | 🏃        | chunks=['spec', 'trum'] | py=ㄙㄆㄝ-ㄊㄌㄚㄇ | theme=actions | stage=4
 8908 | speculate                      | 思索推測                           | 🏃        | chunks=['spe', 'cu', 'la', 'te'] | py=ㄙㄆㄝ-ㄎㄧㄨ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8909 | spike                          | 大釘                             | 🏃        | chunks=['spi', 'ke'] | py=ㄙㄆㄞ-ㄎㄟ | theme=actions | stage=4
 8910 | spire                          | 尖塔給…裝尖頂聳立                      | ⛪        | chunks=['spi', 're'] | py=ㄙㄆㄞㄜ | theme=desserts | stage=4
 8911 | spokesman                      | 發言人                            | 📰        | chunks=['spo', 'kes', 'man'] | py=ㄙㄆㄛ-ㄎㄝㄙ-ㄇㄢ | theme=media | stage=4
 8912 | spokeswoman                    | 發言人                            | 📰        | chunks=['spo', 'kes', 'wo', 'man'] | py=ㄙㄆㄛ-ㄎㄝㄙ-ㄨㄨ-ㄇㄢ | theme=media | stage=4
 8913 | spouse                         | 配偶                             | 🏃        | chunks=['spou', 'se'] | py=ㄙㄆㄠ-ㄙㄜ | theme=actions | stage=4
 8914 | sprawl                         | 伸開四肢躺                          | 🛌        | chunks=['spr', 'awl'] | py=ㄙㄆㄖㄛㄦ | theme=numbers | stage=4
 8915 | squad                          | 小隊                             | 🏃        | chunks=['sq', 'uad'] | py=ㄙㄎㄨㄚㄉ | theme=actions | stage=4
 8916 | stability                      | 穩定                             | 🎓        | chunks=['sta', 'bi', 'li', 'ty'] | py=ㄙㄉㄝ-ㄅㄞ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8917 | stabilize                      | 穩定                             | 🏃        | chunks=['sta', 'bi', 'li', 'ze'] | py=ㄙㄉㄝ-ㄅㄞ-ㄌㄧ-ㄗㄧ | theme=actions | stage=4 base=stable
 8918 | stammer                        | 口吃                             | 🏃        | chunks=['stam', 'mer'] | py=ㄙㄊㄚ-ㄇㄜ | theme=actions | stage=4
 8919 | staple                         | 主食                             | 🏃        | chunks=['stap', 'le'] | py=ㄙㄊㄚㄆ-ㄌㄧ | theme=actions | stage=4
 8920 | starch                         | 澱粉                             | 🏃        | chunks=['st', 'arch'] | py=ㄙㄊ-ㄚㄦㄑ | theme=actions | stage=4
 8921 | starvation                     | 飢餓                             | 🎓        | chunks=['star', 'va', 'tion'] | py=ㄙㄉㄚㄦ-ㄈㄚ-ㄒㄣ | theme=academic-words | stage=4 base=starve
 8922 | stationary                     | 不動的                            | 🎨        | chunks=['sta', 'tio', 'na', 'ry'] | py=ㄙㄉㄝ-ㄒㄛ-ㄋㄚ-ㄌㄧ | theme=adjectives | stage=4 [有易混提示]
 8923 | stationery                     | 文具                             | 📚        | chunks=['sta', 'tio', 'ne', 'ry'] | py=ㄙㄉㄝ-ㄒㄛ-ㄋㄧ-ㄌㄧ | theme=school | stage=4 [有易混提示]
 8924 | stature                        | 身高                             | 💁        | chunks=['sta', 'tu', 're'] | py=ㄙㄉㄝ-ㄑㄨ-ㄌㄧ | theme=appearance | stage=4
 8925 | stimulate                      | 刺激                             | 🏃        | chunks=['sti', 'mu', 'la', 'te'] | py=ㄙㄊㄜ-ㄇㄧㄨ-ㄌㄚ-ㄊㄧ | theme=actions | stage=4
 8926 | stimulation                    | 刺激                             | 🎓        | chunks=['sti', 'mu', 'la', 'tion'] | py=ㄙㄊㄜ-ㄇㄧㄨ-ㄌㄚ-ㄒㄣ | theme=academic-words | stage=4 base=stimulate
 8927 | strangle                       | 勒死                             | 🏃        | chunks=['stran', 'gle'] | py=ㄙㄊㄖㄝㄣ-ㄍㄜ | theme=actions | stage=4
 8928 | strategic                      | 戰略的                            | 🎨        | chunks=['stra', 'te', 'gic'] | py=ㄙㄉㄌㄝ-ㄊㄧ-ㄐㄧㄎ | theme=adjectives | stage=4
 8929 | stunt                          | 絕技阻礙表演絕技                       | 🏃        | chunks=['st', 'unt'] | py=ㄙㄊ-ㄚㄋㄊ | theme=actions | stage=4
 8930 | subscribe                      | 認捐                             | 🏃        | chunks=['subs', 'cri', 'be'] | py=ㄙㄚㄅㄙ-ㄎㄌㄞ-ㄅㄧ | theme=actions | stage=4
 8931 | substitution                   | 代替                             | 🎓        | chunks=['sub', 'sti', 'tu', 'tion'] | py=ㄙㄚㄅ-ㄙㄊㄜ-ㄑㄨ-ㄒㄣ | theme=academic-words | stage=4
 8932 | successive                     | 連續的                            | 🎨        | chunks=['suc', 'ces', 'si', 've'] | py=ㄙㄚㄎ-ㄙㄝ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=4 base=success
 8933 | suite                          | 套房                             | 🏃        | chunks=['sui', 'te'] | py=ㄙㄨ-ㄊㄧ | theme=actions | stage=4 [有易混提示]
 8934 | superb                         | 堂皇的                            | 🎨        | chunks=['su', 'perb'] | py=ㄙㄨ-ㄆㄜㄅ | theme=adjectives | stage=4
 8935 | superiority                    | 優越                             | 🎓        | chunks=['su', 'pe', 'rio', 'ri', 'ty'] | py=ㄙㄨ-ㄆㄜ-ㄖㄧㄛ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=4
 8936 | supersonic                     | 超音波                            | 🏥        | chunks=['su', 'per', 'so', 'nic'] | py=ㄙㄨ-ㄆㄜ-ㄙㄛ-ㄋㄧㄎ | theme=medical | stage=4
 8937 | superstitious                  | 迷信的                            | 🎨        | chunks=['su', 'per', 'sti', 'tious'] | py=ㄙㄨ-ㄆㄜ-ㄙㄊㄜ-ㄒㄚㄙ | theme=adjectives | stage=4 base=superstition
 8938 | supervision                    | 監督                             | 🎓        | chunks=['su', 'per', 'vi', 'sion'] | py=ㄙㄨ-ㄆㄜ-ㄈㄞ-ㄒㄣ | theme=academic-words | stage=4
 8939 | surpass                        | 勝過                             | 🏃        | chunks=['sur', 'pass'] | py=ㄙㄜ-ㄆㄚㄙ | theme=actions | stage=4
 8940 | suspense                       | 懸而不決                           | 🏃        | chunks=['sus', 'pen', 'se'] | py=ㄙㄜ-ㄆㄣ-ㄙㄜ | theme=actions | stage=4
 8941 | suspension                     | 懸吊                             | 🎓        | chunks=['sus', 'pen', 'sion'] | py=ㄙㄜ-ㄆㄣ-ㄒㄣ | theme=academic-words | stage=4
 8942 | swap                           | 交換                             | 🏃        | chunks=['sw', 'ap'] | py=ㄙㄨ-ㄚ | theme=actions | stage=3
 8943 | symbolic                       | 象徵的                            | 🔣        | chunks=['sym', 'bo', 'lic'] | py=ㄒㄧㄇ-ㄅㄛ-ㄌㄧㄎ | theme=animals | stage=4 base=symbol
 8944 | symbolize                      | 象徵                             | 🔣        | chunks=['sym', 'bo', 'li', 'ze'] | py=ㄒㄧㄇ-ㄅㄛ-ㄌㄧ-ㄗㄧ | theme=animals | stage=4 base=symbol
 8945 | symmetry                       | 對稱                             | 🏃        | chunks=['sym', 'met', 'ry'] | py=ㄒㄧㄇ-ㄇㄝㄊ-ㄌㄧ | theme=actions | stage=4
 8946 | symptom                        | 症狀                             | 💊        | chunks=['sym', 'ptom'] | py=ㄒㄧㄇ-ㄆㄊㄛㄇ | theme=health | stage=3
 8947 | synonym                        | 同義字                            | 🏃        | chunks=['sy', 'no', 'nym'] | py=ㄗㄧ-ㄋㄛ-ㄋㄧㄇ | theme=actions | stage=4
 8948 | synthetic                      | 合成的                            | 🎨        | chunks=['syn', 'the', 'tic'] | py=ㄒㄧㄣ-ㄉㄚ-ㄊㄧㄎ | theme=adjectives | stage=4
 8949 | tact                           | 老練                             | 🏃        | chunks=['t', 'act'] | py=ㄊㄚㄎㄊ | theme=actions | stage=4
 8950 | tedious                        | 冗長乏味的                          | 🎨        | chunks=['te', 'dious'] | py=ㄊㄧ-ㄉㄧㄜㄙ | theme=adjectives | stage=4
 8951 | temperament                    | 氣質                             | 🎨        | chunks=['tem', 'pe', 'ra', 'ment'] | py=ㄊㄣ-ㄆㄜ-ㄌㄚ-ㄇㄣㄊ | theme=adjectives | stage=4
 8952 | tempest                        | 暴風雨                            | 🏃        | chunks=['tem', 'pest'] | py=ㄊㄣ-ㄆㄝㄙㄊ | theme=weather | stage=4
 8953 | textile                        | 紡織品紡織的                         | 🎨        | chunks=['tex', 'ti', 'le'] | py=ㄊㄝㄎㄙ-ㄊㄜ-ㄌㄧ | theme=adjectives | stage=4
 8954 | texture                        | 質地                             | 🎨        | chunks=['tex', 'tu', 're'] | py=ㄊㄝㄎㄙ-ㄑㄨ-ㄌㄧ | theme=adjectives | stage=4
 8955 | theatrical                     | 戲劇的                            | 🎬        | chunks=['theat', 'ri', 'cal'] | py=ㄒㄧ-ㄚㄊ-ㄌㄧ-ㄎㄜ | theme=movies-tv | stage=4
 8956 | thermometer                    | 溫度計                            | 🏃        | chunks=['ther', 'mo', 'me', 'ter'] | py=ㄒㄜ-ㄇㄚ-ㄇㄜ-ㄊㄜ | theme=actions | stage=4
 8957 | threshold                      | 門檻                             | 🛋️       | chunks=['thres', 'hold'] | py=ㄒㄖㄝㄒ-ㄏㄛㄦㄉ | theme=home-items | stage=4
 8958 | thrift                         | 節儉                             | 🏃        | chunks=['thr', 'ift'] | py=ㄒㄖㄧㄈㄊ | theme=actions | stage=4
 8959 | thrifty                        | 節儉的                            | 🎨        | chunks=['thrif', 'ty'] | py=ㄒㄖㄧㄈ-ㄊㄧ | theme=adjectives | stage=4 base=thrift
