# 字 3500-3999
 3500 | plot                           | 劇情                             | 📜        | chunks=['pl', 'ot'] | py=ㄆㄌㄚㄊ | theme=movies-tv | stage=1 [有易混提示]
 3827 | signature                      | 簽名                             | ✍️       | chunks=['sig', 'na', 'ture'] | py=ㄒㄧㄍ-ㄋㄜ-ㄑㄜㄦ | theme=office | stage=2
 3828 | contract                       | 合約                             | 📄        | chunks=['con', 'tract'] | py=ㄎㄚㄣ-ㄊㄌㄚㄎㄊ | theme=office | stage=1 [有易混提示]
 3829 | agreement                      | 協議                             | 🤝        | chunks=['a', 'gree', 'ment'] | py=ㄜ-ㄍㄌㄧ-ㄇㄜㄣㄊ | theme=office | stage=1 base=agree
 3830 | letterhead                     | 信頭                             | 📄        | chunks=['let', 'ter', 'head'] | py=ㄌㄝ-ㄊㄜ-ㄏㄝㄉ | theme=office | stage=3
 3831 | briefcase                      | 公事包                            | 💼        | chunks=['brief', 'case'] | py=ㄅㄌㄧㄈ-ㄎㄝㄙ | theme=office | stage=2
 3832 | photocopy                      | 影印                             | 📠        | chunks=['pho', 'to', 'cop', 'y'] | py=ㄈㄛ-ㄊㄛ-ㄎㄚ-ㄆㄧ | theme=office | stage=2
 3833 | workflow                       | 工作流程                           | ⚙️       | chunks=['work', 'flow'] | py=ㄨㄜㄎ-ㄈㄌㄛ | theme=office | stage=2
 3834 | corporation                    | 公司                             | 🏢        | chunks=['cor', 'po', 'ra', 'tion'] | py=ㄎㄛㄦ-ㄆㄜ-ㄌㄝ-ㄒㄜㄣ | theme=business | stage=1
 3835 | enterprise                     | 企業                             | 🏢        | chunks=['en', 'ter', 'prise'] | py=ㄝㄣ-ㄊㄜ-ㄆㄌㄞㄗ | theme=business | stage=2
 3836 | startup                        | 新創                             | 🚀        | chunks=['start', 'up'] | py=ㄙㄉㄚㄦㄊ-ㄚㄆ | theme=business | stage=1
 3837 | smallbusiness                  | 小型企業                           | 🏪        | chunks=['small', 'busi', 'ness'] | py=ㄙㄇㄛㄦ-ㄅㄧㄗ-ㄋㄝㄙ | theme=business | stage=2
 3838 | cto                            | 技術長                            | 💼        | chunks=['c', 't', 'o'] | py=ㄒㄧ-ㄊㄧ-ㄛ | theme=business | stage=2
 3839 | coo                            | 營運長                            | 💼        | chunks=['c', 'o', 'o'] | py=ㄒㄧ-ㄛ-ㄛ | theme=business | stage=2
 3840 | shareholder                    | 股東                             | 📊        | chunks=['share', 'hold', 'er'] | py=ㄒㄝㄦ-ㄏㄛㄦ-ㄉㄜ | theme=business | stage=2
 3841 | stakeholder                    | 利害關係人                          | 📊        | chunks=['stake', 'hold', 'er'] | py=ㄙㄉㄝㄎ-ㄏㄛㄦ-ㄉㄜ | theme=business | stage=2 [有易混提示]
 3842 | revenue                        | 營收                             | 📈        | chunks=['rev', 'e', 'nue'] | py=ㄌㄝ-ㄈㄜ-ㄋㄧㄨ | theme=business | stage=2
 3843 | overhead                       | 營運成本                           | 📊        | chunks=['o', 'ver', 'head'] | py=ㄛ-ㄈㄜ-ㄏㄝㄉ | theme=business | stage=3
 3844 | margin                         | 利潤率                            | 📊        | chunks=['mar', 'gin'] | py=ㄇㄚㄦ-ㄐㄣ | theme=business | stage=2
 3845 | markup                         | 加價                             | 📈        | chunks=['mark', 'up'] | py=ㄇㄚㄦㄎ-ㄚㄆ | theme=business | stage=3
 3846 | sales                          | 銷售                             | 💰        | chunks=['s', 'ales'] | py=ㄙㄝㄦㄗ | theme=business | stage=1
 3847 | marketing                      | 行銷                             | 📢        | chunks=['mar', 'ket', 'ing'] | py=ㄇㄚㄦ-ㄎㄝㄊ-ㄧㄥ | theme=business | stage=1
 3848 | branding                       | 品牌經營                           | 🏷️       | chunks=['brand', 'ing'] | py=ㄅㄌㄚㄣㄉ-ㄧㄥ | theme=business | stage=2
 3849 | advertising                    | 廣告                             | 📢        | chunks=['ad', 'ver', 'tis', 'ing'] | py=ㄚㄉ-ㄈㄜ-ㄊㄞㄗ-ㄧㄥ | theme=business | stage=1
 3850 | ads                            | 廣告                             | 📢        | chunks=['a', 'ds'] | py=ㄚㄗ | theme=business | stage=1
 3851 | advertisement                  | 廣告                             | 📢        | chunks=['ad', 'ver', 'tise', 'ment'] | py=ㄚㄉ-ㄈㄜ-ㄊㄞㄗ-ㄇㄜㄣㄊ | theme=business | stage=2 base=advertise
 3852 | pr                             | 公關                             | 📢        | chunks=['p', 'r'] | py=ㄆㄧ-ㄚㄦ | theme=business | stage=2
 3853 | publicity                      | 宣傳                             | 📢        | chunks=['pub', 'lic', 'i', 'ty'] | py=ㄆㄚ-ㄅㄌㄜ-ㄒㄜ-ㄊㄧ | theme=business | stage=2
 3854 | campaign                       | 活動                             | 📢        | chunks=['cam', 'paign'] | py=ㄎㄚㄇ-ㄆㄝㄣ | theme=business | stage=1
 3855 | launch                         | 上市                             | 🚀        | chunks=['l', 'aunch'] | py=ㄌㄛㄣㄑ | theme=business | stage=1 [有易混提示]
 3856 | rollout                        | 推出                             | 🚀        | chunks=['roll', 'out'] | py=ㄌㄛㄦ-ㄠㄊ | theme=business | stage=2
 3857 | release                        | 發行、釋放                          | 🚀        | chunks=['re', 'lease'] | py=ㄌㄧ-ㄌㄧㄙ | theme=business | stage=1 [有易混提示]
 3858 | debut                          | 首發                             | 🚀        | chunks=['de', 'but'] | py=ㄉㄝ-ㄅㄧㄨ | theme=business | stage=3
 3859 | product                        | 產品                             | 🏷️       | chunks=['prod', 'uct'] | py=ㄆㄌㄚ-ㄉㄚㄎㄊ | theme=business | stage=1 [有易混提示]
 3860 | service                        | 服務                             | 🤝        | chunks=['ser', 'vice'] | py=ㄙㄜ-ㄈㄜㄙ | theme=business | stage=1 [有易混提示]
 3861 | demographic                    | 客群                             | 📊        | chunks=['dem', 'o', 'graph', 'ic'] | py=ㄉㄝ-ㄇㄜ-ㄍㄌㄚ-ㄈㄧㄎ | theme=business | stage=3
 3862 | segment                        | 市場區隔                           | 📊        | chunks=['seg', 'ment'] | py=ㄙㄝㄍ-ㄇㄜㄣㄊ | theme=business | stage=3 [有易混提示]
 3863 | niche                          | 利基                             | 🎯        | chunks=['n', 'iche'] | py=ㄋㄧㄒ | theme=business | stage=3 [有易混提示]
 3864 | strategy                       | 策略                             | 🎯        | chunks=['strat', 'e', 'gy'] | py=ㄙㄉㄌㄚ-ㄊㄜ-ㄐㄧ | theme=business | stage=1
 3865 | tactic                         | 戰術                             | 🎯        | chunks=['tac', 'tic'] | py=ㄊㄚㄎ-ㄊㄧㄎ | theme=business | stage=2 [有易混提示]
 3866 | vision                         | 願景                             | 👁️       | chunks=['vi', 'sion'] | py=ㄈㄧ-ㄓㄜㄣ | theme=business | stage=2 [有易混提示]
 3867 | roadmap                        | 路線圖                            | 🗺️       | chunks=['road', 'map'] | py=ㄌㄛㄉ-ㄇㄚㄆ | theme=business | stage=2
 3868 | marketplace                    | 市場                             | 🛒        | chunks=['mar', 'ket', 'place'] | py=ㄇㄚㄦ-ㄎㄝㄊ-ㄆㄌㄝㄙ | theme=business | stage=2
 3869 | sector                         | 產業                             | 🏭        | chunks=['sec', 'tor'] | py=ㄙㄝㄎ-ㄊㄜ | theme=business | stage=2 [有易混提示]
 3870 | industry                       | 產業                             | 🏭        | chunks=['in', 'dus', 'try'] | py=ㄧㄣ-ㄉㄚㄙ-ㄊㄌㄧ | theme=business | stage=1 [有易混提示]
 3871 | competitor                     | 競爭者                            | ⚔️       | chunks=['com', 'pet', 'i', 'tor'] | py=ㄎㄜㄇ-ㄆㄝ-ㄊㄜ-ㄊㄜㄦ | theme=business | stage=2
 3872 | competition                    | 競爭                             | ⚔️       | chunks=['com', 'pe', 'ti', 'tion'] | py=ㄎㄚㄇ-ㄆㄜ-ㄊㄜ-ㄒㄜㄣ | theme=business | stage=1 base=compete
 3873 | merger                         | 合併                             | 🔗        | chunks=['mer', 'ger'] | py=ㄇㄜ-ㄐㄜ | theme=business | stage=3 base=merge
 3874 | acquisition                    | 收購                             | 🤝        | chunks=['ac', 'qui', 'si', 'tion'] | py=ㄚ-ㄎㄨㄜ-ㄗㄜ-ㄒㄜㄣ | theme=business | stage=3
 3875 | buyout                         | 買斷                             | 💰        | chunks=['buy', 'out'] | py=ㄅㄞ-ㄠㄊ | theme=business | stage=3
 3876 | ipo                            | 上市                             | 📈        | chunks=['i', 'p', 'o'] | py=ㄞ-ㄆㄧ-ㄛ | theme=business | stage=3
 3877 | equity                         | 股權                             | 📊        | chunks=['eq', 'ui', 'ty'] | py=ㄝ-ㄎㄨㄜ-ㄊㄧ | theme=business | stage=3 [有易混提示]
 3878 | audit                          | 審計                             | 📋        | chunks=['au', 'dit'] | py=ㄛ-ㄉㄜㄊ | theme=business | stage=2 [有易混提示]
 3879 | accounting                     | 會計                             | 📊        | chunks=['ac', 'count', 'ing'] | py=ㄚ-ㄎㄠㄣㄊ-ㄧㄥ | theme=business | stage=2
 3880 | ledger                         | 分類帳                            | 📋        | chunks=['ledg', 'er'] | py=ㄌㄝㄐ-ㄜ | theme=business | stage=3
 3881 | statement                      | 報表                             | 📊        | chunks=['state', 'ment'] | py=ㄙㄉㄝㄊ-ㄇㄜㄣㄊ | theme=business | stage=2 base=state [有易混提示]
 3882 | fiscal                         | 財政                             | 💰        | chunks=['fis', 'cal'] | py=ㄈㄧㄙ-ㄎㄜㄦ | theme=business | stage=3
 3883 | q1                             | 第一季                            | 📅        | chunks=['q', '1'] | py=ㄎㄧㄨ-ㄨㄢ | theme=business | stage=2
 3884 | q2                             | 第二季                            | 📅        | chunks=['q', '2'] | py=ㄎㄧㄨ-ㄊㄨ | theme=business | stage=2
 3885 | negotiate                      | 談判                             | 🤝        | chunks=['ne', 'go', 'ti', 'ate'] | py=ㄋㄧ-ㄍㄛ-ㄒㄜ-ㄝㄊ | theme=business | stage=2
 3886 | negotiation                    | 談判                             | 🤝        | chunks=['ne', 'go', 'ti', 'a', 'tion'] | py=ㄋㄧ-ㄍㄛ-ㄒㄜ-ㄝ-ㄒㄣ | theme=business | stage=2 base=negotiate
 3887 | bid                            | 投標                             | 💰        | chunks=['b', 'id'] | py=ㄅㄧㄉ | theme=business | stage=2 base=bid [有易混提示]
 3888 | supplier                       | 供應商                            | 🏭        | chunks=['sup', 'pli', 'er'] | py=ㄙㄜ-ㄆㄌㄞ-ㄜ | theme=business | stage=2
 3889 | logistics                      | 物流                             | 🚚        | chunks=['lo', 'gis', 'tics'] | py=ㄌㄜ-ㄐㄧㄙ-ㄊㄧㄎㄗ | theme=business | stage=2
 3890 | supplychain                    | 供應鏈                            | 🔗        | chunks=['sup', 'ply', 'chain'] | py=ㄙㄜ-ㄆㄌㄞ-ㄑㄟㄣ | theme=business | stage=3
 3891 | distribution                   | 通路                             | 🚚        | chunks=['dis', 'tri', 'bu', 'tion'] | py=ㄉㄧㄙ-ㄊㄌㄜ-ㄅㄧㄨ-ㄒㄜㄣ | theme=business | stage=2
 3892 | import                         | 進口                             | 📥        | chunks=['im', 'port'] | py=ㄧㄇ-ㄆㄛㄦㄊ | theme=business | stage=2 [有易混提示]
 3893 | export                         | 出口                             | 📤        | chunks=['ex', 'port'] | py=ㄝㄎㄙ-ㄆㄛㄦㄊ | theme=business | stage=2 [有易混提示]
 3894 | trade                          | 貿易                             | 🔄        | chunks=['tr', 'ade'] | py=ㄊㄌㄝㄉ | theme=business | stage=1
 3895 | tariff                         | 關稅                             | 💰        | chunks=['tar', 'iff'] | py=ㄊㄚ-ㄌㄜㄈ | theme=business | stage=3
 3896 | embargo                        | 禁運                             | 🚫        | chunks=['em', 'bar', 'go'] | py=ㄝㄇ-ㄅㄚㄦ-ㄍㄛ | theme=business | stage=3
 3897 | patent                         | 專利                             | 💡        | chunks=['pat', 'ent'] | py=ㄆㄚ-ㄊㄜㄣㄊ | theme=business | stage=2 [有易混提示]
 3898 | copyright                      | 版權                             | ©️       | chunks=['copy', 'right'] | py=ㄎㄚ-ㄆㄧ-ㄌㄞㄊ | theme=business | stage=2
 3899 | trademark                      | 商標                             | ™️       | chunks=['trade', 'mark'] | py=ㄊㄌㄝㄉ-ㄇㄚㄦㄎ | theme=business | stage=2
 3900 | ip                             | 智慧財產權、IP 位址                    | ©️       | chunks=['i', 'p'] | py=ㄞ-ㄆㄧ | theme=business | stage=2 [有易混提示]
 3901 | liability                      | 債務                             | 📋        | chunks=['li', 'a', 'bil', 'i', 'ty'] | py=ㄌㄞ-ㄜ-ㄅㄧ-ㄌㄜ-ㄊㄧ | theme=business | stage=3 [有易混提示]
 3902 | lawsuit                        | 訴訟                             | ⚖️       | chunks=['law', 'suit'] | py=ㄌㄛ-ㄙㄨㄊ | theme=business | stage=2
 3903 | settlement                     | 和解                             | ⚖️       | chunks=['set', 'tle', 'ment'] | py=ㄙㄝ-ㄉㄜ-ㄇㄜㄣㄊ | theme=business | stage=2 base=settle [有易混提示]
 3904 | headquarters                   | 總部                             | 🏢        | chunks=['head', 'quar', 'ters'] | py=ㄏㄝㄉ-ㄎㄨㄛ-ㄊㄜㄗ | theme=business | stage=2
 3905 | ecommerce                      | 電商                             | 🛒        | chunks=['e', 'com', 'merce'] | py=ㄧ-ㄎㄚ-ㄇㄜㄙ | theme=business | stage=1
 3906 | b2b                            | 企業對企業                          | 🤝        | chunks=['b', '2', 'b'] | py=ㄅㄧ-ㄊㄨ-ㄅㄧ | theme=business | stage=2
 3907 | b2c                            | 企業對消費者                         | 🤝        | chunks=['b', '2', 'c'] | py=ㄅㄧ-ㄊㄨ-ㄒㄧ | theme=business | stage=2
 3908 | saas                           | 軟體即服務                          | 💻        | chunks=['s', 'a', 'a', 's'] | py=ㄙㄚㄗ | theme=business | stage=3
 3909 | monetize                       | 變現                             | 💰        | chunks=['mon', 'e', 'tize'] | py=ㄇㄚ-ㄋㄜ-ㄊㄞㄗ | theme=business | stage=3
 3910 | pivot                          | 策略轉向、轉型                        | 🔄        | chunks=['piv', 'ot'] | py=ㄆㄧ-ㄈㄜㄊ | theme=business | stage=3 [有易混提示]
 3911 | disrupt                        | 顛覆                             | 💥        | chunks=['dis', 'rupt'] | py=ㄉㄧㄙ-ㄌㄚㄆㄊ | theme=business | stage=3
 3912 | innovate                       | 創新                             | 💡        | chunks=['in', 'no', 'vate'] | py=ㄧ-ㄋㄛ-ㄈㄝㄊ | theme=business | stage=2
 3913 | consumer                       | 消費者                            | 🛍️       | chunks=['con', 'sum', 'er'] | py=ㄎㄜㄣ-ㄙㄨ-ㄇㄜ | theme=business | stage=1 base=consume
 3914 | subsidiary                     | 子公司                            | 🏢        | chunks=['sub', 'sid', 'i', 'ar', 'y'] | py=ㄙㄚㄅ-ㄒㄧ-ㄉㄧ-ㄝㄜ-ㄧ | theme=business | stage=3
 3915 | outreach                       | 對外接觸、推廣                        | 🤝        | chunks=['out', 'reach'] | py=ㄠㄊ-ㄌㄧㄑ | theme=business | stage=3
 3916 | gdp                            | 國內生產毛額                         | 📊        | chunks=['g', 'd', 'p'] | py=ㄐㄧ-ㄉㄧ-ㄆㄧ | theme=economy | stage=2
 3917 | growth                         | 成長                             | 📈        | chunks=['gr', 'owth'] | py=ㄍㄌㄛㄙ | theme=economy | stage=1
 3918 | decline                        | 衰退                             | 📉        | chunks=['de', 'cline'] | py=ㄉㄧ-ㄎㄌㄞㄣ | theme=economy | stage=2
 3919 | boom                           | 繁榮                             | 📈        | chunks=['b', 'oom'] | py=ㄅㄨㄣ | theme=economy | stage=2 [有易混提示]
 3920 | bust                           | 蕭條                             | 📉        | chunks=['b', 'ust'] | py=ㄅㄚㄙㄊ | theme=economy | stage=3 [有易混提示]
 3921 | depression                     | 大蕭條                            | 📉        | chunks=['de', 'pres', 'sion'] | py=ㄉㄧ-ㄆㄌㄝ-ㄒㄣ | theme=economy | stage=2 [有易混提示]
 3922 | crisis                         | 危機                             | ⚠️       | chunks=['cri', 'sis'] | py=ㄎㄌㄞ-ㄒㄜㄙ | theme=economy | stage=1 [有易混提示]
 3923 | stagflation                    | 停滯性通膨                          | 📉        | chunks=['stag', 'fla', 'tion'] | py=ㄙㄉㄚㄍ-ㄈㄌㄝ-ㄒㄜㄣ | theme=economy | stage=3
 3924 | deflation                      | 通貨緊縮                           | 📉        | chunks=['de', 'fla', 'tion'] | py=ㄉㄧ-ㄈㄌㄝ-ㄒㄜㄣ | theme=economy | stage=3
 3925 | supply                         | 供給                             | 🚛        | chunks=['sup', 'ply'] | py=ㄙㄜ-ㄆㄌㄞ | theme=economy | stage=1 [有易混提示]
 3926 | demand                         | 需求                             | 📊        | chunks=['de', 'mand'] | py=ㄉㄧ-ㄇㄚㄣㄉ | theme=economy | stage=1 [有易混提示]
 3927 | equilibrium                    | 均衡                             | ⚖️       | chunks=['e', 'qui', 'lib', 'ri', 'um'] | py=ㄧ-ㄎㄨㄜ-ㄌㄧ-ㄌㄧ-ㄜㄇ | theme=economy | stage=3
 3928 | monetary                       | 貨幣的                            | 💱        | chunks=['mon', 'e', 'tar', 'y'] | py=ㄇㄚ-ㄋㄜ-ㄊㄝ-ㄌㄧ | theme=economy | stage=2
 3929 | policy                         | 政策                             | 📋        | chunks=['pol', 'i', 'cy'] | py=ㄆㄚ-ㄌㄜ-ㄒㄧ | theme=economy | stage=1 [有易混提示]
 3930 | regulation                     | 監管                             | 📋        | chunks=['reg', 'u', 'la', 'tion'] | py=ㄌㄝ-ㄐㄜ-ㄌㄝ-ㄒㄣ | theme=economy | stage=2
 3931 | deregulation                   | 放鬆管制                           | 📋        | chunks=['de', 'reg', 'u', 'la', 'tion'] | py=ㄉㄧ-ㄌㄝ-ㄐㄜ-ㄌㄝ-ㄒㄣ | theme=economy | stage=3
 3932 | centralbank                    | 中央銀行                           | 🏦        | chunks=['cen', 'tral', 'bank'] | py=ㄙㄝㄣ-ㄊㄌㄜㄦ-ㄅㄚㄣㄎ | theme=economy | stage=2
 3933 | federalreserve                 | 聯準會                            | 🏦        | chunks=['fed', 'er', 'al', 're', 'serve'] | py=ㄈㄝ-ㄉㄜ-ㄌㄜㄦ-ㄌㄧ-ㄗㄜㄈ | theme=economy | stage=3
 3934 | fed                            | 聯準會                            | 🏦        | chunks=['f', 'ed'] | py=ㄈㄝㄉ | theme=economy | stage=2
 3935 | rate                           | 比率、利率                          | 📊        | chunks=['r', 'ate'] | py=ㄌㄝㄊ | theme=economy | stage=1 [有易混提示]
 3936 | unemployment                   | 失業率                            | 📉        | chunks=['un', 'em', 'ploy', 'ment'] | py=ㄚㄣ-ㄝㄇ-ㄆㄌㄛㄧ-ㄇㄜㄣㄊ | theme=economy | stage=1
 3937 | employment                     | 就業                             | 📊        | chunks=['em', 'ploy', 'ment'] | py=ㄝㄇ-ㄆㄌㄛㄧ-ㄇㄜㄣㄊ | theme=economy | stage=1 base=employ
 3938 | labor                          | 勞動                             | 💪        | chunks=['la', 'bor'] | py=ㄌㄝ-ㄅㄜ | theme=economy | stage=1 [有易混提示]
 3939 | workforce                      | 勞動力                            | 👥        | chunks=['work', 'force'] | py=ㄨㄜㄎ-ㄈㄛㄦㄙ | theme=economy | stage=2
 3940 | jobless                        | 失業                             | 📉        | chunks=['job', 'less'] | py=ㄐㄚㄅ-ㄌㄜㄙ | theme=economy | stage=2 base=job
 3941 | productivity                   | 生產力                            | 📈        | chunks=['pro', 'duc', 'tiv', 'i', 'ty'] | py=ㄆㄌㄜ-ㄉㄚㄎ-ㄊㄧ-ㄈㄜ-ㄊㄧ | theme=economy | stage=2
 3942 | efficiency                     | 效率                             | ⚙️       | chunks=['ef', 'fi', 'cien', 'cy'] | py=ㄧ-ㄈㄜ-ㄒㄜㄣ-ㄒㄧ | theme=economy | stage=2
 3943 | exchangerate                   | 匯率                             | 💱        | chunks=['ex', 'change', 'rate'] | py=ㄝㄎㄙ-ㄑㄟㄣㄐ-ㄌㄝㄊ | theme=economy | stage=2
 3944 | forex                          | 外匯                             | 💱        | chunks=['fo', 'rex'] | py=ㄈㄛ-ㄌㄝㄎㄙ | theme=economy | stage=3
 3945 | stocks                         | 股票                             | 📈        | chunks=['st', 'ocks'] | py=ㄙㄉㄚㄎㄗ | theme=economy | stage=1 [有易混提示]
 3946 | bull                           | 多頭、公牛                          | 📈        | chunks=['b', 'ull'] | py=ㄅㄨㄦ | theme=economy | stage=2 [有易混提示]
 3947 | bullmarket                     | 牛市                             | 🐂        | chunks=['bull', 'mar', 'ket'] | py=ㄅㄨㄦ-ㄇㄚㄦ-ㄎㄝㄊ | theme=economy | stage=2
 3948 | bearmarket                     | 熊市                             | 🐻        | chunks=['bear', 'mar', 'ket'] | py=ㄅㄧㄜ-ㄇㄚㄦ-ㄎㄝㄊ | theme=economy | stage=2 [有易混提示]
 3949 | percapita                      | 人均                             | 📊        | chunks=['per', 'cap', 'i', 'ta'] | py=ㄆㄜ-ㄎㄚ-ㄆㄜ-ㄊㄚ | theme=economy | stage=3
 3950 | wealth                         | 財富                             | 💰        | chunks=['w', 'ealth'] | py=ㄨㄝㄦㄙ | theme=economy | stage=1
 3951 | inequality                     | 不平等                            | ⚖️       | chunks=['in', 'e', 'qual', 'i', 'ty'] | py=ㄧ-ㄋㄧ-ㄎㄨㄛ-ㄌㄜ-ㄊㄧ | theme=economy | stage=2
 3952 | gini                           | 基尼係數                           | 📊        | chunks=['gi', 'ni'] | py=ㄐㄧ-ㄋㄧ | theme=economy | stage=3
 3953 | welfare                        | 福利                             | 🤝        | chunks=['wel', 'fare'] | py=ㄨㄝㄦ-ㄈㄝㄦ | theme=economy | stage=2
 3954 | subsidy                        | 補貼                             | 💰        | chunks=['sub', 'si', 'dy'] | py=ㄙㄚㄅ-ㄗㄜ-ㄉㄧ | theme=economy | stage=3
 3955 | grant                          | 補助金                            | 💰        | chunks=['gr', 'ant'] | py=ㄍㄌㄚㄣㄊ | theme=economy | stage=2 [有易混提示]
 3956 | hyperinflation                 | 惡性通膨                           | 📈        | chunks=['hy', 'per', 'in', 'fla', 'tion'] | py=ㄏㄞ-ㄆㄜㄦ-ㄧㄣ-ㄈㄌㄝ-ㄒㄜㄣ | theme=economy | stage=3
 3957 | microeconomics                 | 個體經濟                           | 🔬        | chunks=['mi', 'cro', 'e', 'con', 'o', 'mics'] | py=ㄇㄞ-ㄎㄌㄛ-ㄝ-ㄎㄜ-ㄋㄜ-ㄇㄧㄎㄙ | theme=economy | stage=3
 3958 | macroeconomics                 | 總體經濟                           | 🌍        | chunks=['mac', 'ro', 'e', 'con', 'o', 'mics'] | py=ㄇㄚ-ㄎㄌㄛ-ㄝ-ㄎㄜ-ㄋㄜ-ㄇㄧㄎㄙ | theme=economy | stage=3
 3959 | economics                      | 經濟學                            | 📊        | chunks=['e', 'con', 'om', 'ics'] | py=ㄝ-ㄎㄜ-ㄋㄚ-ㄇㄧㄎㄙ | theme=economy | stage=2
 3960 | keynesian                      | 凱因斯學派                          | 📚        | chunks=['key', 'ne', 'si', 'an'] | py=ㄎㄟㄣ-ㄗㄧ-ㄜㄣ | theme=economy | stage=3
 3961 | capitalism                     | 資本主義                           | 💰        | chunks=['cap', 'i', 'tal', 'ism'] | py=ㄎㄚ-ㄆㄜ-ㄊㄜ-ㄌㄧㄗㄣ | theme=economy | stage=1
 3962 | socialism                      | 社會主義                           | 🤝        | chunks=['so', 'cial', 'ism'] | py=ㄙㄛ-ㄒㄜ-ㄌㄧㄗㄣ | theme=economy | stage=1
 3963 | communism                      | 共產主義                           | 🚩        | chunks=['com', 'mu', 'nism'] | py=ㄎㄚㄇ-ㄇㄧㄨ-ㄋㄧㄗㄣ | theme=economy | stage=1
 3964 | marxism                        | 馬克思主義                          | 📚        | chunks=['marx', 'ism'] | py=ㄇㄚㄦㄎㄙ-ㄧㄗㄣ | theme=economy | stage=3
 3965 | mercantilism                   | 重商主義                           | 📚        | chunks=['mer', 'can', 'til', 'ism'] | py=ㄇㄜ-ㄎㄚㄣ-ㄊㄜ-ㄌㄧㄗㄣ | theme=economy | stage=3
 3966 | agriculture                    | 農業                             | 🌾        | chunks=['ag', 'ri', 'cul', 'ture'] | py=ㄚ-ㄍㄌㄧ-ㄎㄚㄦ-ㄑㄜㄦ | theme=economy | stage=2
 3967 | manufacturing                  | 製造業                            | 🏭        | chunks=['man', 'u', 'fac', 'tur', 'ing'] | py=ㄇㄚ-ㄋㄧㄨ-ㄈㄚㄎ-ㄑㄜㄦ-ㄧㄥ | theme=economy | stage=2 base=manufacture
 3968 | infrastructure                 | 基礎建設                           | 🏗️       | chunks=['in', 'fra', 'struc', 'ture'] | py=ㄧㄣ-ㄈㄌㄚ-ㄙㄉㄌㄚㄎ-ㄑㄜㄦ | theme=economy | stage=2
 3969 | urbanization                   | 都市化                            | 🏙️       | chunks=['ur', 'ban', 'i', 'za', 'tion'] | py=ㄜㄦ-ㄅㄜㄣ-ㄜ-ㄗㄝ-ㄒㄜㄣ | theme=economy | stage=3
 3970 | globalization                  | 全球化                            | 🌐        | chunks=['glob', 'al', 'i', 'za', 'tion'] | py=ㄍㄌㄛ-ㄅㄜㄦ-ㄜ-ㄗㄝ-ㄒㄜㄣ | theme=economy | stage=2
 3971 | outsource                      | 外包                             | 🌐        | chunks=['out', 'source'] | py=ㄠㄊ-ㄙㄛㄦㄙ | theme=economy | stage=2
 3972 | offshore                       | 離岸                             | 🏝️       | chunks=['off', 'shore'] | py=ㄛㄈ-ㄒㄛㄦ | theme=economy | stage=2
 3973 | automation                     | 自動化                            | 🤖        | chunks=['au', 'to', 'ma', 'tion'] | py=ㄛ-ㄊㄜ-ㄇㄝ-ㄒㄜㄣ | theme=economy | stage=2
 3974 | digitization                   | 數位化                            | 💻        | chunks=['dig', 'i', 'ti', 'za', 'tion'] | py=ㄉㄧ-ㄐㄜ-ㄊㄞ-ㄗㄝ-ㄒㄜㄣ | theme=economy | stage=3
 3975 | monopolize                     | 壟斷                             | 🏢        | chunks=['mo', 'nop', 'o', 'lize'] | py=ㄇㄜ-ㄋㄚ-ㄆㄜ-ㄌㄞㄗ | theme=economy | stage=3
 3976 | oligopoly                      | 寡頭                             | 🏢        | chunks=['ol', 'i', 'gop', 'o', 'ly'] | py=ㄚ-ㄌㄜ-ㄍㄚ-ㄆㄜ-ㄌㄧ | theme=economy | stage=3
 3977 | cartel                         | 卡特爾                            | 🏢        | chunks=['car', 'tel'] | py=ㄎㄚㄦ-ㄊㄝㄦ | theme=economy | stage=3
 3978 | antitrust                      | 反壟斷                            | ⚖️       | chunks=['an', 'ti', 'trust'] | py=ㄢ-ㄊㄞ-ㄊㄌㄚㄙㄊ | theme=economy | stage=3
 3979 | sanction                       | 制裁                             | 🚫        | chunks=['sanc', 'tion'] | py=ㄙㄚㄣㄎ-ㄒㄜㄣ | theme=economy | stage=3 [有易混提示]
 3980 | austerity                      | 撙節                             | 📉        | chunks=['aus', 'ter', 'i', 'ty'] | py=ㄛ-ㄙㄉㄝ-ㄌㄜ-ㄊㄧ | theme=economy | stage=3
 3981 | stimulus                       | 刺激方案                           | 📈        | chunks=['stim', 'u', 'lus'] | py=ㄙㄉㄧ-ㄇㄧㄨ-ㄌㄜㄙ | theme=economy | stage=3 [有易混提示]
 3982 | gnp                            | 國民生產毛額                         | 📊        | chunks=['g', 'n', 'p'] | py=ㄐㄧ-ㄝㄣ-ㄆㄧ | theme=economy | stage=3
 3983 | npv                            | 淨現值                            | 📊        | chunks=['n', 'p', 'v'] | py=ㄝㄣ-ㄆㄧ-ㄈㄧ | theme=economy | stage=3
 3984 | roi                            | 投資報酬率                          | 📊        | chunks=['r', 'o', 'i'] | py=ㄚㄦ-ㄛ-ㄞ | theme=economy | stage=2
 3985 | ebitda                         | 稅息折舊前盈餘                        | 📊        | chunks=['e', 'bit', 'da'] | py=ㄧ-ㄅㄧㄊ-ㄉㄚ | theme=economy | stage=3
