# 字 1000-1499
 1000 | mosquito                       | 蚊子                             | 🦟        | chunks=['mos', 'qui', 'to'] | py=ㄇㄚㄙ-ㄎㄧ-ㄊㄛ | theme=animals | stage=1
 1362 | trumpet                        | 小號                             | 🎺        | chunks=['trum', 'pet'] | py=ㄊㄌㄚㄇ-ㄆㄝㄊ | theme=music | stage=1
 1363 | saxophone                      | 薩克斯風                           | 🎷        | chunks=['sax', 'o', 'phone'] | py=ㄙㄚㄎ-ㄗㄜ-ㄈㄛㄣ | theme=music | stage=2
 1364 | clarinet                       | 豎笛                             | 🎶        | chunks=['cla', 'ri', 'net'] | py=ㄎㄌㄝ-ㄌㄜ-ㄋㄝㄊ | theme=music | stage=2
 1365 | trombone                       | 長號                             | 🎺        | chunks=['trom', 'bone'] | py=ㄊㄌㄚㄇ-ㄅㄛㄣ | theme=music | stage=2
 1366 | cello                          | 大提琴                            | 🎻        | chunks=['cel', 'lo'] | py=ㄑㄝ-ㄌㄛ | theme=music | stage=2
 1367 | harp                           | 豎琴                             | 🎶        | chunks=['h', 'arp'] | py=ㄏㄚㄦㄆ | theme=music | stage=2
 1368 | accordion                      | 手風琴                            | 🪗        | chunks=['ac', 'cor', 'di', 'on'] | py=ㄚ-ㄎㄛㄦ-ㄉㄧ-ㄢ | theme=music | stage=2
 1369 | xylophone                      | 木琴                             | 🎶        | chunks=['xy', 'lo', 'phone'] | py=ㄗㄞ-ㄌㄜ-ㄈㄛㄣ | theme=music | stage=2
 1370 | organ                          | 風琴                             | 🎹        | chunks=['or', 'gan'] | py=ㄛㄦ-ㄍㄣ | theme=music | stage=1 [有易混提示]
 1371 | ukulele                        | 烏克麗麗                           | 🎶        | chunks=['u', 'ku', 'le', 'le'] | py=ㄧㄨ-ㄎㄜ-ㄌㄟ-ㄌㄧ | theme=music | stage=2
 1372 | rapper                         | 饒舌歌手                           | 🎤        | chunks=['rap', 'per'] | py=ㄌㄚ-ㄆㄜ | theme=music | stage=1 base=rap
 1373 | composer                       | 作曲家                            | 🎼        | chunks=['com', 'po', 'ser'] | py=ㄎㄚㄇ-ㄆㄛ-ㄗㄜ | theme=music | stage=2 base=compose
 1374 | conductor                      | 指揮                             | 🎵        | chunks=['con', 'duc', 'tor'] | py=ㄎㄢ-ㄉㄚㄎ-ㄊㄜ | theme=music | stage=2 base=conduct
 1375 | pop                            | 流行                             | 🎵        | chunks=['p', 'op'] | py=ㄆㄚㄆ | theme=music | stage=1 [有易混提示]
 1376 | jazz                           | 爵士                             | 🎷        | chunks=['j', 'azz'] | py=ㄐㄚㄗ | theme=music | stage=1
 1377 | blues                          | 藍調                             | 🎵        | chunks=['bl', 'ues'] | py=ㄅㄌㄨㄗ | theme=music | stage=2
 1378 | classical                      | 古典                             | 🎼        | chunks=['clas', 'si', 'cal'] | py=ㄎㄌㄚ-ㄒㄜ-ㄎㄜ | theme=music | stage=2 base=classic [有易混提示]
 1379 | country                        | 鄉村                             | 🤠        | chunks=['coun', 'try'] | py=ㄎㄢ-ㄊㄌㄧ | theme=music | stage=1 [有易混提示]
 1380 | folk                           | 民謠                             | 🎵        | chunks=['f', 'olk'] | py=ㄈㄛㄎ | theme=music | stage=2 [有易混提示]
 1381 | rap                            | 饒舌                             | 🎤        | chunks=['r', 'ap'] | py=ㄌㄚㄆ | theme=music | stage=1 [有易混提示]
 1382 | perform                        | 表演                             | 🎭        | chunks=['per', 'form'] | py=ㄆㄜ-ㄈㄛㄦㄇ | theme=music | stage=2 [有易混提示]
 1383 | synthesizer                    | 合成器                            | 🎹        | chunks=['syn', 'the', 'si', 'zer'] | py=ㄒㄧㄣ-ㄙㄜ-ㄗㄞ-ㄗㄜ | theme=music | stage=3 base=synthesize
 1384 | metal                          | 金屬樂                            | 🎸        | chunks=['me', 'tal'] | py=ㄇㄝ-ㄉㄜ | theme=music | stage=2 [有易混提示]
 1385 | forest                         | 森林                             | 🌲        | chunks=['for', 'est'] | py=ㄈㄛ-ㄌㄝㄙㄊ | theme=nature | stage=0 [有易混提示]
 1386 | jungle                         | 叢林                             | 🌴        | chunks=['jun', 'gle'] | py=ㄐㄚㄥ-ㄍㄜ | theme=nature | stage=1
 1387 | desert                         | 沙漠                             | 🏜️       | chunks=['des', 'ert'] | py=ㄉㄝ-ㄗㄜㄊ | theme=nature | stage=1 [有易混提示]
 1388 | hill                           | 小山                             | ⛰️       | chunks=['h', 'ill'] | py=ㄏㄧㄦ | theme=nature | stage=0
 1389 | valley                         | 山谷                             | 🏞️       | chunks=['val', 'ley'] | py=ㄈㄚ-ㄌㄧ | theme=nature | stage=1
 1390 | cliff                          | 懸崖                             | 🪨        | chunks=['cl', 'iff'] | py=ㄎㄌㄧㄈ | theme=nature | stage=1
 1391 | cave                           | 洞穴                             | 🕳️       | chunks=['c', 'ave'] | py=ㄎㄟㄈ | theme=nature | stage=1
 1392 | stream                         | 溪流                             | 🏞️       | chunks=['str', 'eam'] | py=ㄙㄉㄌㄧㄇ | theme=nature | stage=1 [有易混提示]
 1393 | lake                           | 湖                              | 🏞️       | chunks=['l', 'ake'] | py=ㄌㄟㄎ | theme=nature | stage=0
 1394 | pond                           | 池塘                             | 🏞️       | chunks=['p', 'ond'] | py=ㄆㄚㄣㄉ | theme=nature | stage=1
 1395 | ocean                          | 海洋                             | 🌊        | chunks=['o', 'cean'] | py=ㄛ-ㄒㄣ | theme=nature | stage=0
 1396 | sea                            | 海                              | 🌊        | chunks=['s', 'ea'] | py=ㄒㄧ | theme=nature | stage=0 [有易混提示]
 1397 | island                         | 島                              | 🏝️       | chunks=['is', 'land'] | py=ㄞ-ㄌㄢㄉ | theme=nature | stage=1
 1398 | coast                          | 海岸                             | 🏖️       | chunks=['c', 'oast'] | py=ㄎㄛㄙㄊ | theme=nature | stage=1
 1399 | shore                          | 岸                              | 🏖️       | chunks=['sh', 'ore'] | py=ㄒㄛㄦ | theme=nature | stage=1 [有易混提示]
 1400 | waterfall                      | 瀑布                             | 🌊        | chunks=['wa', 'ter', 'fall'] | py=ㄨㄛ-ㄊㄜ-ㄈㄛㄦ | theme=nature | stage=1
 1401 | canyon                         | 峽谷                             | 🏞️       | chunks=['can', 'yon'] | py=ㄎㄚ-ㄋㄧㄢ | theme=nature | stage=2
 1402 | glacier                        | 冰川                             | 🧊        | chunks=['gla', 'cier'] | py=ㄍㄌㄟ-ㄒㄜ | theme=nature | stage=3
 1403 | iceberg                        | 冰山                             | 🧊        | chunks=['ice', 'berg'] | py=ㄞㄙ-ㄅㄜㄍ | theme=nature | stage=2
 1404 | plain                          | 平原、樸素                          | 🌾        | chunks=['pl', 'ain'] | py=ㄆㄌㄟㄣ | theme=nature | stage=1 [有易混提示]
 1405 | meadow                         | 草地                             | 🌿        | chunks=['mea', 'dow'] | py=ㄇㄝ-ㄉㄛ | theme=nature | stage=2
 1406 | swamp                          | 沼澤                             | 🐊        | chunks=['sw', 'amp'] | py=ㄙㄨㄚㄇㄆ | theme=nature | stage=2
 1407 | soil                           | 土壤                             | 🟫        | chunks=['s', 'oil'] | py=ㄙㄛㄧㄦ | theme=nature | stage=1
 1408 | dirt                           | 泥土                             | 🟫        | chunks=['d', 'irt'] | py=ㄉㄜㄊ | theme=nature | stage=1
 1409 | mud                            | 泥巴                             | 🟫        | chunks=['m', 'ud'] | py=ㄇㄚㄉ | theme=nature | stage=1
 1410 | stone                          | 石頭                             | 🪨        | chunks=['st', 'one'] | py=ㄙㄉㄛㄣ | theme=nature | stage=0 [有易混提示]
 1411 | boulder                        | 巨石                             | 🪨        | chunks=['boul', 'der'] | py=ㄅㄛㄦ-ㄉㄜ | theme=nature | stage=2
 1412 | clay                           | 黏土                             | 🟫        | chunks=['cl', 'ay'] | py=ㄎㄌㄟ | theme=nature | stage=1
 1413 | crystal                        | 水晶                             | 💎        | chunks=['crys', 'tal'] | py=ㄎㄌㄧㄙ-ㄊㄜ | theme=nature | stage=2
 1414 | branch                         | 樹枝                             | 🌿        | chunks=['br', 'anch'] | py=ㄅㄌㄢㄑ | theme=nature | stage=1 [有易混提示]
 1415 | trunk                          | 樹幹、後車廂、象鼻                      | 🌲        | chunks=['tr', 'unk'] | py=ㄊㄌㄚㄣㄎ | theme=nature | stage=1 [有易混提示]
 1416 | root                           | 樹根                             | 🌱        | chunks=['r', 'oot'] | py=ㄌㄨㄊ | theme=nature | stage=1 [有易混提示]
 1417 | bark                           | 樹皮、狗吠                          | 🪵        | chunks=['b', 'ark'] | py=ㄅㄚㄦㄎ | theme=nature | stage=1 [有易混提示]
 1418 | petal                          | 花瓣                             | 🌸        | chunks=['pe', 'tal'] | py=ㄆㄝ-ㄉㄜ | theme=nature | stage=1
 1419 | stem                           | 莖                              | 🌱        | chunks=['st', 'em'] | py=ㄙㄉㄝㄇ | theme=nature | stage=1 [有易混提示]
 1420 | moss                           | 苔蘚                             | 🌿        | chunks=['m', 'oss'] | py=ㄇㄚㄙ | theme=nature | stage=2 [有易混提示]
 1421 | fern                           | 蕨類                             | 🌿        | chunks=['f', 'ern'] | py=ㄈㄜㄣ | theme=nature | stage=2
 1422 | bush                           | 灌木                             | 🌿        | chunks=['b', 'ush'] | py=ㄅㄨㄒ | theme=nature | stage=1
 1423 | vine                           | 藤蔓                             | 🌿        | chunks=['v', 'ine'] | py=ㄈㄞㄣ | theme=nature | stage=2 [有易混提示]
 1424 | pine                           | 松樹                             | 🌲        | chunks=['p', 'ine'] | py=ㄆㄞㄣ | theme=nature | stage=1 [有易混提示]
 1425 | peak                           | 山峰                             | ⛰️       | chunks=['p', 'eak'] | py=ㄆㄧㄎ | theme=nature | stage=1 [有易混提示]
 1426 | creek                          | 小溪                             | 🏞️       | chunks=['cr', 'eek'] | py=ㄎㄌㄧㄎ | theme=nature | stage=2
 1427 | shoreline                      | 海岸線                            | 🏖️       | chunks=['shore', 'line'] | py=ㄒㄛㄦ-ㄌㄞㄣ | theme=nature | stage=2
 1428 | gem                            | 寶石                             | 💎        | chunks=['g', 'em'] | py=ㄐㄝㄇ | theme=nature | stage=1
 1429 | fungus                         | 真菌                             | 🍄        | chunks=['fun', 'gus'] | py=ㄈㄚㄣ-ㄍㄜㄙ | theme=nature | stage=3
 1430 | moonlight                      | 月光                             | 🌙        | chunks=['moon', 'light'] | py=ㄇㄨㄣ-ㄌㄞㄊ | theme=phonics-compound | stage=1
 1431 | daylight                       | 日光                             | ☀️       | chunks=['day', 'light'] | py=ㄉㄟ-ㄌㄞㄊ | theme=phonics-compound | stage=1
 1432 | flashlight                     | 手電筒                            | 🔦        | chunks=['flash', 'light'] | py=ㄈㄌㄚㄒ-ㄌㄞㄊ | theme=phonics-compound | stage=1
 1433 | lighthouse                     | 燈塔                             | 🗼        | chunks=['light', 'house'] | py=ㄌㄞㄊ-ㄏㄠㄙ | theme=phonics-compound | stage=1
 1434 | campfire                       | 營火                             | 🔥        | chunks=['camp', 'fire'] | py=ㄎㄚㄇㄆ-ㄈㄞㄜ | theme=phonics-compound | stage=1
 1435 | firewood                       | 柴火                             | 🪵        | chunks=['fire', 'wood'] | py=ㄈㄞㄜ-ㄨㄨㄉ | theme=phonics-compound | stage=2
 1436 | firework                       | 煙火                             | 🎆        | chunks=['fire', 'work'] | py=ㄈㄞㄜ-ㄨㄜㄎ | theme=phonics-compound | stage=1
 1437 | firefly                        | 螢火蟲                            | ✨        | chunks=['fire', 'fly'] | py=ㄈㄞㄜ-ㄈㄌㄞ | theme=phonics-compound | stage=2
 1438 | snowman                        | 雪人                             | ☃️       | chunks=['snow', 'man'] | py=ㄙㄋㄛ-ㄇㄢ | theme=phonics-compound | stage=0
 1439 | snowflake                      | 雪花                             | ❄️       | chunks=['snow', 'flake'] | py=ㄙㄋㄛ-ㄈㄌㄝㄎ | theme=phonics-compound | stage=1
 1440 | snowball                       | 雪球                             | ❄️       | chunks=['snow', 'ball'] | py=ㄙㄋㄛ-ㄅㄛㄦ | theme=phonics-compound | stage=1
 1441 | snowfall                       | 降雪                             | 🌨️       | chunks=['snow', 'fall'] | py=ㄙㄋㄛ-ㄈㄛㄦ | theme=phonics-compound | stage=2
 1442 | icicle                         | 冰柱                             | 🧊        | chunks=['i', 'ci', 'cle'] | py=ㄞ-ㄙㄜ-ㄎㄜ | theme=phonics-compound | stage=2
 1443 | waterproof                     | 防水                             | 💧        | chunks=['wa', 'ter', 'proof'] | py=ㄨㄚ-ㄊㄜ-ㄆㄌㄨㄈ | theme=phonics-compound | stage=2
 1444 | seashell                       | 貝殼                             | 🐚        | chunks=['sea', 'shell'] | py=ㄒㄧ-ㄒㄝㄦ | theme=phonics-compound | stage=1
 1445 | seaweed                        | 海藻                             | 🌿        | chunks=['sea', 'weed'] | py=ㄒㄧ-ㄨㄧㄉ | theme=phonics-compound | stage=2
 1446 | eyeball                        | 眼球                             | 👁️       | chunks=['eye', 'ball'] | py=ㄞ-ㄅㄛㄦ | theme=phonics-compound | stage=1
 1447 | eyelid                         | 眼皮                             | 👁️       | chunks=['eye', 'lid'] | py=ㄞ-ㄌㄧㄉ | theme=phonics-compound | stage=2
 1448 | eyebrow                        | 眉毛                             | 😀        | chunks=['eye', 'brow'] | py=ㄞ-ㄅㄌㄠ | theme=phonics-compound | stage=1
 1449 | eyelash                        | 睫毛                             | 👁️       | chunks=['eye', 'lash'] | py=ㄞ-ㄌㄚㄒ | theme=phonics-compound | stage=1
 1450 | fingerprint                    | 指紋                             | ☝️       | chunks=['fin', 'ger', 'print'] | py=ㄈㄧㄥ-ㄍㄜ-ㄆㄌㄧㄣㄊ | theme=phonics-compound | stage=2
 1451 | footstep                       | 腳步                             | 👣        | chunks=['foot', 'step'] | py=ㄈㄨㄊ-ㄙㄉㄝㄆ | theme=phonics-compound | stage=1
 1452 | footprint                      | 足跡                             | 👣        | chunks=['foot', 'print'] | py=ㄈㄨㄊ-ㄆㄌㄧㄣㄊ | theme=phonics-compound | stage=1
 1453 | heartbeat                      | 心跳                             | 💓        | chunks=['heart', 'beat'] | py=ㄏㄚㄦㄊ-ㄅㄧㄊ | theme=phonics-compound | stage=1
 1454 | handshake                      | 握手                             | 🤝        | chunks=['hand', 'shake'] | py=ㄏㄚㄣㄉ-ㄒㄟㄎ | theme=phonics-compound | stage=1
 1455 | handbag                        | 手提包                            | 👜        | chunks=['hand', 'bag'] | py=ㄏㄚㄣㄉ-ㄅㄚㄍ | theme=phonics-compound | stage=1
 1456 | bookcase                       | 書櫃                             | 📚        | chunks=['book', 'case'] | py=ㄅㄨㄎ-ㄎㄝㄙ | theme=phonics-compound | stage=1
 1457 | bookworm                       | 書蟲                             | 📚        | chunks=['book', 'worm'] | py=ㄅㄨㄎ-ㄨㄜㄇ | theme=phonics-compound | stage=2
 1458 | hometown                       | 家鄉                             | 🏠        | chunks=['home', 'town'] | py=ㄏㄛㄇ-ㄊㄠㄣ | theme=phonics-compound | stage=1
 1459 | housework                      | 家事                             | 🧹        | chunks=['house', 'work'] | py=ㄏㄠㄙ-ㄨㄜㄎ | theme=phonics-compound | stage=1
 1460 | teamwork                       | 團隊合作                           | 🤝        | chunks=['team', 'work'] | py=ㄊㄧㄇ-ㄨㄜㄎ | theme=phonics-compound | stage=1
 1461 | bedroom                        | 臥室                             | 🛏️       | chunks=['bed', 'room'] | py=ㄅㄝㄉ-ㄌㄨㄣ | theme=phonics-compound | stage=0
 1462 | ballroom                       | 舞廳                             | 💃        | chunks=['ball', 'room'] | py=ㄅㄛㄦ-ㄌㄨㄣ | theme=phonics-compound | stage=2
 1463 | playground                     | 遊樂場                            | 🛝        | chunks=['play', 'ground'] | py=ㄆㄌㄟ-ㄍㄌㄠㄣㄉ | theme=phonics-compound | stage=1 [有易混提示]
 1464 | background                     | 背景                             | 🖼️       | chunks=['back', 'ground'] | py=ㄅㄚㄎ-ㄍㄌㄠㄣㄉ | theme=phonics-compound | stage=1
 1465 | underground                    | 地下                             | ⬇️       | chunks=['un', 'der', 'ground'] | py=ㄚㄣ-ㄉㄜ-ㄍㄌㄠㄣㄉ | theme=phonics-compound | stage=1
 1466 | underline                      | 底線                             | ▁        | chunks=['un', 'der', 'line'] | py=ㄚㄣ-ㄉㄜ-ㄌㄞㄣ | theme=phonics-compound | stage=1
 1467 | underwater                     | 水下                             | 🌊        | chunks=['un', 'der', 'wa', 'ter'] | py=ㄚㄣ-ㄉㄜ-ㄨㄛ-ㄊㄜ | theme=phonics-compound | stage=1
 1468 | someone                        | 某人                             | 👤        | chunks=['some', 'one'] | py=ㄙㄚㄇ-ㄨㄢ | theme=phonics-compound | stage=1
 1469 | something                      | 某物                             | ❓        | chunks=['some', 'thing'] | py=ㄙㄚㄇ-ㄙㄧㄥ | theme=phonics-compound | stage=1
 1470 | everywhere                     | 到處                             | 🌍        | chunks=['every', 'where'] | py=ㄝㄈ-ㄌㄧ-ㄨㄝㄜ | theme=phonics-compound | stage=1
 1471 | everything                     | 一切                             | 💯        | chunks=['every', 'thing'] | py=ㄝㄈ-ㄌㄧ-ㄙㄧㄥ | theme=phonics-compound | stage=1
 1472 | inside                         | 裡面                             | 📥        | chunks=['in', 'side'] | py=ㄧㄣ-ㄙㄞㄉ | theme=phonics-compound | stage=1 [有易混提示]
 1473 | outside                        | 外面                             | 📤        | chunks=['out', 'side'] | py=ㄠㄊ-ㄙㄞㄉ | theme=phonics-compound | stage=1 [有易混提示]
 1474 | nightlight                     | 夜燈                             | 💡        | chunks=['night', 'light'] | py=ㄋㄞㄊ-ㄌㄞㄊ | theme=phonics-compound | stage=2
 1475 | an                             | 一                              | 1️⃣      | chunks=['a', 'n'] | py=ㄢ / ㄝㄋ | theme=sight-words | stage=0 [有易混提示]
 1476 | which                          | 哪個                             | ❓        | chunks=['wh', 'ich'] | py=ㄨㄧㄑ | theme=sight-words | stage=1 [有易混提示]
 1477 | whose                          | 誰的                             | ❓        | chunks=['wh', 'ose'] | py=ㄏㄨㄗ | theme=sight-words | stage=1 [有易混提示]
 1478 | whom                           | 誰                              | ❓        | chunks=['wh', 'om'] | py=ㄏㄨㄇ | theme=sight-words | stage=2
 1479 | while                          | 當…時                            | ⏳        | chunks=['wh', 'ile'] | py=ㄨㄞㄦ | theme=sight-words | stage=1 [有易混提示]
 1480 | until                          | 直到                             | ➡️       | chunks=['un', 'til'] | py=ㄚㄣ-ㄊㄧㄦ | theme=sight-words | stage=1
 1481 | since                          | 自從                             | ⏳        | chunks=['s', 'ince'] | py=ㄒㄧㄣㄙ | theme=sight-words | stage=1 [有易混提示]
 1482 | although                       | 雖然                             | 🤷        | chunks=['al', 'though'] | py=ㄛㄦ-ㄉㄛ | theme=sight-words | stage=2
 1483 | though                         | 雖然(口語)                         | 🤷        | chunks=['th', 'ough'] | py=ㄉㄛ | theme=sight-words | stage=2 [有易混提示]
 1484 | unless                         | 除非                             | ⛔        | chunks=['un', 'less'] | py=ㄚㄣ-ㄌㄝㄙ | theme=sight-words | stage=2
 1485 | because                        | 因為                             | ➡️       | chunks=['be', 'cause'] | py=ㄅㄧ-ㄎㄛㄗ | theme=sight-words | stage=1
 1486 | however                        | 然而                             | 🔄        | chunks=['how', 'ever'] | py=ㄏㄠ-ㄝ-ㄈㄜ | theme=sight-words | stage=2
 1487 | therefore                      | 因此                             | ➡️       | chunks=['there', 'fore'] | py=ㄉㄝㄜ-ㄈㄛㄦ | theme=sight-words | stage=2
 1488 | thus                           | 因此                             | ➡️       | chunks=['th', 'us'] | py=ㄉㄚㄙ | theme=sight-words | stage=2 [有易混提示]
 1489 | instead                        | 反而                             | 🔄        | chunks=['in', 'stead'] | py=ㄧㄣ-ㄙㄉㄝㄉ | theme=sight-words | stage=2
 1490 | otherwise                      | 否則                             | 🔁        | chunks=['o', 'ther', 'wise'] | py=ㄚ-ㄉㄜ-ㄨㄞㄗ | theme=sight-words | stage=2
 1491 | yet                            | 還沒                             | ⏳        | chunks=['y', 'et'] | py=ㄧㄝㄊ | theme=sight-words | stage=1 [有易混提示]
 1492 | still                          | 仍然                             | ⏸️       | chunks=['st', 'ill'] | py=ㄙㄉㄧㄦ | theme=sight-words | stage=1 [有易混提示]
 1493 | already                        | 已經                             | ✅        | chunks=['al', 'rea', 'dy'] | py=ㄛㄦ-ㄌㄝ-ㄉㄧ | theme=sight-words | stage=1
 1494 | ever                           | 曾經                             | ⏳        | chunks=['e', 'ver'] | py=ㄝ-ㄈㄜ | theme=sight-words | stage=1 [有易混提示]
 1495 | rather                         | 寧願                             | 🤔        | chunks=['ra', 'ther'] | py=ㄌㄚ-ㄉㄜ | theme=sight-words | stage=2 [有易混提示]
 1496 | quite                          | 相當                             | 👌        | chunks=['qu', 'ite'] | py=ㄎㄨㄞㄊ | theme=sight-words | stage=1 [有易混提示]
 1497 | even                           | 甚至                             | ➕        | chunks=['e', 'ven'] | py=ㄧ-ㄈㄣ | theme=sight-words | stage=1 [有易混提示]
 1498 | either                         | 任一                             | 🔀        | chunks=['ei', 'ther'] | py=ㄧ-ㄉㄜ | theme=sight-words | stage=1 [有易混提示]
 1499 | neither                        | 兩者皆非                           | ❌        | chunks=['nei', 'ther'] | py=ㄋㄧ-ㄉㄜ | theme=sight-words | stage=2 [有易混提示]
