# 字 6500-6999
 6500 | shoot                          | 發射                             | 🏃        | chunks=['sh', 'oot'] | py=ㄒ-ㄨㄊ | theme=actions | stage=2 [有易混提示]
 6835 | laughter                       | 笑                              | 🏃        | chunks=['laug', 'hter'] | py=ㄌㄛㄍ-ㄏㄊㄜ | theme=actions | stage=2
 6836 | laundry                        | 洗衣店                            | 🏃        | chunks=['laun', 'dry'] | py=ㄌㄛㄋ-ㄉㄌㄞ | theme=clothing | stage=2
 6837 | lawn                           | 草坪，草地                          | 🎨        | chunks=['l', 'awn'] | py=ㄝㄦ-ㄛㄋ | theme=adjectives | stage=2
 6838 | leap                           | 跳，跳躍                           | 🏃        | chunks=['l', 'eap'] | py=ㄝㄦ-ㄧㄆ | theme=actions | stage=2 [有易混提示]
 6839 | lengthen                       | 加長，延長                          | 🏃        | chunks=['leng', 'then'] | py=ㄌㄝㄥ-ㄒㄝ | theme=actions | stage=2 base=length
 6840 | lens                           | 透鏡                             | 🏃        | chunks=['l', 'ens'] | py=ㄝㄦ-ㄝㄋㄙ | theme=actions | stage=2
 6841 | liar                           | 說謊的人                           | 🏃        | chunks=['l', 'iar'] | py=ㄝㄦ-ㄧㄚㄜ | theme=actions | stage=2
 6842 | lifeboat                       | 救生艇                            | 🏃        | chunks=['li', 'fe', 'boat'] | py=ㄌㄞㄈ-ㄅㄛㄊ | theme=actions | stage=2
 6843 | lifeguard                      | 救生員                            | 🏃        | chunks=['li', 'fe', 'guard'] | py=ㄌㄞㄈ-ㄍㄚㄦㄉ | theme=actions | stage=2
 6844 | limb                           | 肢                              | 🏃        | chunks=['l', 'imb'] | py=ㄝㄦ-ㄧㄇㄅ | theme=actions | stage=2
 6845 | lively                         | 活潑的，輕快的                        | 🤔        | chunks=['li', 've', 'ly'] | py=ㄌㄞㄈ-ㄌㄧ | theme=personality | stage=2 base=live
 6846 | load                           | 裝載                             | 🏃        | chunks=['l', 'oad'] | py=ㄝㄦ-ㄛㄉ | theme=actions | stage=2 [有易混提示]
 6847 | loose                          | 鬆的，寬的                          | 🎨        | chunks=['loo', 'se'] | py=ㄌㄨ-ㄙㄜ | theme=adjectives | stage=2 [有易混提示]
 6848 | loosen                         | 鬆開，解開                          | 🏃        | chunks=['loo', 'sen'] | py=ㄌㄨ-ㄙㄜㄣ | theme=actions | stage=2 base=loose
 6849 | lord                           | 統治者                            | 🏃        | chunks=['l', 'ord'] | py=ㄝㄦ-ㄎㄜㄉ | theme=actions | stage=2 [有易混提示]
 6850 | loudspeaker                    | 擴聲器，喇叭                         | 🎵        | chunks=['loud', 'spea', 'ker'] | py=ㄌㄠㄉ-ㄙㄆㄧ-ㄎㄜ | theme=music | stage=3
 6851 | lullaby                        | 催眠曲，搖籃曲                        | 🏃        | chunks=['lul', 'la', 'by'] | py=ㄌㄚㄌ-ㄌㄚ-ㄅㄞ | theme=home-items | stage=3
 6852 | magical                        | 魔術的，魔法的                        | ✨        | chunks=['ma', 'gi', 'cal'] | py=ㄇㄚ-ㄐㄜ-ㄎㄜ | theme=law | stage=2 base=magic
 6853 | magnet                         | 磁鐵，磁石                          | 🪨        | chunks=['mag', 'net'] | py=ㄇㄚ-ㄋㄝㄊ | theme=materials | stage=3
 6854 | maid                           | 女僕、少女                          | 🏃        | chunks=['m', 'aid'] | py=ㄝㄇ-ㄝㄉ | theme=actions | stage=2 [有易混提示]
 6855 | majority                       | 大多數，過半數                        | 🎓        | chunks=['ma', 'jo', 'ri', 'ty'] | py=ㄇㄜ-ㄐㄛ-ㄌㄜ-ㄊㄧ | theme=academic-words | stage=2
 6856 | manage                         | 管理                             | 🏃        | chunks=['ma', 'na', 'ge'] | py=ㄇㄚ-ㄋㄜㄐ | theme=actions | stage=2
 6857 | management                     | 管理                             | 🎨        | chunks=['ma', 'na', 'ge', 'ment'] | py=ㄇㄚ-ㄋㄜㄐ-ㄇㄣㄊ | theme=adjectives | stage=2 base=manage
 6858 | manageable                     | 易辦的                            | 🎨        | chunks=['ma', 'na', 'geab', 'le'] | py=ㄇㄚ-ㄋㄚ-ㄍㄧㄅ-ㄌㄧ | theme=adjectives | stage=2 base=manage
 6859 | mankind                        | 人類                             | 🏃        | chunks=['man', 'kind'] | py=ㄇㄢ-ㄎㄞㄣㄉ | theme=actions | stage=2
 6860 | manners                        | 禮貌                             | 🏃        | chunks=['man', 'ners'] | py=ㄇㄢ-ㄋㄜㄙ | theme=actions | stage=2 base=manner
 6861 | marvelous                      | 令人驚歎的                          | 🎨        | chunks=['mar', 've', 'lous'] | py=ㄇㄚㄦ-ㄈㄜ-ㄌㄚㄙ | theme=adjectives | stage=2 base=marvel
 6862 | mathematical                   | 數學的                            | 🎨        | chunks=['mat', 'he', 'ma', 'ti', 'cal'] | py=ㄇㄚ-ㄒㄜ-ㄇㄚ-ㄊㄜ-ㄎㄜ | theme=adjectives | stage=2 base=mathematics
 6863 | mathematics                    | 數學                             | 🏃        | chunks=['mat', 'he', 'ma', 'tics'] | py=ㄇㄚ-ㄒㄜ-ㄇㄚ-ㄊㄧㄎㄙ | theme=actions | stage=2
 6864 | meaningful                     | 有意義的                           | 🎨        | chunks=['mea', 'nin', 'gful'] | py=ㄇㄧ-ㄋㄧㄥ-ㄈㄜ | theme=adjectives | stage=2 base=meaning
 6865 | medical                        | 醫學的                            | 🎨        | chunks=['me', 'di', 'cal'] | py=ㄇㄝ-ㄉㄜ-ㄎㄜ | theme=adjectives | stage=2 base=medicine
 6866 | medium                         | 中間，中庸                          | 🏃        | chunks=['me', 'dium'] | py=ㄇㄝ-ㄉㄧㄚㄇ | theme=actions | stage=2 [有易混提示]
 6867 | melt                           | 融化                             | 🏃        | chunks=['m', 'elt'] | py=ㄝㄇ-ㄝㄌㄊ | theme=actions | stage=2 [有易混提示]
 6868 | memorize                       | 記住                             | 🏃        | chunks=['me', 'mo', 'ri', 'ze'] | py=ㄇㄝ-ㄇㄛ-ㄌㄧ-ㄗㄧ | theme=actions | stage=2 base=memory
 6869 | mend                           | 修理，修補                          | 🏃        | chunks=['m', 'end'] | py=ㄝㄇ-ㄝㄣㄉ | theme=actions | stage=2 [有易混提示]
 6870 | merchant                       | 商人                             | 💼        | chunks=['mer', 'chant'] | py=ㄇㄜ-ㄔㄚㄋㄊ | theme=business | stage=2
 6871 | mess                           | 混亂、弄亂                          | 🏃        | chunks=['m', 'ess'] | py=ㄝㄇ-ㄊㄝㄙ | theme=actions | stage=2 [有易混提示]
 6872 | mighty                         | 強大的                            | 🎨        | chunks=['mig', 'hty'] | py=ㄇㄧㄍ-ㄏㄊㄧ | theme=adjectives | stage=2 base=might
 6873 | mill                           | 磨坊                             | 🏃        | chunks=['m', 'ill'] | py=ㄝㄇ-ㄧㄦ | theme=actions | stage=2 [有易混提示]
 6874 | millionaire                    | 百萬富翁                           | 🔢        | chunks=['mil', 'lio', 'nai', 're'] | py=ㄇㄧ-ㄌㄧㄛ-ㄋㄟ-ㄌㄧ | theme=jobs | stage=2
 6875 | miner                          | 礦工                             | 👨‍⚕️     | chunks=['mi', 'ner'] | py=ㄇㄞ-ㄋㄜ | theme=jobs | stage=2 base=mine [有易混提示]
 6876 | minority                       | 少數                             | 🎓        | chunks=['mi', 'no', 'ri', 'ty'] | py=ㄇㄜ-ㄋㄛ-ㄌㄜ-ㄊㄧ | theme=academic-words | stage=2 base=minor
 6877 | misery                         | 不幸                             | 🏃        | chunks=['mi', 'se', 'ry'] | py=ㄇㄧ-ㄗㄜ-ㄌㄧ | theme=actions | stage=2
 6878 | missile                        | 飛彈                             | 🎨        | chunks=['mis', 'si', 'le'] | py=ㄇㄧ-ㄙㄜ | theme=adjectives | stage=2
 6879 | missing                        | 失蹤的，行蹤不明的                      | 🎨        | chunks=['mis', 'sing'] | py=ㄇㄧㄙ-ㄒㄧㄥ | theme=adjectives | stage=2
 6880 | mobile                         | 可動的，移動式的                       | 🎨        | chunks=['mo', 'bi', 'le'] | py=ㄇㄛ-ㄅㄜ | theme=adjectives | stage=2
 6881 | moist                          | 潮濕的                            | 🎨        | chunks=['m', 'oist'] | py=ㄝㄇ-ㄛㄧㄙㄊ | theme=adjectives | stage=2
 6882 | moisture                       | 濕氣                             | 🎓        | chunks=['mois', 'tu', 're'] | py=ㄇㄛㄧㄙ-ㄑㄨ-ㄌㄧ | theme=academic-words | stage=2
 6883 | motor                          | 馬達，發動機                         | ⚙️       | chunks=['mo', 'tor'] | py=ㄇㄛ-ㄊㄜ | theme=technology | stage=2
 6884 | nanny                          | 保姆                             | 🏃        | chunks=['nan', 'ny'] | py=ㄋㄚ-ㄋㄧ | theme=actions | stage=2
 6885 | nap                            | 打盹兒，午睡                         | 🏃        | chunks=['n', 'ap'] | py=ㄝㄣ-ㄚ | theme=actions | stage=2 [有易混提示]
 6886 | necessity                      | 需要，必要性                         | 🎓        | chunks=['ne', 'ces', 'si', 'ty'] | py=ㄋㄜ-ㄙㄝ-ㄙㄜ-ㄊㄧ | theme=academic-words | stage=2
 6887 | necktie                        | 領帶                             | 👕        | chunks=['nec', 'ktie'] | py=ㄋㄝㄎ-ㄎㄊㄞ | theme=clothing | stage=2
 6888 | nickname                       | 綽號、給…起綽號                       | 🏃        | chunks=['nic', 'kna', 'me'] | py=ㄋㄧㄎ-ㄎㄋㄚ-ㄇㄝ | theme=actions | stage=2
 6889 | oak                            | 橡樹                             | 🏃        | chunks=['o', 'ak'] | py=ㄛ-ㄚㄎ | theme=actions | stage=2 [有易混提示]
 6890 | odd                            | 奇特的，古怪的                        | 🤪        | chunks=['od', 'd'] | py=ㄚㄉ-ㄉㄧ | theme=adjectives | stage=2 [有易混提示]
 6891 | operator                       | 操作者                            | 👨‍⚕️     | chunks=['o', 'pe', 'ra', 'tor'] | py=ㄛ-ㄆㄜ-ㄌㄚ-ㄊㄜ | theme=jobs | stage=2 base=operate
 6892 | origin                         | 起源                             | 🏃        | chunks=['o', 'ri', 'gin'] | py=ㄛ-ㄌㄧ-ㄐㄧㄣ | theme=actions | stage=2
 6893 | ought to                       | 應當，應該                          | 🔗        | chunks=['o', 'ught', 'to'] | py=ㄛㄊ-ㄊㄛ | theme=phrasal-verbs | stage=2
 6894 | outdoor                        | 戶外的，露天的                        | 🎨        | chunks=['out', 'door'] | py=ㄠㄊ-ㄉㄛㄦ | theme=adjectives | stage=2
 6895 | outdoors                       | 在戶外，在野外                        | 🏃        | chunks=['out', 'doors'] | py=ㄠㄊ-ㄉㄨㄖㄙ | theme=actions | stage=2
 6896 | outer                          | 外面的，外表的                        | 🎨        | chunks=['ou', 'ter'] | py=ㄠ-ㄊㄜ | theme=adjectives | stage=2
 6897 | outline                        | 外形                             | 🎨        | chunks=['out', 'li', 'ne'] | py=ㄠㄊ-ㄌㄧ-ㄋㄧ | theme=adjectives | stage=2
 6898 | overcoat                       | 外套，大衣                          | 👕        | chunks=['o', 'ver', 'coat'] | py=ㄛ-ㄈㄜ-ㄎㄛㄊ | theme=clothing | stage=2
 6899 | owe                            | 欠                              | 🏃        | chunks=['o', 'we'] | py=ㄛ-ㄨㄝ | theme=actions | stage=2 [有易混提示]
 6900 | ownership                      | 所有權                            | 🎓        | chunks=['ow', 'ner', 'ship'] | py=ㄛ-ㄋㄜ-ㄒㄧㄆ | theme=academic-words | stage=2 base=owner
 6901 | pail                           | 提桶                             | 🏃        | chunks=['p', 'ail'] | py=ㄆㄧ-ㄝㄦ | theme=home-items | stage=2 [有易混提示]
 6902 | palace                         | 皇宮，宮殿                          | 🏃        | chunks=['pa', 'la', 'ce'] | py=ㄆㄜ-ㄌㄚ-ㄙㄜ | theme=actions | stage=2
 6903 | passage                        | 通行                             | 🏃        | chunks=['pas', 'sa', 'ge'] | py=ㄆㄚㄙ-ㄙㄚ-ㄐㄧ | theme=actions | stage=2 base=pass
 6904 | patience                       | 耐心                             | 🎓        | chunks=['pa', 'tien', 'ce'] | py=ㄆㄟ-ㄒㄜㄣㄙ | theme=academic-words | stage=2 base=patient
 6905 | pause                          | 暫停                             | 🏃        | chunks=['pau', 'se'] | py=ㄆㄛ-ㄙㄜ | theme=actions | stage=2 [有易混提示]
 6906 | pave                           | 鋪設，築                           | 🏃        | chunks=['pa', 've'] | py=ㄆㄜ-ㄈㄜ | theme=actions | stage=2 [有易混提示]
 6907 | pavement                       | 人行道                            | 🎨        | chunks=['pa', 've', 'ment'] | py=ㄆㄜ-ㄈㄜ-ㄇㄣㄊ | theme=adjectives | stage=2 base=pave
 6908 | paw                            | 腳爪                             | 🏃        | chunks=['p', 'aw'] | py=ㄆㄧ-ㄛ | theme=actions | stage=2 [有易混提示]
 6909 | pearl                          | 珍珠                             | 🏃        | chunks=['p', 'earl'] | py=ㄆㄧ-ㄧㄜㄌ | theme=actions | stage=2
 6910 | peel                           | 削去…的皮，剝去…的                     | 🎨        | chunks=['p', 'eel'] | py=ㄆㄧ-ㄧㄌ | theme=adjectives | stage=2 [有易混提示]
 6911 | peep                           | 窺，偷看                           | 👀        | chunks=['p', 'eep'] | py=ㄆㄧ-ㄧㄆ | theme=crime | stage=2 [有易混提示]
 6912 | penny                          | 一分                             | 🪙        | chunks=['pen', 'ny'] | py=ㄆㄣ-ㄋㄧ | theme=money | stage=2
 6913 | permission                     | 允許，許可                          | 🎓        | chunks=['per', 'mis', 'sion'] | py=ㄆㄜ-ㄇㄧㄙ-ㄒㄣ | theme=academic-words | stage=2 base=permit
 6914 | permit                         | 允許、許可證                         | 🏃        | chunks=['per', 'mit'] | py=ㄆㄜ-ㄇㄧㄊ | theme=actions | stage=2 [有易混提示]
 6915 | personality                    | 個性                             | 🤔        | chunks=['per', 'so', 'na', 'li', 'ty'] | py=ㄆㄜ-ㄙㄜ-ㄋㄚ-ㄌㄜ-ㄊㄧ | theme=personality | stage=2 base=person
 6916 | persuade                       | 說服，勸服                          | 🏃        | chunks=['per', 'sua', 'de'] | py=ㄆㄜ-ㄙㄨㄟㄉ | theme=actions | stage=2
 6917 | pest                           | 害蟲                             | 🐾        | chunks=['p', 'est'] | py=ㄆㄧ-ㄝㄙㄊ | theme=animals | stage=2
 6918 | pickle                         | 醃製鹽滷                           | 🍎        | chunks=['pic', 'kle'] | py=ㄆㄧㄎ-ㄎㄜ | theme=food | stage=2
 6919 | pint                           | 品脫                             | 🏃        | chunks=['p', 'int'] | py=ㄆㄧ-ㄧㄋㄊ | theme=actions | stage=2
 6920 | pit                            | 窪坑，凹處                          | 🏃        | chunks=['p', 'it'] | py=ㄆㄧ-ㄧㄊ | theme=actions | stage=2 [有易混提示]
 6921 | pole                           | 柱                              | 🏃        | chunks=['po', 'le'] | py=ㄆㄛ-ㄌㄧ | theme=actions | stage=2 [有易混提示]
 6922 | pollute                        | 汙染                             | 🎨        | chunks=['pol', 'lu', 'te'] | py=ㄆㄚ-ㄌㄨ-ㄊㄧ | theme=adjectives | stage=2
 6923 | pony                           | 小馬                             | 🐾        | chunks=['po', 'ny'] | py=ㄆㄛ-ㄋㄧ | theme=animals | stage=2 [有易混提示]
 6924 | postage                        | 郵資                             | 🏃        | chunks=['pos', 'ta', 'ge'] | py=ㄆㄛㄙ-ㄊㄜㄐ | theme=actions | stage=2
 6925 | postpone                       | 延遲，延緩                          | 🏃        | chunks=['pos', 'tpo', 'ne'] | py=ㄆㄛㄙㄊ-ㄆㄛㄣ | theme=actions | stage=2
 6926 | postponement                   | 延期                             | 🎨        | chunks=['pos', 'tpo', 'ne', 'ment'] | py=ㄆㄚ-ㄊㄆㄛ-ㄋㄧ-ㄇㄣㄊ | theme=adjectives | stage=2 base=postpone
 6927 | pour                           | 倒，灌，注                          | 🏃        | chunks=['p', 'our'] | py=ㄆㄧ-ㄠㄜ | theme=actions | stage=2 [有易混提示]
 6928 | poverty                        | 貧窮，貧困                          | 🏃        | chunks=['po', 'ver', 'ty'] | py=ㄆㄛ-ㄈㄜ-ㄊㄧ | theme=actions | stage=2
 6929 | powder                         | 粉，粉末                           | 🏃        | chunks=['pow', 'der'] | py=ㄆㄠ-ㄉㄜ | theme=actions | stage=2
 6930 | precious                       | 貴重的，珍貴的                        | 🎨        | chunks=['pre', 'cious'] | py=ㄆㄌㄧ-ㄒㄜㄙ | theme=adjectives | stage=2
 6931 | preparation                    | 準備，預備                          | 🎓        | chunks=['pre', 'pa', 'ra', 'tion'] | py=ㄆㄌㄝ-ㄆㄜ-ㄌㄟ-ㄒㄣ | theme=academic-words | stage=2 base=prepare
 6932 | pressure                       | 壓力                             | 🎓        | chunks=['pres', 'su', 're'] | py=ㄆㄌㄝ-ㄒㄜ | theme=academic-words | stage=2
 6933 | pretend                        | 假裝                             | 🏃        | chunks=['pre', 'tend'] | py=ㄆㄌㄧ-ㄊㄝㄋㄉ | theme=actions | stage=2
 6934 | prevent                        | 防止，預防                          | 🎨        | chunks=['pre', 'vent'] | py=ㄆㄌㄜ-ㄈㄝㄣㄊ | theme=adjectives | stage=2
 6935 | probable                       | 很可能發生的                         | 🎨        | chunks=['pro', 'bab', 'le'] | py=ㄆㄜ-ㄅㄚㄅ-ㄌㄧ | theme=adjectives | stage=2
 6936 | program                        | 節目                             | 🏃        | chunks=['prog', 'ram'] | py=ㄆㄖㄛㄍ-ㄌㄚ | theme=actions | stage=2
 6937 | proof                          | 證據                             | ⚖️       | chunks=['pr', 'oof'] | py=ㄆㄌㄧ-ㄨㄈ | theme=law | stage=2 [有易混提示]
 6938 | proper                         | 適合的，適當的                        | 🎨        | chunks=['pro', 'per'] | py=ㄆㄜ-ㄆㄜ | theme=adjectives | stage=2 [有易混提示]
 6939 | property                       | 財產，資產                          | 🏃        | chunks=['pro', 'per', 'ty'] | py=ㄆㄜ-ㄆㄜ-ㄊㄧ | theme=actions | stage=2
 6940 | protection                     | 保護，防護                          | 🎓        | chunks=['pro', 'tec', 'tion'] | py=ㄆㄌㄜ-ㄊㄝㄎ-ㄒㄣ | theme=academic-words | stage=2 base=protect
 6941 | protective                     | 保護的，防護的                        | 🎨        | chunks=['pro', 'tec', 'ti', 've'] | py=ㄆㄌㄜ-ㄊㄝㄎ-ㄊㄜㄈ | theme=adjectives | stage=2 base=protect
 6942 | pure                           | 純粹的，不攙雜的                       | 🎨        | chunks=['pu', 're'] | py=ㄆㄧㄨ-ㄌㄧ | theme=adjectives | stage=2 [有易混提示]
 6943 | queer                          | 奇怪的，古怪的                        | 🎨        | chunks=['q', 'ueer'] | py=ㄎㄧㄨ-ㄩㄜ | theme=adjectives | stage=2 [有易混提示]
 6944 | quote                          | 引用                             | 🏃        | chunks=['quo', 'te'] | py=ㄎㄨㄛ-ㄊㄧ | theme=actions | stage=2 [有易混提示]
 6945 | racial                         | 人種的，種族的                        | 🎨        | chunks=['ra', 'cial'] | py=ㄌㄚ-ㄒㄦ | theme=adjectives | stage=2
 6946 | radar                          | 雷達                             | 📡        | chunks=['ra', 'dar'] | py=ㄌㄚ-ㄉㄜ | theme=weather | stage=3
 6947 | rag                            | 破布，碎布                          | 🪨        | chunks=['r', 'ag'] | py=ㄚㄦ-ㄚㄍ | theme=materials | stage=2
 6948 | raw                            | 生的，未煮過的                        | 🎨        | chunks=['r', 'aw'] | py=ㄚㄦ-ㄛ | theme=adjectives | stage=2 [有易混提示]
 6949 | ray                            | 光線                             | 🏃        | chunks=['r', 'ay'] | py=ㄚㄦ-ㄟ | theme=actions | stage=2 [有易混提示]
 6950 | reaction                       | 反應                             | 🎓        | chunks=['reac', 'tion'] | py=ㄖㄧㄎ-ㄒㄣ | theme=academic-words | stage=2 base=react
 6951 | reasonable                     | 合理的                            | 🎨        | chunks=['rea', 'so', 'nab', 'le'] | py=ㄌㄧ-ㄗㄜ-ㄋㄜ-ㄅㄜ | theme=adjectives | stage=2 base=reason
 6952 | receiver                       | 收件人                            | 👨‍⚕️     | chunks=['re', 'cei', 'ver'] | py=ㄌㄜ-ㄙㄧ-ㄈㄜ | theme=jobs | stage=2 base=receive
 6953 | recognize                      | 認出                             | 🏃        | chunks=['re', 'cog', 'ni', 'ze'] | py=ㄌㄝ-ㄎㄜㄍ-ㄋㄞㄗ | theme=actions | stage=2
 6954 | recorder                       | 記錄者                            | 👨‍⚕️     | chunks=['re', 'cor', 'der'] | py=ㄌㄧ-ㄎㄛ-ㄉㄜ | theme=jobs | stage=2 base=record
 6955 | regional                       | 地區的                            | 🎨        | chunks=['re', 'gio', 'nal'] | py=ㄌㄧ-ㄍㄧㄛ-ㄋㄦ | theme=adjectives | stage=2 base=region
 6956 | relate                         | 講，敘述                           | 🏃        | chunks=['re', 'la', 'te'] | py=ㄌㄧ-ㄌㄚ-ㄊㄧ | theme=actions | stage=2
 6957 | relax                          | 鬆弛，鬆懈，放鬆                       | 🏃        | chunks=['re', 'lax'] | py=ㄌㄧ-ㄌㄚㄎㄙ | theme=actions | stage=2
 6958 | relief                         | 緩和，減輕                          | 🏃        | chunks=['re', 'lief'] | py=ㄌㄧ-ㄌㄧㄈ | theme=emotions | stage=2 [有易混提示]
 6959 | remain                         | 剩下                             | ➕        | chunks=['re', 'main'] | py=ㄌㄧ-ㄇㄟㄣ | theme=directions | stage=2 [有易混提示]
 6960 | remind                         | 提醒                             | 🏃        | chunks=['re', 'mind'] | py=ㄌㄜ-ㄇㄞㄣㄉ | theme=actions | stage=2
 6961 | remote                         | 遙遠的                            | 🎨        | chunks=['re', 'mo', 'te'] | py=ㄌㄜ-ㄇㄛㄊ | theme=adjectives | stage=2
 6962 | renew                          | 更新                             | 🏃        | chunks=['re', 'new'] | py=ㄌㄧ-ㄋㄧㄨ | theme=actions | stage=2
 6963 | repair                         | 修理                             | 🏃        | chunks=['re', 'pair'] | py=ㄌㄜ-ㄆㄝㄜ | theme=actions | stage=2
 6964 | replace                        | 取代                             | 🏃        | chunks=['rep', 'la', 'ce'] | py=ㄌㄜ-ㄆㄌㄟㄙ | theme=actions | stage=2
 6965 | replacement                    | 取代                             | 🎨        | chunks=['rep', 'la', 'ce', 'ment'] | py=ㄌㄝ-ㄌㄚ-ㄙㄜ-ㄇㄣㄊ | theme=adjectives | stage=2 base=replace
 6966 | represent                      | 代表、象徵                          | 📊        | chunks=['rep', 're', 'sent'] | py=ㄌㄝ-ㄌㄧ-ㄗㄣㄊ | theme=actions | stage=2
 6967 | representative                 | 典型，代表物                         | 🎨        | chunks=['rep', 're', 'sen', 'ta', 'ti', 've'] | py=ㄌㄝ-ㄌㄧ-ㄙㄝㄣ-ㄊㄝ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=2 base=represent
 6968 | request                        | 要求，請求                          | 🏃        | chunks=['re', 'quest'] | py=ㄌㄜ-ㄎㄨㄝㄙㄊ | theme=actions | stage=2
 6969 | resist                         | 抵抗，反抗                          | 🏃        | chunks=['re', 'sist'] | py=ㄌㄜ-ㄗㄧㄙㄊ | theme=actions | stage=2
 6970 | response                       | 回答                             | 🏃        | chunks=['res', 'pon', 'se'] | py=ㄌㄜ-ㄙㄆㄚㄣㄙ | theme=actions | stage=2 base=respond
 6971 | responsibility                 | 責任                             | 🎓        | chunks=['res', 'pon', 'si', 'bi', 'li', 'ty'] | py=ㄌㄜ-ㄙㄆㄚㄣ-ㄙㄜ-ㄅㄜ-ㄌㄜ-ㄊㄧ | theme=academic-words | stage=2 base=responsible
 6972 | ribbon                         | 緞帶                             | 🏃        | chunks=['rib', 'bon'] | py=ㄌㄧㄅ-ㄅㄣ | theme=actions | stage=2
 6973 | rid                            | 使免除                            | 🏃        | chunks=['r', 'id'] | py=ㄚㄦ-ㄌㄝㄉ | theme=actions | stage=2 [有易混提示]
 6974 | ripe                           | 成熟的                            | 🎨        | chunks=['ri', 'pe'] | py=ㄌㄧ-ㄆㄜ | theme=adjectives | stage=2 [有易混提示]
 6975 | risk                           | 危險，風險冒…的風險                     | 🏃        | chunks=['r', 'isk'] | py=ㄚㄦ-ㄧㄙㄎ | theme=emergencies | stage=2
 6976 | roar                           | 吼叫                             | 🏃        | chunks=['r', 'oar'] | py=ㄚㄦ-ㄛㄖ | theme=actions | stage=2 [有易混提示]
 6977 | roast                          | 烤，炙，烘                          | 🍎        | chunks=['r', 'oast'] | py=ㄚㄦ-ㄛㄙㄊ | theme=food | stage=2
 6978 | rob                            | 搶劫，劫掠                          | ⚖️       | chunks=['r', 'ob'] | py=ㄚㄦ-ㄚㄅ | theme=crime | stage=2 [有易混提示]
 6979 | robber                         | 搶劫者，強盜                         | ⚖️       | chunks=['rob', 'ber'] | py=ㄌㄚ-ㄅㄜ | theme=crime | stage=2 base=rob
 6980 | rot                            | 腐爛，腐壞                          | 🏃        | chunks=['r', 'ot'] | py=ㄚㄦ-ㄚ | theme=actions | stage=2 [有易混提示]
 6981 | rotten                         | 腐爛的                            | 🎨        | chunks=['rot', 'ten'] | py=ㄖㄚㄊ-ㄊㄣ | theme=adjectives | stage=2
 6982 | routine                        | 例行公事                           | 🎨        | chunks=['rou', 'ti', 'ne'] | py=ㄌㄠ-ㄊㄜ-ㄋㄧ | theme=adjectives | stage=2
 6983 | rust                           | 鐵鏽、生鏽                          | 🪨        | chunks=['r', 'ust'] | py=ㄚㄦ-ㄚㄙㄊ | theme=materials | stage=2
 6984 | rusty                          | 生鏽的                            | 🎨        | chunks=['rus', 'ty'] | py=ㄌㄜㄙ-ㄊㄧ | theme=adjectives | stage=2 base=rust
 6985 | sack                           | 粗布袋                            | 🪨        | chunks=['s', 'ack'] | py=ㄝㄙ-ㄚ | theme=materials | stage=2 [有易混提示]
 6986 | satisfactory                   | 令人滿意的                          | 🎨        | chunks=['sa', 'tis', 'fac', 'to', 'ry'] | py=ㄙㄚ-ㄊㄜㄙ-ㄈㄚㄎ-ㄊㄛ-ㄌㄧ | theme=adjectives | stage=2
 6987 | savings                        | 儲金，存款                          | 💰        | chunks=['sa', 'vings'] | py=ㄙㄚ-ㄨㄧㄥㄙ | theme=money | stage=2 base=save
 6988 | scarce                         | 缺乏的                            | 🎨        | chunks=['scar', 'ce'] | py=ㄙㄎㄚㄦ-ㄙㄜ | theme=adjectives | stage=2
 6989 | scarecrow                      | 稻草人                            | 🏃        | chunks=['sca', 'rec', 'row'] | py=ㄙㄎㄚ-ㄌㄝ-ㄌㄛ | theme=actions | stage=2
 6990 | scary                          | 可怕的﹐駭人的                        | 🎨        | chunks=['sca', 'ry'] | py=ㄙㄎㄚ-ㄌㄧ | theme=adjectives | stage=2 base=scare
 6991 | scholar                        | 學者                             | 🏃        | chunks=['scho', 'lar'] | py=ㄙㄎㄚ-ㄌㄜ | theme=actions | stage=2
 6992 | scout                          | 偵察兵                            | 🏃        | chunks=['sc', 'out'] | py=ㄙㄎ-ㄠㄊ | theme=actions | stage=2
 6993 | scrub                          | 用力擦洗                           | 🏃        | chunks=['scr', 'ub'] | py=ㄙㄎㄖ-ㄚㄅ | theme=actions | stage=2
 6994 | secondary                      | 第二的                            | 🔢        | chunks=['se', 'con', 'da', 'ry'] | py=ㄙㄜ-ㄎㄚㄣ-ㄉㄚ-ㄌㄧ | theme=sight-words | stage=2
 6995 | security                       | 安全                             | 🎓        | chunks=['se', 'cu', 'ri', 'ty'] | py=ㄙㄜ-ㄎㄧㄨ-ㄌㄧ-ㄊㄧ | theme=academic-words | stage=2
 6996 | seize                          | 抓住                             | 🏃        | chunks=['sei', 'ze'] | py=ㄒㄧ-ㄗㄧ | theme=actions | stage=2 [有易混提示]
 6997 | sensible                       | 明智的                            | 🎨        | chunks=['sen', 'sib', 'le'] | py=ㄙㄝㄣ-ㄒㄧㄅ-ㄌㄧ | theme=adjectives | stage=2 base=sense
 6998 | sew                            | 縫合                             | 🏃        | chunks=['s', 'ew'] | py=ㄝㄙ-ㄩ | theme=actions | stage=2 [有易混提示]
 6999 | sex                            | 性別                             | 🏃        | chunks=['s', 'ex'] | py=ㄝㄙ-ㄝㄎㄙ | theme=actions | stage=2
