# 字 7500-7999
 7500 | overtake                       | 追上                             | 🏃        | chunks=['o', 'ver', 'ta', 'ke'] | py=ㄛ-ㄈㄜ-ㄊㄝㄎ | theme=directions | stage=3
 7819 | delegate                       | 代表團團員派...為                     | 🧑‍💼      | chunks=['de', 'le', 'ga', 'te'] | py=ㄉㄝ-ㄌㄜ-ㄍㄝㄊ | theme=desserts | stage=3
 7820 | delegation                     | 代表團                            | 🎓        | chunks=['de', 'le', 'ga', 'tion'] | py=ㄉㄧ-ㄌㄧ-ㄍㄚ-ㄒㄣ | theme=academic-words | stage=3
 7821 | denial                         | 否認                             | 🏃        | chunks=['de', 'nial'] | py=ㄉㄧ-ㄋㄧㄚㄌ | theme=actions | stage=3 base=deny
 7822 | descriptive                    | 描述的                            | 🎨        | chunks=['des', 'crip', 'ti', 've'] | py=ㄉㄧ-ㄎㄖㄧㄆ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7823 | despair                        | 絕望                             | 🏃        | chunks=['des', 'pair'] | py=ㄉㄧ-ㄙㄆㄝㄜ | theme=actions | stage=3
 7824 | destination                    | 目的地                            | 🎨        | chunks=['des', 'ti', 'na', 'tion'] | py=ㄉㄧ-ㄊㄜ-ㄋㄚ-ㄒㄣ | theme=adjectives | stage=3
 7825 | destiny                        | 命運                             | 🏃        | chunks=['des', 'ti', 'ny'] | py=ㄉㄧ-ㄊㄜ-ㄋㄧ | theme=actions | stage=3
 7826 | destructive                    | 有破壞性的                          | 🎨        | chunks=['des', 'truc', 'ti', 've'] | py=ㄉㄧ-ㄊㄖㄚㄎ-ㄊㄜ-ㄈㄜ | theme=adjectives | stage=3
 7827 | devour                         | 吞食                             | 🏃        | chunks=['de', 'vour'] | py=ㄉㄧ-ㄨㄠㄖ | theme=actions | stage=3
 7828 | disbelief                      | 不信                             | 🏃        | chunks=['dis', 'be', 'lief'] | py=ㄉㄧㄙ-ㄅㄧ-ㄌㄧㄈ | theme=actions | stage=3
 7829 | discard                        | 丟棄                             | 🏃        | chunks=['dis', 'card'] | py=ㄉㄧㄙ-ㄎㄚㄦㄉ | theme=actions | stage=3
 7830 | disciple                       | 信徒                             | 🏃        | chunks=['dis', 'cip', 'le'] | py=ㄉㄧㄙ-ㄎㄧㄆ-ㄌㄧ | theme=religion | stage=3
 7831 | dispense                       | 分配                             | 🏃        | chunks=['dis', 'pen', 'se'] | py=ㄉㄧㄙ-ㄆㄣ-ㄙㄜ | theme=actions | stage=3
 7832 | distinction                    | 差別                             | 🎓        | chunks=['dis', 'tin', 'ction'] | py=ㄉㄧ-ㄙㄊㄧㄣㄎ-ㄒㄣ | theme=academic-words | stage=3
 7833 | distinctive                    | 有特色的                           | 🎨        | chunks=['dis', 'tin', 'cti', 've'] | py=ㄉㄧ-ㄙㄊㄧㄣㄎ-ㄊㄧㄈ | theme=adjectives | stage=3 base=distinct
 7834 | doorstep                       | 門階                             | 🛋️       | chunks=['door', 'step'] | py=ㄉㄛㄦ-ㄙㄉㄝㄆ | theme=home-items | stage=3
 7835 | doorway                        | 出入口                            | 🏃        | chunks=['door', 'way'] | py=ㄉㄛㄦ-ㄨㄝ | theme=actions | stage=3
 7836 | dough                          | 生麵團                            | 🏃        | chunks=['d', 'ough'] | py=ㄉㄛ | theme=actions | stage=3
 7837 | dreadful                       | 畏懼的                            | 🎨        | chunks=['dread', 'ful'] | py=ㄉㄖㄧㄉ-ㄈㄜ | theme=adjectives | stage=3 base=dread
 7838 | dressing                       | 沙拉醬                            | 🥗        | chunks=['dres', 'sing'] | py=ㄉㄌㄝ-ㄒㄧㄥ | theme=food | stage=3
 7839 | driveway                       | 私人車道                           | 🏃        | chunks=['dri', 've', 'way'] | py=ㄉㄖㄞ-ㄈㄜ-ㄨㄝ | theme=actions | stage=3
 7840 | dwarf                          | 矮子矮小的                          | 💁        | chunks=['dw', 'arf'] | py=ㄉㄨ-ㄚㄜㄈ | theme=appearance | stage=3
 7841 | dwell                          | 居住                             | 🏃        | chunks=['dw', 'ell'] | py=ㄉㄨㄝㄦ | theme=actions | stage=3
 7842 | dwelling                       | 住處                             | 🏃        | chunks=['dwel', 'ling'] | py=ㄉㄨㄝ-ㄌㄧㄥ | theme=actions | stage=3
 7843 | elaborate                      | 精巧的、詳述                         | 🏃        | chunks=['e', 'la', 'bo', 'ra', 'te'] | py=ㄧ-ㄌㄚ-ㄅㄛ-ㄌㄚ-ㄊㄧ | theme=actions | stage=3
 7844 | elevate                        | 提升                             | 🏃        | chunks=['e', 'le', 'va', 'te'] | py=ㄧ-ㄌㄧ-ㄈㄚ-ㄊㄧ | theme=actions | stage=3
 7845 | enroll                         | 註冊                             | 🏃        | chunks=['en', 'roll'] | py=ㄣ-ㄌㄛㄦ | theme=actions | stage=3
 7846 | enrollment                     | 註冊                             | 🎨        | chunks=['en', 'rol', 'lment'] | py=ㄣ-ㄌㄛ-ㄌㄇㄣㄊ | theme=adjectives | stage=3 base=enroll
 7847 | insure                         | 確保                             | 🎓        | chunks=['in', 'su', 're'] | py=ㄧㄣ-ㄙㄨ-ㄌㄧ | theme=academic-words | stage=3
 7848 | entitle                        | 取名為…                           | 🏃        | chunks=['en', 'tit', 'le'] | py=ㄣ-ㄊㄧㄊ-ㄌㄧ | theme=actions | stage=3
 7849 | erect                          | 豎立                             | 🏃        | chunks=['e', 'rect'] | py=ㄜ-ㄖㄝㄎㄊ | theme=actions | stage=3
 7850 | erupt                          | 爆發                             | 🏃        | chunks=['e', 'rupt'] | py=ㄜ-ㄖㄚㄆㄊ | theme=actions | stage=3
 7851 | escort                         | 護送者、護送                         | 🏃        | chunks=['es', 'cort'] | py=ㄝㄙ-ㄎㄛㄜㄊ | theme=actions | stage=3
 7852 | esteem                         | 尊重                             | 🏃        | chunks=['es', 'teem'] | py=ㄜ-ㄙㄊㄧㄇ | theme=actions | stage=3
 7853 | evergreen                      | 常青樹、常綠的                        | 🎨        | chunks=['e', 'ver', 'green'] | py=ㄧ-ㄈㄜ-ㄍㄌㄧㄣ | theme=adjectives | stage=3
 7854 | exaggeration                   | 誇大                             | 🎓        | chunks=['e', 'xag', 'ge', 'ra', 'tion'] | py=ㄧㄍ-ㄗㄚ-ㄐㄜ-ㄌㄝ-ㄒㄜㄣ | theme=academic-words | stage=3
 7855 | excel                          | 勝過                             | 🏃        | chunks=['ex', 'cel'] | py=ㄝㄎㄙ-ㄙㄝ | theme=actions | stage=3
 7856 | exceptional                    | 優異的                            | 🎨        | chunks=['ex', 'cep', 'tio', 'nal'] | py=ㄝㄎㄙ-ㄙㄝㄆ-ㄒㄛ-ㄋㄦ | theme=adjectives | stage=3
 7857 | excess                         | 過度                             | 🏃        | chunks=['ex', 'cess'] | py=ㄝㄎㄙ-ㄙㄝㄙ | theme=actions | stage=3
 7858 | exclaim                        | 驚叫                             | 🏃        | chunks=['ex', 'claim'] | py=ㄝㄎㄙ-ㄎㄌㄝㄇ | theme=actions | stage=3
 7859 | execute                        | 執行                             | 🎨        | chunks=['e', 'xe', 'cu', 'te'] | py=ㄧ-ㄎㄙㄝ-ㄎㄧㄨ-ㄊㄧ | theme=adjectives | stage=3
 7860 | exile                          | 放逐、流亡者                         | 🎨        | chunks=['e', 'xi', 'le'] | py=ㄧ-ㄎㄙㄧ-ㄌㄧ | theme=adjectives | stage=3
 7861 | extension                      | 延伸                             | 🎓        | chunks=['ex', 'ten', 'sion'] | py=ㄝㄎㄙ-ㄊㄣ-ㄒㄣ | theme=academic-words | stage=3
 7862 | extensive                      | 廣泛的                            | 🎨        | chunks=['ex', 'ten', 'si', 've'] | py=ㄝㄎㄙ-ㄊㄣ-ㄗㄜ-ㄈㄜ | theme=adjectives | stage=3
 7863 | exterior                       | 外部的、外部                         | 🏃        | chunks=['ex', 'te', 'rior'] | py=ㄧㄎ-ㄙㄊㄧ-ㄖㄧㄜㄦ | theme=actions | stage=3
 7864 | extinct                        | 絕種的                            | 🎨        | chunks=['ex', 'tinct'] | py=ㄝㄎㄙ-ㄊㄧㄥㄎㄊ | theme=adjectives | stage=3
 7865 | extraordinary                  | 非凡的                            | 🎨        | chunks=['ex', 'traor', 'di', 'na', 'ry'] | py=ㄝㄎㄙ-ㄊㄖㄚㄛㄜ-ㄉㄧ-ㄋㄚ-ㄌㄧ | theme=adjectives | stage=3
 7866 | fad                            | 時尚                             | 🏃        | chunks=['f', 'ad'] | py=ㄈㄚㄉ | theme=actions | stage=3
 7867 | fahrenheit                     | 華氏的、華氏溫度                       | 🏃        | chunks=['fah', 'ren', 'heit'] | py=ㄈㄚㄏ-ㄌㄣ-ㄏㄝㄊ | theme=actions | stage=3
 7868 | falter                         | 蹣跚                             | 🏃        | chunks=['fal', 'ter'] | py=ㄈㄚ-ㄊㄜ | theme=actions | stage=3
 7869 | fascinate                      | 使著迷                            | 🏃        | chunks=['fas', 'ci', 'na', 'te'] | py=ㄈㄚㄙ-ㄙㄜ-ㄋㄚ-ㄊㄧ | theme=actions | stage=3
 7870 | fatigue                        | 極度疲勞                           | 🏃        | chunks=['fa', 'ti', 'gue'] | py=ㄈㄜ-ㄊㄧㄍ | theme=actions | stage=3
 7871 | feminine                       | 有女性氣質的                         | 🎨        | chunks=['fe', 'mi', 'ni', 'ne'] | py=ㄈㄝ-ㄇㄜ-ㄋㄣ | theme=adjectives | stage=3
 7872 | fiddle                         | 小提琴                            | 🎵        | chunks=['fid', 'dle'] | py=ㄈㄧ-ㄉㄜ | theme=music | stage=3
 7873 | filter                         | 過濾器、過濾                         | 🔨        | chunks=['fil', 'ter'] | py=ㄈㄧㄦ-ㄊㄜ | theme=tools | stage=3
 7874 | fin                            | 鰭                              | 🏃        | chunks=['f', 'in'] | py=ㄈㄧㄣ | theme=actions | stage=3
 7875 | fishery                        | 魚場                             | 🐾        | chunks=['fis', 'he', 'ry'] | py=ㄈㄧㄙ-ㄏㄝ-ㄌㄧ | theme=animals | stage=3
 7876 | flake                          | 小薄片                            | 🏃        | chunks=['fla', 'ke'] | py=ㄈㄌㄝ-ㄎㄟ | theme=actions | stage=3 [有易混提示]
 7877 | flap                           | 拍打                             | 🏃        | chunks=['fl', 'ap'] | py=ㄈㄌㄚㄆ | theme=actions | stage=3
 7878 | flaw                           | 裂縫                             | 🏃        | chunks=['fl', 'aw'] | py=ㄈㄌㄛ | theme=actions | stage=3
 7879 | flick                          | 輕彈、輕擊聲                         | 🏃        | chunks=['fl', 'ick'] | py=ㄈㄌㄧㄎ | theme=actions | stage=3
 7880 | flip                           | 拋                              | 🏃        | chunks=['fl', 'ip'] | py=ㄈㄌㄧㄆ | theme=actions | stage=2
 7881 | fluency                        | 流利                             | 🏃        | chunks=['fluen', 'cy'] | py=ㄈㄌㄨ-ㄜㄣ-ㄒㄧ | theme=actions | stage=3
 7882 | forgetful                      | 健忘的                            | 🎨        | chunks=['for', 'get', 'ful'] | py=ㄈㄛ-ㄍㄝㄊ-ㄈㄜ | theme=adjectives | stage=3 base=forget
 7883 | foul                           | 惡臭的                            | 🎨        | chunks=['f', 'oul'] | py=ㄈㄠㄌ | theme=adjectives | stage=3 [有易混提示]
 7884 | fowl                           | 家禽                             | 🏃        | chunks=['f', 'owl'] | py=ㄈㄠㄌ | theme=animals | stage=3 [有易混提示]
 7885 | fraction                       | 分數                             | 🔢        | chunks=['frac', 'tion'] | py=ㄈㄌㄚㄎ-ㄒㄣ | theme=numbers | stage=3
 7886 | fume                           | 煙，氣                            | 🏃        | chunks=['fu', 'me'] | py=ㄈㄧㄨ-ㄇㄝ | theme=actions | stage=3
 7887 | fury                           | 盛怒                             | 🏃        | chunks=['fu', 'ry'] | py=ㄈㄧㄨ-ㄌㄧ | theme=actions | stage=3
 7888 | fuse                           | 熔合保險絲                          | 🪨        | chunks=['fu', 'se'] | py=ㄈㄧㄨ-ㄙㄜ | theme=materials | stage=3 [有易混提示]
 7889 | fuss                           | 大驚小怪                           | 🏃        | chunks=['f', 'uss'] | py=ㄈㄚㄙ | theme=actions | stage=3
 7890 | gallop                         | 疾馳                             | 🏃        | chunks=['gal', 'lop'] | py=ㄍㄚ-ㄌㄛㄆ | theme=actions | stage=3
 7891 | garment                        | 衣服                             | 👕        | chunks=['gar', 'ment'] | py=ㄍㄚㄦ-ㄇㄣㄊ | theme=clothing | stage=3
 7892 | gasp                           | 喘氣                             | 🏃        | chunks=['g', 'asp'] | py=ㄍㄚㄙㄆ | theme=actions | stage=3
 7893 | gay                            | 同性戀的、同性戀者                      | 🏃        | chunks=['g', 'ay'] | py=ㄍㄟ | theme=actions | stage=3 [有易混提示]
 7894 | geometry                       | 幾何學                            | 🏃        | chunks=['geo', 'met', 'ry'] | py=ㄍㄝㄛ-ㄇㄝㄊ-ㄌㄧ | theme=actions | stage=3
 7895 | glare                          | 閃耀                             | 🏃        | chunks=['gla', 're'] | py=ㄍㄌㄝㄜ | theme=actions | stage=3
 7896 | gleam                          | 閃爍                             | 🏃        | chunks=['gl', 'eam'] | py=ㄍㄌㄧㄇ | theme=actions | stage=3
 7897 | glee                           | 快樂                             | 😄        | chunks=['gl', 'ee'] | py=ㄍㄌㄧ | theme=emotions | stage=3
 7898 | glitter                        | 閃爍                             | 🏃        | chunks=['glit', 'ter'] | py=ㄍㄌㄧ-ㄊㄜ | theme=actions | stage=3
 7899 | gloom                          | 黑暗                             | 🏃        | chunks=['gl', 'oom'] | py=ㄍㄌㄨㄇ | theme=actions | stage=3
 7900 | gnaw                           | 咬                              | 🏃        | chunks=['gn', 'aw'] | py=ㄋㄛ | theme=actions | stage=3
 7901 | gobble                         | (火雞)咯咯叫、狼吞虎嚥                   | 🦃        | chunks=['gob', 'ble'] | py=ㄍㄚ-ㄅㄜ | theme=animals | stage=3
 7902 | gorge                          | 峽谷、狼吞虎嚥                        | 🏞️       | chunks=['gor', 'ge'] | py=ㄍㄛㄜㄐ | theme=animals | stage=3
 7903 | graze                          | 放牧                             | 🏃        | chunks=['gra', 'ze'] | py=ㄍㄌㄝ-ㄗㄧ | theme=actions | stage=3
 7904 | grease                         | 油脂                             | 🏃        | chunks=['grea', 'se'] | py=ㄍㄖㄧㄙ | theme=actions | stage=3 [有易混提示]
 7905 | greed                          | 貪心                             | 🏃        | chunks=['gr', 'eed'] | py=ㄍㄖㄧㄉ | theme=actions | stage=3
 7906 | grip                           | 緊握                             | 🏃        | chunks=['gr', 'ip'] | py=ㄍㄖㄧㄆ | theme=actions | stage=3
 7907 | groan                          | 呻吟                             | 🏃        | chunks=['gr', 'oan'] | py=ㄍㄖㄛㄣ | theme=actions | stage=3
 7908 | gross                          | 總的                             | 🎨        | chunks=['gr', 'oss'] | py=ㄍㄖㄛㄙ | theme=adjectives | stage=3
 7909 | growl                          | 嚎叫                             | 🏃        | chunks=['gr', 'owl'] | py=ㄍㄖㄠㄦ | theme=actions | stage=3
 7910 | grumble                        | 抱怨、怨言                          | 🏃        | chunks=['grum', 'ble'] | py=ㄍㄖㄚㄇ-ㄅㄜ | theme=actions | stage=3
 7911 | gulp                           | 狼吞虎嚥                           | 😋        | chunks=['g', 'ulp'] | py=ㄍㄚㄦㄆ | theme=animals | stage=3
 7912 | gypsy                          | 吉普賽人                           | 🏃        | chunks=['gyp', 'sy'] | py=ㄍㄧㄆ-ㄗㄧ | theme=actions | stage=3
 7913 | hairstyle                      | 髮型                             | 💁        | chunks=['hair', 'sty', 'le'] | py=ㄏㄝㄜ-ㄙㄊㄞㄦ | theme=appearance | stage=3
 7914 | handicap                       | 障礙妨礙                           | 🏃        | chunks=['han', 'di', 'cap'] | py=ㄏㄢ-ㄉㄧ-ㄎㄚㄆ | theme=actions | stage=3
 7915 | handicraft                     | 手工藝品                           | 🏃        | chunks=['han', 'dic', 'raft'] | py=ㄏㄢ-ㄉㄧㄎ-ㄖㄚㄈㄊ | theme=actions | stage=3
 7916 | hardy                          | 吃苦耐勞的                          | 🎨        | chunks=['har', 'dy'] | py=ㄏㄚㄦ-ㄉㄧ | theme=adjectives | stage=3
 7917 | harness                        | 馬具套上馬具                         | 🐴        | chunks=['har', 'ness'] | py=ㄏㄚㄦ-ㄋㄝㄙ | theme=animals | stage=3
 7918 | haul                           | 拖                              | 🏃        | chunks=['h', 'aul'] | py=ㄏㄛㄦ | theme=actions | stage=3 [有易混提示]
 7919 | haunt                          | 不斷糾纏                           | 🏃        | chunks=['h', 'aunt'] | py=ㄏㄛㄋㄊ | theme=actions | stage=3 [有易混提示]
 7920 | heavenly                       | 天堂的、極好的                        | 🎨        | chunks=['hea', 'ven', 'ly'] | py=ㄏㄝ-ㄈㄣ-ㄌㄧ | theme=adjectives | stage=3
 7921 | hedge                          | 樹籬                             | 🏃        | chunks=['hed', 'ge'] | py=ㄏㄝㄐ | theme=actions | stage=3
 7922 | heed                           | 留意                             | 🏃        | chunks=['h', 'eed'] | py=ㄏㄧㄉ | theme=actions | stage=3
 7923 | heighten                       | 增高                             | 💁        | chunks=['heig', 'hten'] | py=ㄏㄝㄍ-ㄏㄊㄝㄋ | theme=appearance | stage=3 base=height
 7924 | heir                           | 繼承人                            | 🏃        | chunks=['h', 'eir'] | py=ㄝㄦ | theme=actions | stage=3 [有易混提示]
 7925 | herald                         | 使者、傳達                          | 🏃        | chunks=['he', 'rald'] | py=ㄏㄝ-ㄖㄚㄌㄉ | theme=actions | stage=3
 7926 | hermit                         | 隱士                             | 🏃        | chunks=['her', 'mit'] | py=ㄏㄜ-ㄇㄧㄊ | theme=actions | stage=3
 7927 | heroic                         | 英雄的                            | 🎨        | chunks=['he', 'roic'] | py=ㄏㄝ-ㄖㄛㄧㄎ | theme=adjectives | stage=3 base=hero
 7928 | heterosexual                   | 異性戀的                           | 🎨        | chunks=['he', 'te', 'ro', 'se', 'xual'] | py=ㄏㄝ-ㄊㄧ-ㄌㄛ-ㄙㄜ-ㄎㄙㄚㄚㄌ | theme=adjectives | stage=3
 7929 | hi-fi                          | 高傳真音響(Hi-Fi)                   | 🏃        | chunks=['hi', 'fi'] | py=ㄏㄞ-ㄈㄞ | theme=actions | stage=3
 7930 | hijack                         | 劫持                             | 🏃        | chunks=['hi', 'jack'] | py=ㄏㄞ-ㄐㄚㄎ | theme=actions | stage=3
 7931 | hiss                           | 發出嘶嘶聲、嘶嘶聲                      | 🏃        | chunks=['h', 'iss'] | py=ㄏㄧㄙ | theme=actions | stage=3
 7932 | hoarse                         | 沙啞的                            | 🎨        | chunks=['hoar', 'se'] | py=ㄏㄛㄖ-ㄙㄜ | theme=adjectives | stage=3 [有易混提示]
 7933 | homosexual                     | 同性戀                            | 🏃        | chunks=['ho', 'mo', 'se', 'xual'] | py=ㄏㄚ-ㄇㄛ-ㄙㄜ-ㄎㄙㄚㄚㄌ | theme=actions | stage=3
 7934 | honk                           | 鳴喇叭、汽車喇叭聲                      | 🚗        | chunks=['h', 'onk'] | py=ㄏㄚㄋㄎ | theme=transportation | stage=3
 7935 | hoof                           | 蹄                              | 🏃        | chunks=['h', 'oof'] | py=ㄏㄨㄈ | theme=actions | stage=3
 7936 | hound                          | 獵犬                             | 🏃        | chunks=['h', 'ound'] | py=ㄏㄠㄋㄉ | theme=actions | stage=3
 7937 | housing                        | 住宅                             | 🏃        | chunks=['hou', 'sing'] | py=ㄏㄠ-ㄒㄧㄥ | theme=actions | stage=3
 7938 | hover                          | 空中盤旋                           | 🏃        | chunks=['ho', 'ver'] | py=ㄏㄚ-ㄈㄜ | theme=actions | stage=3
 7939 | howl                           | 號叫                             | 🏃        | chunks=['h', 'owl'] | py=ㄏㄠㄌ | theme=actions | stage=3
 7940 | hurl                           | 用力投擲                           | 🏃        | chunks=['h', 'url'] | py=ㄏㄜㄌ | theme=actions | stage=3
 7941 | idiot                          | 白癡                             | 🏃        | chunks=['i', 'diot'] | py=ㄧ-ㄉㄧㄜㄊ | theme=actions | stage=3
 7942 | immense                        | 廣大的、巨大的                        | 🏃        | chunks=['im', 'men', 'se'] | py=ㄧㄇ-ㄇㄣ-ㄙㄜ | theme=actions | stage=3
 7943 | imperial                       | 帝國的                            | 📜        | chunks=['im', 'pe', 'rial'] | py=ㄧㄇ-ㄆㄜ-ㄌㄦ | theme=history | stage=3
 7944 | impulse                        | 衝動                             | 🏃        | chunks=['im', 'pul', 'se'] | py=ㄧㄇ-ㄆㄚㄦ-ㄙㄜ | theme=actions | stage=3
 7945 | incense                        | 香                              | 🏃        | chunks=['in', 'cen', 'se'] | py=ㄧㄣ-ㄙㄝㄣ-ㄙㄜ | theme=actions | stage=3
 7946 | indifference                   | 冷淡                             | 🎓        | chunks=['in', 'dif', 'fe', 'ren', 'ce'] | py=ㄧㄣ-ㄉㄧ-ㄈㄧ-ㄌㄣ-ㄙㄜ | theme=academic-words | stage=3
 7947 | indifferent                    | 漠不關心的                          | 🎨        | chunks=['in', 'dif', 'fe', 'rent'] | py=ㄧㄣ-ㄉㄧ-ㄈㄧ-ㄣㄊ | theme=adjectives | stage=3
 7948 | indignant                      | 憤慨的                            | 😠        | chunks=['in', 'dig', 'nant'] | py=ㄧㄣ-ㄉㄧ-ㄋㄣㄊ | theme=emotions | stage=3
 7949 | indispensable                  | 必需的                            | 🎨        | chunks=['in', 'dis', 'pen', 'sab', 'le'] | py=ㄧㄣ-ㄉㄧㄙ-ㄆㄣ-ㄙㄚㄅ-ㄌㄧ | theme=adjectives | stage=3
 7950 | indulge                        | 縱容                             | 🏃        | chunks=['in', 'dul', 'ge'] | py=ㄧㄣ-ㄉㄚㄦㄐ | theme=actions | stage=3
 7951 | infinite                       | 無限的                            | 🎨        | chunks=['in', 'fi', 'ni', 'te'] | py=ㄧㄣ-ㄈㄜ-ㄋㄜ-ㄊㄧ | theme=adjectives | stage=3
 7952 | inherit                        | 繼承                             | 🏃        | chunks=['in', 'he', 'rit'] | py=ㄧㄣ-ㄏㄝ-ㄌㄝㄊ | theme=actions | stage=3
 7953 | inland                         | 內地的                            | 🎨        | chunks=['in', 'land'] | py=ㄧㄣ-ㄌㄢㄉ | theme=adjectives | stage=3
 7954 | innumerable                    | 數不清的                           | 🎨        | chunks=['in', 'nu', 'me', 'rab', 'le'] | py=ㄧㄣ-ㄋㄨ-ㄇㄝ-ㄖㄝ-ㄌㄧ | theme=adjectives | stage=3
 7955 | inquire                        | 詢問                             | 🏃        | chunks=['in', 'qui', 're'] | py=ㄧㄣ-ㄎㄧ-ㄌㄧ | theme=actions | stage=3
 7956 | intent                         | 意圖、熱切的                         | 🎨        | chunks=['in', 'tent'] | py=ㄧㄣ-ㄊㄣㄊ | theme=adjectives | stage=3
 7957 | interference                   | 妨礙                             | 🎓        | chunks=['in', 'ter', 'fe', 'ren', 'ce'] | py=ㄧㄣ-ㄊㄜ-ㄈㄧ-ㄌㄣ-ㄙㄜ | theme=academic-words | stage=3
 7958 | interior                       | 內部的                            | 🎨        | chunks=['in', 'te', 'rior'] | py=ㄧㄣ-ㄊㄧ-ㄖㄧㄛㄜ | theme=adjectives | stage=3
 7959 | interpretation                 | 解釋、詮釋                          | 🎓        | chunks=['in', 'ter', 'pre', 'ta', 'tion'] | py=ㄧㄣ-ㄊㄜ-ㄆㄌㄧ-ㄊㄝ-ㄒㄣ | theme=academic-words | stage=3 base=interpret
 7960 | interpreter                    | 口譯員                            | 👨‍⚕️     | chunks=['in', 'ter', 'pre', 'ter'] | py=ㄧㄣ-ㄊㄜ-ㄆㄌㄧ-ㄊㄜ | theme=jobs | stage=3 base=interpret
 7961 | isle                           | 小島                             | 🏃        | chunks=['is', 'le'] | py=ㄞㄦ | theme=actions | stage=3 [有易混提示]
 7962 | ivy                            | 常春藤                            | 🏃        | chunks=['i', 'vy'] | py=ㄞ-ㄈㄧ | theme=actions | stage=3
 7963 | jack                           | 千斤頂、男人、(撲克)J                   | 🏃        | chunks=['j', 'ack'] | py=ㄐㄚㄎ | theme=actions | stage=3 [有易混提示]
 7964 | janitor                        | 管理員                            | 👨‍⚕️     | chunks=['ja', 'ni', 'tor'] | py=ㄐㄚ-ㄋㄜ-ㄊㄜ | theme=jobs | stage=3
 7965 | jaywalk                        | 擅自穿越馬路                         | 🚸        | chunks=['jay', 'walk'] | py=ㄐㄟ-ㄨㄛㄎ | theme=animals | stage=3
 7966 | jeer                           | 嘲弄                             | 🏃        | chunks=['j', 'eer'] | py=ㄐㄧㄦ | theme=actions | stage=3
 7967 | jingle                         | 叮噹聲發出叮噹聲                       | 🏃        | chunks=['jin', 'gle'] | py=ㄐㄧㄣ-ㄍㄜ | theme=actions | stage=3
 7968 | juvenile                       | 少年、少年的                         | 🎨        | chunks=['ju', 've', 'ni', 'le'] | py=ㄐㄨ-ㄈㄜ-ㄋㄜ-ㄌㄧ | theme=adjectives | stage=3
 7969 | kindle                         | 點燃                             | 🏃        | chunks=['kin', 'dle'] | py=ㄎㄧㄣ-ㄉㄜ | theme=actions | stage=3
 7970 | knowledgeable                  | 博學的                            | 🎨        | chunks=['know', 'led', 'geab', 'le'] | py=ㄎㄋㄠ-ㄌㄝㄉ-ㄍㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=knowledge
 7971 | lad                            | 少年                             | 🏃        | chunks=['l', 'ad'] | py=ㄌㄚㄉ | theme=actions | stage=3
 7972 | lame                           | 跛的、使跛                          | 🏃        | chunks=['la', 'me'] | py=ㄌㄚ-ㄇㄝ | theme=actions | stage=3
 7973 | landlady                       | 女房東                            | 🧭        | chunks=['lan', 'dla', 'dy'] | py=ㄌㄢ-ㄉㄌㄚ-ㄉㄧ | theme=directions | stage=3
 7974 | landlord                       | 地主                             | 🏃        | chunks=['lan', 'dlord'] | py=ㄌㄢ-ㄉㄌㄛㄜㄉ | theme=actions | stage=3
 7975 | laser                          | 雷射                             | 🔦        | chunks=['la', 'ser'] | py=ㄌㄚ-ㄗㄜ | theme=weather | stage=2
 7976 | league                         | 聯盟                             | 🏃        | chunks=['lea', 'gue'] | py=ㄌㄝ-ㄍㄝ | theme=actions | stage=3
 7977 | legislation                    | 立法、法律                          | ⚖️       | chunks=['le', 'gis', 'la', 'tion'] | py=ㄌㄧ-ㄐㄧㄙ-ㄌㄚ-ㄒㄣ | theme=law | stage=3
 7978 | lessen                         | 減少                             | 📉        | chunks=['les', 'sen'] | py=ㄌㄝ-ㄙㄝㄣ | theme=numbers | stage=3 base=less
 7979 | lest                           | 以免                             | 🏃        | chunks=['l', 'est'] | py=ㄌㄝㄙㄊ | theme=actions | stage=3
 7980 | lifelong                       | 一輩子的                           | ⏳        | chunks=['li', 'fe', 'long'] | py=ㄌㄧ-ㄈㄧ-ㄌㄛㄥ | theme=numbers | stage=3
 7981 | likelihood                     | 可能性                            | 🎓        | chunks=['li', 'ke', 'li', 'hood'] | py=ㄌㄧ-ㄎㄟ-ㄌㄧ-ㄏㄨㄉ | theme=academic-words | stage=3
 7982 | limp                           | 跛行                             | 🏃        | chunks=['l', 'imp'] | py=ㄌㄧㄇㄆ | theme=actions | stage=3 [有易混提示]
 7983 | linger                         | 徘徊                             | 🏃        | chunks=['lin', 'ger'] | py=ㄌㄧ-ㄍㄜ | theme=actions | stage=3
 7984 | livestock                      | 家畜                             | 🏃        | chunks=['li', 'ves', 'tock'] | py=ㄌㄧ-ㄈㄝㄙ-ㄊㄛㄎ | theme=animals | stage=3
 7985 | locust                         | 蝗蟲                             | 🦗        | chunks=['lo', 'cust'] | py=ㄌㄛ-ㄎㄚㄙㄊ | theme=animals | stage=3
 7986 | lodge                          | 小屋                             | 🏃        | chunks=['lod', 'ge'] | py=ㄌㄚㄐ | theme=actions | stage=3
 7987 | lofty                          | 崇高的                            | 💁        | chunks=['lof', 'ty'] | py=ㄌㄛㄈ-ㄊㄧ | theme=appearance | stage=3
 7988 | logo                           | 標誌                             | 🏃        | chunks=['lo', 'go'] | py=ㄌㄛ-ㄍㄛ | theme=actions | stage=2
