# 字 9000-9499
 9000 | vaccine                        | 疫苗                             | 🎨        | chunks=['vac', 'ci', 'ne'] | py=ㄈㄚㄎ-ㄙㄧㄣ | theme=adjectives | stage=3
 9317 | written                        | 寫過                             | 🏃        | chunks=['writ', 'ten'] | py=ㄖㄧ-ㄊㄣ | theme=actions | stage=2 base=write
 9318 | held                           | 握住了(過去)                        | 🏃        | chunks=['he', 'ld'] | py=ㄏㄝㄦㄉ | theme=actions | stage=2 base=hold
 9319 | heard                          | 聽見了(過去)                        | 🏃        | chunks=['hea', 'rd'] | py=ㄏㄜㄦㄉ | theme=actions | stage=2 base=hear [有易混提示]
 9320 | built                          | 建造了(過去)                        | 🏃        | chunks=['bui', 'lt'] | py=ㄅㄧㄦㄊ | theme=actions | stage=2 base=build
 9321 | sent                           | 送了(過去)                         | 🏃        | chunks=['se', 'nt'] | py=ㄙㄝㄣㄊ | theme=actions | stage=2 base=send [有易混提示]
 9322 | spent                          | 花了(過去)                         | 💸        | chunks=['spe', 'nt'] | py=ㄙㄆㄝ-ㄋㄊ | theme=adjectives | stage=2 base=spend
 9323 | crept                          | 爬行了(過去,偷偷地爬)                   | 🏃        | chunks=['cre', 'pt'] | py=ㄎㄖㄝㄆㄊ | theme=actions | stage=2 base=creep
 9324 | led                            | 領導了(過去)                        | 🏃        | chunks=['le', 'd'] | py=ㄌㄝㄉ | theme=actions | stage=2 base=lead [有易混提示]
 9325 | bled                           | 流血了(過去)                        | 🏃        | chunks=['bl', 'ed'] | py=ㄅㄌㄝㄉ | theme=actions | stage=2 base=bleed [有易混提示]
 9326 | absolutely                     | 絕對地                            | 🎨        | chunks=['ab', 'so', 'lu', 'te', 'ly'] | py=ㄚㄅ-ㄙㄜ-ㄌㄨㄊ-ㄌㄧ | theme=adjectives | stage=3 base=absolute
 9327 | anymore                        | 不再(否定句用)                       | 🏃        | chunks=['a', 'ny', 'mo', 're'] | py=ㄝ-ㄋㄧ-ㄇㄛㄦ | theme=actions | stage=2
 9328 | constantly                     | 不斷地                            | 🎨        | chunks=['con', 'stan', 'tly'] | py=ㄎㄚㄣ-ㄙㄊㄢ-ㄊㄌㄧ | theme=adjectives | stage=3 base=constant
 9329 | directly                       | 直接地                            | 🎨        | chunks=['di', 'rec', 'tly'] | py=ㄉㄜ-ㄖㄝㄎㄊ-ㄌㄧ | theme=adjectives | stage=3 base=direct
 9330 | easily                         | 容易地                            | 🎨        | chunks=['ea', 'si', 'ly'] | py=ㄧ-ㄗㄜ-ㄌㄧ | theme=adjectives | stage=2 base=easy
 9331 | extremely                      | 極度地、非常                         | ⭐        | chunks=['ex', 'tre', 'me', 'ly'] | py=ㄝㄎㄙ-ㄊㄌㄜ-ㄇㄝ-ㄌㄧ | theme=sight-words | stage=3 base=extreme
 9332 | honestly                       | 老實說                            | ⭐        | chunks=['ho', 'nes', 'tly'] | py=ㄏㄚ-ㄋㄝㄙ-ㄊㄌㄧ | theme=sight-words | stage=3 base=honest
 9333 | incredibly                     | 令人難以置信地                        | 🎨        | chunks=['in', 'cre', 'dib', 'ly'] | py=ㄧㄣ-ㄎㄌㄧ-ㄉㄧㄅ-ㄌㄧ | theme=adjectives | stage=3 base=incredible
 9334 | necessarily                    | 必然地                            | 🎨        | chunks=['ne', 'ces', 'sa', 'ri', 'ly'] | py=ㄋㄝ-ㄙㄜ-ㄙㄝ-ㄖㄜ-ㄌㄧ | theme=adjectives | stage=3 base=necessary
 9335 | officially                     | 正式地                            | 🎨        | chunks=['of', 'fi', 'cial', 'ly'] | py=ㄜ-ㄈㄧ-ㄒㄜㄦ-ㄌㄧ | theme=adjectives | stage=3 base=official
 9336 | perfectly                      | 完美地                            | 💁        | chunks=['per', 'fec', 'tly'] | py=ㄆㄜ-ㄈㄝㄎ-ㄊㄌㄧ | theme=appearance | stage=3 base=perfect
 9337 | quickly                        | 快速地                            | 🎨        | chunks=['quic', 'kly'] | py=ㄎㄨㄧㄎ-ㄎㄌㄧ | theme=adjectives | stage=2 base=quick
 9338 | quietly                        | 安靜地                            | 🎨        | chunks=['quiet', 'ly'] | py=ㄎㄨㄞㄊ-ㄌㄧ | theme=adjectives | stage=2 base=quiet
 9339 | regularly                      | 定期地                            | 🎨        | chunks=['re', 'gu', 'lar', 'ly'] | py=ㄖㄝ-ㄍㄧㄨ-ㄌㄜ-ㄌㄧ | theme=adjectives | stage=3 base=regular
 9340 | relatively                     | 相對地                            | 🎨        | chunks=['re', 'la', 'ti', 've', 'ly'] | py=ㄌㄧ-ㄌㄚ-ㄊㄜ-ㄈㄜ-ㄌㄧ | theme=adjectives | stage=3 base=relative
 9341 | rightly                        | 正確地                            | 🎨        | chunks=['righ', 'tly'] | py=ㄖㄧ-ㄊㄌㄧ | theme=adjectives | stage=2 base=right
 9342 | sadly                          | 悲傷地                            | 😢        | chunks=['sad', 'ly'] | py=ㄙㄚㄉ-ㄌㄧ | theme=emotions | stage=2 base=sad
 9343 | seriously                      | 嚴肅地                            | 🎨        | chunks=['se', 'rious', 'ly'] | py=ㄙㄜ-ㄖㄧㄜㄙ-ㄌㄧ | theme=adjectives | stage=3 base=serious
 9344 | successfully                   | 成功地                            | 🎨        | chunks=['suc', 'ces', 'sful', 'ly'] | py=ㄙㄚㄎ-ㄙㄝㄙ-ㄈㄜ-ㄌㄧ | theme=adjectives | stage=3 base=successful
 9345 | typically                      | 典型地                            | 🎨        | chunks=['ty', 'pi', 'cal', 'ly'] | py=ㄊㄧ-ㄆㄧ-ㄎㄜ-ㄌㄧ | theme=adjectives | stage=3 base=typical
 9346 | usually                        | 通常                             | ⭐        | chunks=['u', 'sual', 'ly'] | py=ㄧㄨ-ㄓㄨ-ㄜ-ㄌㄧ | theme=sight-words | stage=2 base=usual
 9347 | willingly                      | 願意地                            | 🎨        | chunks=['wil', 'lin', 'gly'] | py=ㄨㄧㄌ-ㄌㄧ-ㄍㄌㄧ | theme=adjectives | stage=3 base=willing
 9348 | argue                          | 爭論                             | 🏃        | chunks=['ar', 'gue'] | py=ㄚㄦ-ㄍㄧㄨ | theme=actions | stage=2
 9349 | arrange                        | 安排                             | 🏃        | chunks=['ar', 'ran', 'ge'] | py=ㄚㄦ-ㄌㄚㄣ-ㄐㄧ | theme=actions | stage=2
 9350 | coexist                        | 共存                             | 🏃        | chunks=['coe', 'xist'] | py=ㄎㄛ-ㄎㄙㄧㄙㄊ | theme=actions | stage=2
 9351 | comply                         | 遵從                             | ⭐        | chunks=['com', 'ply'] | py=ㄎㄜㄇ-ㄆㄌㄞ | theme=sight-words | stage=2
 9352 | delete                         | 刪除                             | 🗑️       | chunks=['de', 'le', 'te'] | py=ㄉㄧ-ㄌㄧ-ㄊㄧ | theme=numbers | stage=2
 9353 | develop                        | 發展                             | 🏃        | chunks=['de', 've', 'lop'] | py=ㄉㄧ-ㄈㄝ-ㄌㄜㄆ | theme=actions | stage=2
 9354 | encourage                      | 鼓勵                             | 🎵        | chunks=['en', 'cou', 'ra', 'ge'] | py=ㄣ-ㄎㄚ-ㄌㄚ-ㄐㄧ | theme=music | stage=3
 9355 | hinder                         | 妨礙                             | 🏃        | chunks=['hin', 'der'] | py=ㄏㄧㄣ-ㄉㄜ | theme=actions | stage=2
 9356 | immerse                        | 沉浸                             | 🏃        | chunks=['im', 'mer', 'se'] | py=ㄧㄇ-ㄇㄜ-ㄙㄜ | theme=actions | stage=2
 9357 | improve                        | 改善                             | 🏃        | chunks=['im', 'pro', 've'] | py=ㄧㄇ-ㄆㄖㄨㄈ | theme=actions | stage=2
 9358 | measure                        | 測量                             | 🎓        | chunks=['mea', 'su', 're'] | py=ㄇㄝ-ㄓㄜㄦ | theme=academic-words | stage=2
 9359 | move                           | 移動                             | 🏃        | chunks=['mo', 've'] | py=ㄇㄨㄈ | theme=actions | stage=2
 9360 | pacify                         | 安撫                             | 🏃        | chunks=['pa', 'ci', 'fy'] | py=ㄆㄚ-ㄙㄜ-ㄈㄞ | theme=actions | stage=2
 9361 | punish                         | 懲罰                             | 🎨        | chunks=['pu', 'nish'] | py=ㄆㄧㄨ-ㄋㄧㄒ | theme=adjectives | stage=2
 9362 | rebuild                        | 重建                             | 🏃        | chunks=['re', 'build'] | py=ㄌㄧ-ㄅㄨㄌㄉ | theme=actions | stage=2
 9363 | rinse                          | 沖洗                             | 🏃        | chunks=['rin', 'se'] | py=ㄌㄧㄣ-ㄙㄜ | theme=actions | stage=2
 9364 | settle                         | 解決                             | 🏃        | chunks=['set', 'tle'] | py=ㄙㄝ-ㄉㄜ | theme=actions | stage=2
 9365 | tap                            | 輕拍                             | 🏃        | chunks=['ta', 'p'] | py=ㄊㄚㄆ | theme=actions | stage=2 [有易混提示]
 9366 | tend                           | 傾向                             | 🏃        | chunks=['te', 'nd'] | py=ㄊㄝㄣㄉ | theme=actions | stage=2 [有易混提示]
 9367 | undress                        | 脫衣                             | 🏃        | chunks=['un', 'dress'] | py=ㄚㄣ-ㄉㄌㄝㄙ | theme=clothing | stage=2
 9368 | verify                         | 驗證                             | 🏃        | chunks=['ve', 'ri', 'fy'] | py=ㄈㄜ-ㄌㄧ-ㄈㄞ | theme=actions | stage=2
 9369 | airbag                         | 安全氣囊                           | 🏃        | chunks=['air', 'bag'] | py=ㄝㄦ-ㄅㄚㄍ | theme=actions | stage=3
 9370 | airbrush                       | 噴槍                             | 🏃        | chunks=['air', 'brush'] | py=ㄟㄦ-ㄅㄌㄚㄒ | theme=actions | stage=3
 9371 | airfare                        | 機票錢                            | 💰        | chunks=['air', 'fa', 're'] | py=ㄝㄦ-ㄈㄝㄦ | theme=money | stage=3
 9372 | alarmclock                     | 鬧鐘                             | 🏃        | chunks=['a', 'larm', 'clock'] | py=ㄜ-ㄌㄚㄦㄇ-ㄎㄌㄚㄎ | theme=actions | stage=3
 9373 | artwork                        | 藝術品                            | 🎨        | chunks=['ar', 'twork'] | py=ㄚㄦㄊ-ㄨㄜㄦㄎ | theme=art | stage=3
 9374 | backdoor                       | 後門                             | 🧭        | chunks=['bac', 'kdoor'] | py=ㄅㄚㄎ-ㄉㄛㄦ | theme=directions | stage=3
 9375 | backdrop                       | 背景                             | 🖼️       | chunks=['back', 'drop'] | py=ㄅㄚㄎ-ㄉㄖㄚㄆ | theme=body | stage=3
 9376 | backfire                       | 適得其反                           | 🏃        | chunks=['bac', 'kfi', 're'] | py=ㄅㄚㄎ-ㄈㄞㄜㄦ | theme=actions | stage=3
 9377 | backlog                        | 積壓                             | 🏃        | chunks=['bac', 'klog'] | py=ㄅㄚㄎ-ㄌㄛㄍ | theme=actions | stage=3
 9378 | backstage                      | 後台                             | 🧭        | chunks=['back', 'sta', 'ge'] | py=ㄅㄚㄎ-ㄙㄉㄝ-ㄐㄧ | theme=directions | stage=3
 9379 | backyard                       | 後院                             | 🧭        | chunks=['bac', 'kyard'] | py=ㄅㄚㄎ-ㄧㄚㄦㄉ | theme=directions | stage=3
 9380 | bankbook                       | 存摺                             | 🏃        | chunks=['ban', 'kbook'] | py=ㄅㄚㄣㄎ-ㄅㄨㄎ | theme=actions | stage=3
 9381 | baseline                       | 基準                             | 🎨        | chunks=['ba', 'se', 'li', 'ne'] | py=ㄅㄟㄙ-ㄌㄞㄣ | theme=adjectives | stage=3
 9382 | battlefield                    | 戰場                             | 🏃        | chunks=['bat', 'tle', 'field'] | py=ㄅㄝ-ㄉㄜ-ㄈㄞㄌㄉ | theme=actions | stage=3
 9383 | battleship                     | 戰艦                             | 🎓        | chunks=['bat', 'tles', 'hip'] | py=ㄅㄚ-ㄉㄜㄦ-ㄒㄧㄆ | theme=academic-words | stage=3
 9384 | beachfront                     | 海濱                             | 🏖️       | chunks=['beach', 'front'] | py=ㄅㄧㄔ-ㄈㄌㄚㄣㄊ | theme=nature | stage=3
 9385 | beanbag                        | 豆袋                             | 🏃        | chunks=['bean', 'bag'] | py=ㄅㄧㄣ-ㄅㄚㄍ | theme=actions | stage=3
 9386 | bedrock                        | 基石                             | 🏃        | chunks=['bed', 'rock'] | py=ㄅㄝㄉ-ㄌㄚㄎ | theme=actions | stage=3
 9387 | bedside                        | 床邊                             | 🛋️       | chunks=['bed', 'si', 'de'] | py=ㄅㄝㄉ-ㄙㄞㄉ | theme=home-items | stage=3
 9388 | bedspread                      | 床罩                             | 🛋️       | chunks=['beds', 'pread'] | py=ㄅㄝㄉ-ㄙㄆㄖㄝㄉ | theme=home-items | stage=3
 9389 | beehive                        | 蜂窩                             | 🐝        | chunks=['bee', 'hi', 've'] | py=ㄅㄧ-ㄏㄞㄈ | theme=animals | stage=3
 9390 | beeline                        | 直線                             | 🎨        | chunks=['bee', 'li', 'ne'] | py=ㄅㄧ-ㄌㄞㄣ | theme=adjectives | stage=3
 9391 | billboard                      | 廣告牌                            | 📰        | chunks=['bil', 'lboard'] | py=ㄅㄧㄦ-ㄅㄛㄦㄉ | theme=media | stage=3
 9392 | birthplace                     | 出生地                            | 🎨        | chunks=['birt', 'hpla', 'ce'] | py=ㄅㄜㄦㄊ-ㄆㄌㄟㄙ | theme=adjectives | stage=3
 9393 | blacklist                      | 黑名單                            | 🏃        | chunks=['blac', 'klist'] | py=ㄅㄌㄚㄎ-ㄌㄧㄙㄊ | theme=actions | stage=3
 9394 | bloodstream                    | 血流                             | 🏃        | chunks=['bloods', 'tream'] | py=ㄅㄌㄚㄉ-ㄙㄊㄖㄧㄇ | theme=actions | stage=3
 9395 | blueprint                      | 藍圖                             | 🏃        | chunks=['bluep', 'rint'] | py=ㄅㄌㄨ-ㄆㄖㄧㄣㄊ | theme=actions | stage=3
 9396 | bombshell                      | 驚人之事                           | 🏃        | chunks=['bomb', 'shell'] | py=ㄅㄚㄇ-ㄒㄝㄦ | theme=actions | stage=3
 9397 | bookkeeper                     | 簿記員                            | 👨‍⚕️     | chunks=['book', 'kee', 'per'] | py=ㄅㄨㄎ-ㄎㄧ-ㄆㄜ | theme=jobs | stage=3
 9398 | bookshop                       | 書店                             | 🏃        | chunks=['book', 'shop'] | py=ㄅㄨㄎ-ㄒㄚㄆ | theme=actions | stage=3
 9399 | bottleneck                     | 瓶頸                             | 🏃        | chunks=['bot', 'tle', 'neck'] | py=ㄅㄚ-ㄉㄜ-ㄋㄝㄎ | theme=home-items | stage=3
 9400 | brainstorm                     | 腦力激盪                           | 🏃        | chunks=['brain', 'storm'] | py=ㄅㄖㄟㄋ-ㄙㄊㄛㄜㄇ | theme=actions | stage=3
 9401 | brainwash                      | 洗腦                             | 🏃        | chunks=['brain', 'wash'] | py=ㄅㄖㄟㄋ-ㄨㄚㄒ | theme=actions | stage=3
 9402 | breadcrumb                     | 麵包屑                            | 🍞        | chunks=['bread', 'crumb'] | py=ㄅㄌㄝㄉ-ㄎㄖㄚㄇㄅ | theme=food | stage=3
 9403 | broadband                      | 寬頻                             | 🏃        | chunks=['broad', 'band'] | py=ㄅㄌㄛㄉ-ㄅㄚㄣㄉ | theme=actions | stage=3
 9404 | bulletproof                    | 防彈                             | 🏃        | chunks=['bul', 'let', 'proof'] | py=ㄅㄨ-ㄌㄝㄊ-ㄆㄌㄨㄈ | theme=actions | stage=3
 9405 | businessman                    | 商人                             | 💼        | chunks=['bu', 'si', 'nes', 'sman'] | py=ㄅㄧㄗ-ㄋㄜㄙ-ㄇㄚㄣ | theme=business | stage=3
 9406 | businesswoman                  | 女商人                            | 💼        | chunks=['bu', 'si', 'nes', 'swo', 'man'] | py=ㄅㄧㄨ-ㄗㄜ-ㄋㄝㄙ-ㄙㄨㄛ-ㄇㄢ | theme=business | stage=3
 9407 | byproduct                      | 副產品                            | 🏃        | chunks=['byp', 'ro', 'duct'] | py=ㄅㄞ-ㄆㄖㄚ-ㄉㄚㄎㄊ | theme=actions | stage=3
 9408 | analytics                      | 分析                             | 🏃        | chunks=['a', 'na', 'ly', 'tics'] | py=ㄜ-ㄋㄚ-ㄌㄧ-ㄊㄧㄎㄙ | theme=actions | stage=3
 9409 | android                        | 安卓                             | 🏃        | chunks=['an', 'droid'] | py=ㄢ-ㄉㄖㄛㄧㄉ | theme=actions | stage=3
 9410 | antivirus                      | 防毒                             | 🏃        | chunks=['an', 'ti', 'vi', 'rus'] | py=ㄢ-ㄊㄜ-ㄈㄞ-ㄌㄜㄙ | theme=actions | stage=3
 9411 | apps                           | 應用程式                           | 🏃        | chunks=['ap', 'ps'] | py=ㄚ-ㄆㄙ | theme=actions | stage=3
 9412 | asynchronous                   | 非同步                            | 🎨        | chunks=['a', 'sync', 'hro', 'nous'] | py=ㄟ-ㄙㄧㄣ-ㄎㄖㄜ-ㄋㄜㄙ | theme=adjectives | stage=3
 9413 | binary                         | 二進位                            | 🔢        | chunks=['bi', 'na', 'ry'] | py=ㄅㄞ-ㄋㄚ-ㄌㄧ | theme=numbers | stage=3
 9414 | biometric                      | 生物識別                           | 🔬        | chunks=['bio', 'met', 'ric'] | py=ㄅㄧㄛ-ㄇㄝㄊ-ㄌㄧㄎ | theme=science | stage=3
 9415 | bot                            | 機器人                            | 💻        | chunks=['bo', 't'] | py=ㄅㄚㄊ | theme=technology | stage=3
 9416 | cache                          | 快取                             | 🏃        | chunks=['cac', 'he'] | py=ㄎㄚㄒ | theme=actions | stage=3
 9417 | codec                          | 編解碼器                           | 🏃        | chunks=['co', 'dec'] | py=ㄎㄛ-ㄉㄝㄎ | theme=actions | stage=3
 9418 | compiler                       | 編譯器                            | 🔨        | chunks=['com', 'pi', 'ler'] | py=ㄎㄚㄇ-ㄆㄧ-ㄌㄜ | theme=tools | stage=3
 9419 | cryptocurrency                 | 加密貨幣                           | 📈        | chunks=['cryp', 'to', 'cur', 'ren', 'cy'] | py=ㄎㄌㄧㄆ-ㄊㄛ-ㄎㄜ-ㄌㄣ-ㄒㄧ | theme=economy | stage=3
 9420 | cursor                         | 游標                             | 🏃        | chunks=['cur', 'sor'] | py=ㄎㄜ-ㄗㄜ | theme=actions | stage=3
 9421 | dashboard                      | 儀表板                            | 🏃        | chunks=['das', 'hboard'] | py=ㄉㄚㄒ-ㄅㄛㄦㄉ | theme=actions | stage=3
 9422 | database                       | 資料庫                            | 🏃        | chunks=['da', 'ta', 'ba', 'se'] | py=ㄉㄚ-ㄊㄝ-ㄅㄟ-ㄙㄜ | theme=actions | stage=3
 9423 | debug                          | 除錯                             | 🏃        | chunks=['de', 'bug'] | py=ㄉㄧ-ㄅㄚㄍ | theme=numbers | stage=3
 9424 | decrypt                        | 解密                             | 🏃        | chunks=['dec', 'rypt'] | py=ㄉㄧ-ㄎㄖㄧㄆㄊ | theme=actions | stage=3
 9425 | deploy                         | 部署                             | 🏃        | chunks=['dep', 'loy'] | py=ㄉㄝ-ㄌㄛㄧ | theme=actions | stage=3
 9426 | desktop                        | 桌面                             | 🛋️       | chunks=['des', 'ktop'] | py=ㄉㄧ-ㄎㄊㄛㄆ | theme=home-items | stage=3
 9427 | dialog                         | 對話                             | 🏃        | chunks=['dia', 'log'] | py=ㄉㄞ-ㄌㄚㄍ | theme=actions | stage=3
 9428 | dropdown                       | 下拉選單                           | 🏃        | chunks=['drop', 'down'] | py=ㄉㄖㄚㄆ-ㄉㄠㄣ | theme=directions | stage=3
 9429 | encrypt                        | 加密                             | 🏃        | chunks=['en', 'crypt'] | py=ㄣ-ㄎㄖㄧㄆㄊ | theme=numbers | stage=3
 9430 | encryption                     | 加密                             | 🎓        | chunks=['en', 'cryp', 'tion'] | py=ㄣ-ㄎㄌㄧㄆ-ㄒㄣ | theme=academic-words | stage=3 base=encrypt
 9431 | endpoint                       | 端點                             | 🏃        | chunks=['en', 'dpoint'] | py=ㄣ-ㄉㄆㄛㄧㄋㄊ | theme=actions | stage=3
 9432 | firmware                       | 韌體                             | 🏃        | chunks=['fir', 'mwa', 're'] | py=ㄈㄜㄇ-ㄨㄝㄜ | theme=actions | stage=3
 9433 | floppy                         | 軟碟                             | 🏃        | chunks=['flop', 'py'] | py=ㄈㄌㄛㄆ-ㄆㄧ | theme=actions | stage=3
 9434 | gateway                        | 閘道                             | 🏃        | chunks=['ga', 'te', 'way'] | py=ㄍㄚ-ㄊㄧ-ㄨㄝ | theme=actions | stage=3
 9435 | gigabyte                       | 十億位元組                          | 🔢        | chunks=['gi', 'ga', 'by', 'te'] | py=ㄐㄜ-ㄍㄚ-ㄅㄞ-ㄊㄧ | theme=numbers | stage=3
 9436 | homepage                       | 首頁                             | 🏃        | chunks=['ho', 'me', 'pa', 'ge'] | py=ㄏㄛㄇ-ㄆㄟㄐ | theme=actions | stage=3
 9437 | hyperlink                      | 超連結                            | 🏃        | chunks=['hy', 'per', 'link'] | py=ㄏㄞ-ㄆㄜㄦ-ㄌㄧㄣㄎ | theme=actions | stage=3
 9438 | icon                           | 圖示                             | 🏃        | chunks=['i', 'con'] | py=ㄞ-ㄎㄚㄣ | theme=actions | stage=3
 9439 | interface                      | 介面                             | 🏃        | chunks=['in', 'ter', 'fa', 'ce'] | py=ㄧㄣ-ㄊㄜㄦ-ㄈㄟㄙ | theme=actions | stage=3
 9440 | keypad                         | 數字鍵盤                           | 🔢        | chunks=['key', 'pad'] | py=ㄎㄧ-ㄆㄚㄉ | theme=numbers | stage=3
 9441 | keyword                        | 關鍵字                            | 🏃        | chunks=['key', 'word'] | py=ㄎㄧ-ㄨㄜㄦㄉ | theme=actions | stage=3
 9442 | latency                        | 延遲                             | 🏃        | chunks=['la', 'ten', 'cy'] | py=ㄌㄚ-ㄊㄣ-ㄒㄧ | theme=actions | stage=3
 9443 | layout                         | 版面                             | 🏃        | chunks=['lay', 'out'] | py=ㄌㄟ-ㄠㄊ | theme=actions | stage=3
 9444 | mailbox                        | 信箱                             | 📮        | chunks=['mail', 'box'] | py=ㄇㄟㄦ-ㄅㄚㄎㄙ | theme=actions | stage=3
 9445 | mainframe                      | 大型主機                           | 🏃        | chunks=['main', 'fra', 'me'] | py=ㄇㄟㄋ-ㄈㄌㄟㄇ | theme=actions | stage=3
 9446 | megabyte                       | 百萬位元組                          | 🔢        | chunks=['me', 'ga', 'by', 'te'] | py=ㄇㄝ-ㄍㄚ-ㄅㄞ-ㄊㄧ | theme=numbers | stage=3
 9447 | metadata                       | 元資料                            | 🏃        | chunks=['me', 'ta', 'da', 'ta'] | py=ㄇㄝ-ㄊㄝ-ㄉㄚ-ㄊㄝ | theme=actions | stage=3
 9448 | microchip                      | 微晶片                            | 💻        | chunks=['mic', 'roc', 'hip'] | py=ㄇㄞ-ㄎㄖㄛ-ㄔㄧㄆ | theme=technology | stage=3
 9449 | module                         | 模組                             | 🏃        | chunks=['mo', 'du', 'le'] | py=ㄇㄚ-ㄐㄨㄦ | theme=actions | stage=3
 9450 | motherboard                    | 主機板                            | 🏃        | chunks=['mot', 'her', 'board'] | py=ㄇㄚ-ㄉㄜㄦ-ㄅㄛㄦㄉ | theme=actions | stage=3
 9451 | multimedia                     | 多媒體                            | 📰        | chunks=['mul', 'ti', 'me', 'dia'] | py=ㄇㄚㄦ-ㄊㄜ-ㄇㄧ-ㄉㄧㄚ | theme=media | stage=3
 9452 | newsletter                     | 電子報                            | 📰        | chunks=['new', 'slet', 'ter'] | py=ㄋㄧㄨㄗ-ㄌㄝ-ㄊㄜㄦ | theme=science | stage=3
 9453 | notification                   | 通知                             | 🎓        | chunks=['no', 'ti', 'fi', 'ca', 'tion'] | py=ㄋㄛ-ㄊㄜ-ㄈㄜ-ㄎㄚ-ㄒㄣ | theme=academic-words | stage=3 base=notify
 9454 | outage                         | 停機                             | 🏃        | chunks=['ou', 'ta', 'ge'] | py=ㄠ-ㄊㄝ-ㄐㄧ | theme=actions | stage=3
 9455 | overload                       | 超載                             | 🏃        | chunks=['o', 'ver', 'load'] | py=ㄛ-ㄈㄜㄦ-ㄌㄛㄉ | theme=actions | stage=3
 9456 | overwrite                      | 覆寫                             | 🏃        | chunks=['o', 'ver', 'wri', 'te'] | py=ㄛ-ㄈㄜㄦ-ㄖㄞㄊ | theme=actions | stage=3
 9457 | pixel                          | 像素                             | 🏃        | chunks=['pi', 'xel'] | py=ㄆㄧㄎ-ㄙㄜㄦ | theme=actions | stage=3
 9458 | plugin                         | 外掛                             | 🏃        | chunks=['plu', 'gin'] | py=ㄆㄌㄨ-ㄐㄧㄣ | theme=actions | stage=3
 9459 | podcast                        | 播客                             | 🏃        | chunks=['pod', 'cast'] | py=ㄆㄚㄉ-ㄎㄚㄙㄊ | theme=actions | stage=3
 9460 | popup                          | 彈窗                             | 🏃        | chunks=['po', 'pup'] | py=ㄆㄚㄆ-ㄚㄆ | theme=actions | stage=3
 9461 | portal                         | 入口網站                           | 🌐        | chunks=['por', 'tal'] | py=ㄆㄛㄦ-ㄊㄜㄦ | theme=internet | stage=3
 9462 | runtime                        | 執行時                            | 🏃        | chunks=['run', 'ti', 'me'] | py=ㄖㄚㄣ-ㄊㄞㄇ | theme=actions | stage=3
 9463 | screenshot                     | 螢幕截圖                           | 💻        | chunks=['screen', 'shot'] | py=ㄙㄎㄖㄧㄣ-ㄒㄚㄊ | theme=technology | stage=3
 9464 | semiconductor                  | 半導體                            | 💻        | chunks=['se', 'mi', 'con', 'duc', 'tor'] | py=ㄙㄜ-ㄇㄞ-ㄎㄚㄣ-ㄉㄚㄎ-ㄊㄜ | theme=technology | stage=3
 9465 | shortcut                       | 捷徑                             | 🏃        | chunks=['shor', 'tcut'] | py=ㄒㄛㄜ-ㄊㄎㄚㄊ | theme=actions | stage=3
 9466 | sidebar                        | 側邊欄                            | 🏃        | chunks=['si', 'de', 'bar'] | py=ㄙㄞㄉ-ㄅㄚㄦ | theme=actions | stage=3
 9467 | sitemap                        | 網站地圖                           | 🗺️       | chunks=['si', 'te', 'map'] | py=ㄙㄞㄊ-ㄇㄚㄆ | theme=travel | stage=3
 9468 | snapshot                       | 快照                             | 🏃        | chunks=['snap', 'shot'] | py=ㄙㄋㄚㄆ-ㄒㄛㄊ | theme=actions | stage=3
 9469 | subdomain                      | 子網域                            | 🏃        | chunks=['sub', 'do', 'main'] | py=ㄙㄚㄅ-ㄉㄛ-ㄇㄟㄣ | theme=actions | stage=3
 9470 | subnet                         | 子網路                            | 🌐        | chunks=['sub', 'net'] | py=ㄙㄚㄅ-ㄋㄝㄊ | theme=internet | stage=3
 9471 | synchronize                    | 同步                             | 🏃        | chunks=['sync', 'hro', 'ni', 'ze'] | py=ㄙㄧㄋㄎ-ㄏㄖㄛ-ㄋㄜ-ㄗㄧ | theme=actions | stage=3
 9472 | thumbnail                      | 縮圖                             | 🏃        | chunks=['thum', 'bnail'] | py=ㄒㄚㄇ-ㄋㄟㄦ | theme=actions | stage=3
 9473 | toolbar                        | 工具列                            | 🔨        | chunks=['tool', 'bar'] | py=ㄊㄨㄦ-ㄅㄚㄦ | theme=tools | stage=3
 9474 | touchpad                       | 觸控板                            | 🏃        | chunks=['touc', 'hpad'] | py=ㄊㄚㄔ-ㄆㄚㄉ | theme=actions | stage=3
 9475 | touchscreen                    | 觸控螢幕                           | 💻        | chunks=['touch', 'screen'] | py=ㄊㄠㄔ-ㄙㄎㄌㄧㄣ | theme=technology | stage=3
 9476 | trackpad                       | 觸控板                            | 🏃        | chunks=['trac', 'kpad'] | py=ㄊㄖㄚㄎ-ㄆㄚㄉ | theme=actions | stage=3
 9477 | uploader                       | 上傳者                            | 👨‍⚕️     | chunks=['up', 'loa', 'der'] | py=ㄚㄆ-ㄌㄛ-ㄉㄜㄦ | theme=jobs | stage=3 base=upload
 9478 | username                       | 使用者名稱                          | 🏃        | chunks=['u', 'ser', 'na', 'me'] | py=ㄧㄨ-ㄗㄜㄦ-ㄋㄟㄇ | theme=actions | stage=3
 9479 | vector                         | 向量                             | 🏃        | chunks=['vec', 'tor'] | py=ㄈㄝㄎ-ㄊㄜㄦ | theme=actions | stage=3
